ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-219574,A,Rapateaceae,,Amphiphyllum,,"rigidum",,"","Gleason",Accepted,,H,WCSP,219574,11602-2,"Bull. Torrey Bot. Club","58: 333","","1931"
kew-232667,A,Rapateaceae,,Cephalostemon,,"affinis",,"","Körn.",Accepted,,H,WCSP,232667,715226-1,"Linnaea","37: 447","","1872"
kew-232668,A,Rapateaceae,,Cephalostemon,,"angustatus",,"","Malme",Accepted,,H,WCSP,232668,52249-2,"Ark. Bot.","26A(9): 11","","1935"
kew-232671,A,Rapateaceae,,Cephalostemon,,"gracilis",,"","(Poepp. & Endl.) R.H.Schomb.",Accepted,,H,WCSP,232671,,"Rapatea","9","","1845"
kew-232673,A,Rapateaceae,,Cephalostemon,,"microglochin",,"","Sandwith",Accepted,,H,WCSP,232673,52251-2,"Bull. Misc. Inform. Kew","1929: 125","","1929"
kew-232674,A,Rapateaceae,,Cephalostemon,,"riedelianus",,"","Körn.",Accepted,,H,WCSP,232674,715231-1,"Linnaea","37: 445","","1872"
kew-241522,A,Rapateaceae,,Duckea,,"cyperaceoidea",,"","(Ducke) Maguire",Accepted,,H,WCSP,241522,85524-2,"Mem. New York Bot. Gard.","10(1): 42","","1958"
kew-241523,A,Rapateaceae,,Duckea,,"flava",,"","(Link) Maguire",Accepted,,H,WCSP,241523,85525-2,"Mem. New York Bot. Gard.","10(1): 43","","1958"
kew-241524,A,Rapateaceae,,Duckea,,"junciformis",,"","Maguire",Accepted,,H,WCSP,241524,276127-2,"Mem. New York Bot. Gard.","10(1): 43","","1958"
kew-241525,A,Rapateaceae,,Duckea,,"squarrosa",,"","(Willd. ex Link) Maguire",Accepted,,H,WCSP,241525,85527-2,"Mem. New York Bot. Gard.","10(1): 42","","1958"
kew-243351,A,Rapateaceae,,Epidryos,,"allenii",,"","(Steyerm.) Maguire",Accepted,,H,WCSP,243351,92367-2,"Taxon","11: 57","","1962"
kew-243352,A,Rapateaceae,,Epidryos,,"guayanensis",,"","Maguire",Accepted,,H,WCSP,243352,92368-2,"Mem. New York Bot. Gard.","12(3): 89","","1965"
kew-243353,A,Rapateaceae,,Epidryos,,"micrantherus",,"","(Maguire) Maguire",Accepted,,H,WCSP,243353,92369-2,"Taxon","11: 57","","1962"
kew-247360,A,Rapateaceae,,Guacamaya,,"superba",,"","Maguire",Accepted,,H,WCSP,247360,113745-2,"Mem. New York Bot. Gard.","10(1): 36","","1958"
kew-251174,A,Rapateaceae,,Kunhardtia,,"radiata",,"","Maguire & Steyerm.",Accepted,,H,WCSP,251174,715243-1,"Acta Amazon.","9: 267","","1979"
kew-251175,A,Rapateaceae,,Kunhardtia,,"rhodantha",,"","Maguire",Accepted,,H,WCSP,251175,134104-2,"Mem. New York Bot. Gard.","10(1): 32","","1958"
kew-253247,A,Rapateaceae,,Marahuacaea,,"schomburgkii",,"","(Maguire) Maguire",Accepted,,H,WCSP,253247,280406-2,"Acta Bot. Venez.","14(3): 16","","1984"
kew-254124,A,Rapateaceae,,Maschalocephalus,,"dinklagei",,"","Gilg & K.Schum.",Accepted,,H,WCSP,254124,715246-1,"Bot. Jahrb. Syst.","28: 148","","1900"
kew-254626,A,Rapateaceae,,Monotrema,,"aemulans",,"","Körn.",Accepted,,H,WCSP,254626,715251-1,"Linnaea","37: 477","","1972"
kew-254627,A,Rapateaceae,,Monotrema,×,"affine",,"","Maguire",Accepted,,H,WCSP,254627,163874-2,"Mem. New York Bot. Gard.","10(1): 48","","1958"
kew-254628,A,Rapateaceae,,Monotrema,,"arthrophyllum",,"","(Seub.) Maguire",Accepted,,H,WCSP,254628,163875-2,"Mem. New York Bot. Gard.","10(1): 47","","1958"
kew-254629,A,Rapateaceae,,Monotrema,,"bracteatum",,"","Maguire",Accepted,,H,WCSP,254629,163876-2,"Mem. New York Bot. Gard.","10(1): 47","","1958"
kew-254633,A,Rapateaceae,,Monotrema,,"xyridoides",,"","Gleason",Accepted,,H,WCSP,254633,163877-2,"Bull. Torrey Bot. Club","58: 332","","1931"
kew-257736,A,Rapateaceae,,Phelpsiella,,"ptericaulis",,"","Maguire",Accepted,,H,WCSP,257736,192688-2,"Mem. New York Bot. Gard.","10(1): 29","","1958"
kew-259550,A,Rapateaceae,,Potarophytum,,"riparium",,"","Sandwith",Accepted,,H,WCSP,259550,208987-2,"Bull. Misc. Inform. Kew","1939: 21","","1939"
kew-260762,A,Rapateaceae,,Rapatea,,"angustifolia",,"","Spruce ex Körn.",Accepted,,H,WCSP,260762,715259-1,"Linnaea","37: 469","","1872"
kew-260763,A,Rapateaceae,,Rapatea,,"aracamuniana",,"","Steyerm.",Accepted,,H,WCSP,260763,284148-2,"Ann. Missouri Bot. Gard.","76: 964","","1989"
kew-260764,A,Rapateaceae,,Rapatea,,"chimantensis",,"","Steyerm.",Accepted,,H,WCSP,260764,284149-2,"Ann. Missouri Bot. Gard.","75: 313","","1988"
kew-260765,A,Rapateaceae,,Rapatea,,"circasiana",,"","García-Barr. & L.E.Mora",Accepted,,H,WCSP,260765,217803-2,"Mutisia","22: 9","","1954"
kew-260766,A,Rapateaceae,,Rapatea,,"elongata",,"","G.Schulze",Accepted,,H,WCSP,260766,217804-2,"Notizbl. Bot. Gart. Berlin-Dahlem","12: 230","","1934"
kew-260767,A,Rapateaceae,,Rapatea,,"fanshawei",,"","Maguire",Accepted,,H,WCSP,260767,217805-2,"Mem. New York Bot. Gard.","12(3): 96","","1965"
kew-260774,A,Rapateaceae,,Rapatea,,"linearis",,"","Gleason",Accepted,,H,WCSP,260774,217807-2,"Bull. Torrey Bot. Club","52: 191","","1925"
kew-260775,A,Rapateaceae,,Rapatea,,"longipes",,"","Spruce ex Körn.",Accepted,,H,WCSP,260775,715269-1,"Linnaea","37: 472","","1872"
kew-260777,A,Rapateaceae,,Rapatea,,"membranacea",,"","Maguire",Accepted,,H,WCSP,260777,217809-2,"Mem. New York Bot. Gard.","12(3): 99","","1965"
kew-260779,A,Rapateaceae,,Rapatea,,"muaju",,"","García-Barr. & L.E.Mora",Accepted,,H,WCSP,260779,217811-2,"Mutisia","22: 7","","1954"
kew-260780,A,Rapateaceae,,Rapatea,,"paludosa",,"","Aubl.",Accepted,,H,WCSP,260780,715274-1,"Hist. Pl. Guiane","1: 305","","1775"
kew-260781,A,Rapateaceae,,Rapatea,,"paludosa",var.,"paludosa","",Accepted,,L,WCSP,260781,,"Unknown","","",""
kew-260785,A,Rapateaceae,,Rapatea,,"pycnocephala",,"","Seub.",Accepted,,H,WCSP,260785,715277-1,"Fl. Bras.","3(1): 128","","1847"
kew-260786,A,Rapateaceae,,Rapatea,,"rugulosa",,"","Maguire",Accepted,,H,WCSP,260786,715278-1,"Acta Amazon.","9: 268","","1979"
kew-260787,A,Rapateaceae,,Rapatea,,"saulensis",,"","B.M.Boom",Accepted,,H,WCSP,260787,302959-2,"Brittonia","46: 314","","1994"
kew-260788,A,Rapateaceae,,Rapatea,,"scabra",,"","Maguire",Accepted,,H,WCSP,260788,217814-2,"Mem. New York Bot. Gard.","12(3): 93","","1965"
kew-260790,A,Rapateaceae,,Rapatea,,"spectabilis",,"","Pilg.",Accepted,,H,WCSP,260790,217816-2,"Verh. Bot. Vereins Prov. Brandenburg","47: 101","","1905"
kew-260792,A,Rapateaceae,,Rapatea,,"spruceana",,"","Körn.",Accepted,,H,WCSP,260792,715283-1,"Linnaea","37: 470","","1872"
kew-260794,A,Rapateaceae,,Rapatea,,"steyermarkii",,"","Maguire",Accepted,,H,WCSP,260794,217817-2,"Fieldiana, Bot.","28(1): 130","","1951"
kew-260795,A,Rapateaceae,,Rapatea,,"ulei",,"","Pilg.",Accepted,,H,WCSP,260795,217818-2,"Notizbl. Bot. Gart. Berlin-Dahlem","6: 119","","1914"
kew-260798,A,Rapateaceae,,Rapatea,,"undulata",,"","Ducke",Accepted,,H,WCSP,260798,217819-2,"Arq. Inst. Biol. Veg.","2: 28","","1935"
kew-260802,A,Rapateaceae,,Rapatea,,"xiphoides",,"","Sandwith",Accepted,,H,WCSP,260802,217822-2,"Bull. Misc. Inform. Kew","1939: 23","","1939"
kew-260803,A,Rapateaceae,,Rapatea,,"yapacana",,"","Maguire",Accepted,,H,WCSP,260803,217823-2,"Mem. New York Bot. Gard.","12(3): 101","","1965"
tro-27200179,A,Rapateaceae,,Saxo-fridericia,,"aculeata",,"","Kornicke",Accepted,,M,TRO,27200179,715294-1,"Linnaea","37: 457","457","1872"
tro-27200158,A,Rapateaceae,,Saxo-fridericia,,"compressa",,"","Maguire",Accepted,,M,TRO,27200158,228697-2,"Mem. New York Bot. Gard.","10(1): 25","25","1958"
tro-27200163,A,Rapateaceae,,Saxo-fridericia,,"duidae",,"","Maguire",Accepted,,M,TRO,27200163,228698-2,"Mem. New York Bot. Gard.","10(1): 24","24","1958"
tro-27200159,A,Rapateaceae,,Saxo-fridericia,,"grandis",,"","Maguire",Accepted,,M,TRO,27200159,228700-2,"Mem. New York Bot. Gard.","10(1): 26, f. 4A-D","26","1958"
tro-27200162,A,Rapateaceae,,Saxo-fridericia,,"inermis",,"","Ducke",Accepted,,M,TRO,27200162,228701-2,"Arq. Inst. Biol. Veg.","4(1): 1","1","1938"
tro-27200169,A,Rapateaceae,,Saxo-fridericia,,"spongiosa",,"","Maguire",Accepted,,M,TRO,27200169,228703-2,"Mem. New York Bot. Gard.","10(1): 26, f. 4E-L","26","1958"
kew-262752,A,Rapateaceae,,Saxofridericia,,"aculeata",,"","Körn.",Accepted,,H,WCSP,262752,,"Linnaea","37: 457","","1872"
kew-262754,A,Rapateaceae,,Saxofridericia,,"colombiana",,"","García-Barr. & L.E.Mora",Accepted,,H,WCSP,262754,715303-1,"Mutisia","22: 3","","1954"
kew-262755,A,Rapateaceae,,Saxofridericia,,"compressa",,"","Maguire",Accepted,,H,WCSP,262755,,"Mem. New York Bot. Gard.","10(1): 25","","1958"
kew-262756,A,Rapateaceae,,Saxofridericia,,"duidae",,"","Maguire",Accepted,,H,WCSP,262756,,"Mem. New York Bot. Gard.","10(1): 24","","1958"
kew-262758,A,Rapateaceae,,Saxofridericia,,"grandis",,"","Maguire",Accepted,,H,WCSP,262758,,"Mem. New York Bot. Gard.","10(1): 26","","1958"
kew-262759,A,Rapateaceae,,Saxofridericia,,"inermis",,"","Ducke",Accepted,,H,WCSP,262759,715304-1,"Arq. Inst. Biol. Veg.","4: 1","","1938"
kew-262761,A,Rapateaceae,,Saxofridericia,,"petiolata",,"","Maguire",Accepted,,H,WCSP,262761,,"Mem. New York Bot. Gard.","10(1): 28","","1958"
kew-262762,A,Rapateaceae,,Saxofridericia,,"regalis",,"","R.H.Schomb.",Accepted,,H,WCSP,262762,,"Rapatea","14","","1845"
tro-27200168,A,Rapateaceae,,Saxofridericia,,"regalis",,"","R.H. Schomb.",Accepted,,M,TRO,27200168,,"Rapatea","14x","14x","1845"
kew-262763,A,Rapateaceae,,Saxofridericia,,"spongiosa",,"","Maguire",Accepted,,H,WCSP,262763,,"Mem. New York Bot. Gard.","10(1): 26","","1958"
kew-262890,A,Rapateaceae,,Schoenocephalium,,"cucullatum",,"","Maguire",Accepted,,H,WCSP,262890,229801-2,"Mem. New York Bot. Gard.","10(1): 39","","1958"
kew-262891,A,Rapateaceae,,Schoenocephalium,,"martianum",,"","Seub.",Accepted,,H,WCSP,262891,715308-1,"Fl. Bras.","3(1): 130","","1847"
kew-262892,A,Rapateaceae,,Schoenocephalium,,"schultesii",,"","Maguire",Accepted,,H,WCSP,262892,229802-2,"Mem. New York Bot. Gard.","10(1): 40","","1958"
kew-262894,A,Rapateaceae,,Schoenocephalium,,"teretifolium",,"","Maguire",Accepted,,H,WCSP,262894,229803-2,"Mem. New York Bot. Gard.","10(1): 38","","1958"
kew-266190,A,Rapateaceae,,Spathanthus,,"bicolor",,"","Ducke",Accepted,,H,WCSP,266190,241144-2,"Arq. Inst. Biol. Veg.","2: 28","","1935"
