ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2706499,A,Resedaceae,,Caylusea,,"abyssinica",,"","(Fresen.) Fisch. & C.A.Mey.",Accepted,,L,WCSP (in review),828860,715358-1,"Index Seminum (LE)","7: 43","","1841"
kew-2706501,A,Resedaceae,,Caylusea,,"hexagyna",,"","(Forssk.) M.L.Green",Accepted,,L,WCSP (in review),828862,715361-1,"Stand.-Sp. Nom. Conserv.","29, 63","","1926"
kew-2706502,A,Resedaceae,,Caylusea,,"jaberi",,"","Abedin",Accepted,,M,WCSP (in review),828863,929424-1,"Willdenowia","15: 433","","1986"
kew-2706503,A,Resedaceae,,Caylusea,,"latifolia",,"","P.Taylor",Accepted,,M,WCSP (in review),828864,715364-1,"Kew Bull.","13: 285","","1958"
tro-27300085,A,Resedaceae,,Homalodiscus,,"ochradeni",,"","(Boiss.) Boiss.",Accepted,,M,TRO,27300085,715381-1,"Fl. Orient.","1: 422","422","1867"
tro-50231191,A,Resedaceae,,Ochradenus,,"ochradeni",,"","(Boiss.) Abdallak",Accepted,,M,TRO,50231191,715391-1,"Meded. Landbouwhogeschool","67(8): 62","62","1967"
tro-27300029,A,Resedaceae,,Oligomeris,,"dipetala",,"","(Aiton) Turcz.",Accepted,,M,TRO,27300029,715400-1,"Bull. Soc. Imp. Naturalistes Moscou","27(2): 330","330","1854"
tro-27300030,A,Resedaceae,,Oligomeris,,"dipetala",var.,"dipetala","Turcz.",Accepted,,L,TRO,27300030,,"","","",""
tro-27300056,A,Resedaceae,,Oligomeris,,"dipetala",var.,"spathulata","Abdallah",Accepted,,L,TRO,27300056,,"","","",""
tro-27300060,A,Resedaceae,,Oligomeris,,"dregeana",,"","(Müll. Arg.) Müll. Arg.",Accepted,,M,TRO,27300060,715402-1,"Monog. Resed.","216","216",""
tro-27300027,A,Resedaceae,,Oligomeris,,"linifolia",,"","(Vahl) J.F. Macbr.",Accepted,,L,TRO,27300027,173708-2,"Contr. Gray Herb.","53: 13","13","1918"
gcc-2636,A,Resedaceae,,Oligomeris,,"subulata",,"","Webb,",Accepted,,L,TICA,0EDB99C7-F05E-4D59-9797-04DAF0E07C5A,,"","","",""
kew-2869300,A,Resedaceae,,Randonia,,"africans",,"","Coss.",Accepted,,M,WCSP (in review),987837,,"Bull. Soc. Bot. France","6: 392","","1859"
kew-2869301,A,Resedaceae,,Randonia,,"somalensis",,"","Schinz",Accepted,,M,WCSP (in review),987838,715415-1,"Bull. Herb. Boissier","3: 398","","1895"
kew-2869302,A,Resedaceae,,Randonia,,"spartioides",,"","O.Schwartz",Accepted,,M,WCSP (in review),987839,715416-1,"Mitt. Inst. Allg. Bot. Hamburg","10: 76","","1939"
kew-2525256,A,Resedaceae,,Reseda,,"alba",,"","L.",Accepted,,M,WCSP (in review),652439,715421-1,"Sp. Pl.","449","","1753"
kew-2873165,A,Resedaceae,,Reseda,,"alba",subsp.,"myriosperma","(Murb.) Maire",Accepted,,L,WCSP (in review),989866,,"Cat. Pl. Maroc","315","","1932"
