ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2623012,A,Rhamnaceae,,Adolphia,,"californica",,"","S.Watson",Accepted,,M,WCSP (in review),746870,716594-1,"Proc. Amer. Acad. Arts","11: 126","","1876"
kew-2623013,A,Rhamnaceae,,Adolphia,,"infesta",,"","(Kunth) Meisn.",Accepted,,M,WCSP (in review),746871,716595-1,"Pl. Vasc. Gen.","70(50)","","1837"
kew-2629979,A,Rhamnaceae,,Alphitonia,,"carolinensis",,"","Hosok.",Accepted,,M,WCSP (in review),753703,716615-1,"Trans. Nat. Hist. Soc. Taiwan","32: 288","","1942"
kew-2629980,A,Rhamnaceae,,Alphitonia,,"cinerascens",,"","(Miq.) Hoogland",Accepted,,M,WCSP (in review),753704,716616-1,"Kew Bull.","14: 33","","1960"
kew-2629982,A,Rhamnaceae,,Alphitonia,,"erubescens",,"","Baill.",Accepted,,M,WCSP (in review),753706,716618-1,"Adansonia","11: 271","","1875"
kew-2629983,A,Rhamnaceae,,Alphitonia,,"excelsa",,"","(Fenzl) Reissek ex Benth.",Accepted,,M,WCSP (in review),753707,716620-1,"Fl. Austral.","1: 414","","1863"
kew-2629986,A,Rhamnaceae,,Alphitonia,,"ferruginea",,"","Merr. & L.M.Perry",Accepted,,M,WCSP (in review),753710,716621-1,"J. Arnold Arbor.","20: 338","","1939"
kew-2629987,A,Rhamnaceae,,Alphitonia,,"franguloides",,"","A.Gray",Accepted,,M,WCSP (in review),753711,716622-1,"U.S. Expl. Exped., Phan.","1: 280","","1854"
kew-2629988,A,Rhamnaceae,,Alphitonia,,"incana",,"","(Roxb.) Teijsm. & Binn. ex Kurz",Accepted,,M,WCSP (in review),753712,716623-1,"J. Bot.","11: 208","","1873"
kew-2629989,A,Rhamnaceae,,Alphitonia,,"macrocarpa",,"","Mansf.",Accepted,,M,WCSP (in review),753713,716625-1,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 222","","1928"
kew-2629990,A,Rhamnaceae,,Alphitonia,,"marquesensis",,"","F.Br.",Accepted,,M,WCSP (in review),753714,716626-1,"Bernice P. Bishop Mus. Bull.","130: 166","","1935"
kew-2629992,A,Rhamnaceae,,Alphitonia,,"neocaledonica",,"","(Schltr.) Guillaumin",Accepted,,L,WCSP (in review),753716,716629-1,"Notul. Syst. (Paris)","2: 99","","1911"
kew-2629995,A,Rhamnaceae,,Alphitonia,,"petriei",,"","Braid & C.T.White",Accepted,,M,WCSP (in review),753719,716631-1,"Bull. Misc. Inform. Kew","1925: 178","","1925"
kew-2629996,A,Rhamnaceae,,Alphitonia,,"philippinensis",,"","Braid",Accepted,,M,WCSP (in review),753720,716632-1,"Bull. Misc. Inform. Kew","1925: 183","","1925"
kew-2603430,A,Rhamnaceae,,Alphitonia,,"pomaderroides",,"","(Fenzl) A.R.Bean",Accepted,,M,WCSP (in review),728113,77079734-1,"Austrobaileya","7: 377","","2006"
kew-2629997,A,Rhamnaceae,,Alphitonia,,"ponderosa",,"","Hillebr.",Accepted,,M,WCSP (in review),753721,716633-1,"Fl. Hawaiian Isl.","81","","1888"
kew-2630003,A,Rhamnaceae,,Alphitonia,,"vieillardii",,"","Lenorm. ex Braid",Accepted,,M,WCSP (in review),753727,,"Bull. Misc. Inform. Kew","1925: 179","","1925"
kew-2630004,A,Rhamnaceae,,Alphitonia,,"whitei",,"","Braid",Accepted,,M,WCSP (in review),753728,716635-1,"Bull. Misc. Inform. Kew","1925: 181","","1925"
kew-2630005,A,Rhamnaceae,,Alphitonia,,"xerocarpus",,"","Baill.",Accepted,,M,WCSP (in review),753729,716636-1,"Adansonia","11: 270","","1875"
