ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-27802490,A,Rosaceae,,Acaena,,"alpina",,"","Poepp. ex Walp.",Accepted,,M,TRO,27802490,,"Nov. Actorum Acad. Caes. Leop.-Carol. Nat. Cur.","19(Suppl. 1): 326","326","1843"
tro-27800866,A,Rosaceae,,Acaena,,"anserinifolia",,"","(J.R. Forst. & G. Forst.) Druce",Accepted,,M,TRO,27800866,83367-3,"Rep. Bot. Soc. Exch. Club Brit. Isles","Suppl. 2: 484, 602","484","1916"
tro-27800001,A,Rosaceae,,Acaena,,"antarctica",,"","Hook. f.",Accepted,,M,TRO,27800001,719938-1,"","","",""
tro-27800396,A,Rosaceae,,Acaena,,"argentea",,"","Ruiz & Pav.",Accepted,,M,TRO,27800396,719940-1,"Fl. Peruv.","1: 67, t. 103","67","1798"
tro-27802492,A,Rosaceae,,Acaena,,"caespitosa",,"","Gillies ex Hook. & Arn.",Accepted,,M,TRO,27802492,,"Bot. Misc.","3: 307","307","1833"
tro-50305513,A,Rosaceae,,Acaena,,"confertissima",,"","Bitter",Accepted,,M,TRO,50305513,836-2,"Biblioth. Bot.","17(74): 107","107","1910"
tro-27800401,A,Rosaceae,,Acaena,,"cylindristachya",,"","Ruiz & Pav.",Accepted,,M,TRO,27800401,719970-1,"Fl. Peruv.","1: 68, t. 104, f. a","68","1798"
tro-27801690,A,Rosaceae,,Acaena,,"elongata",,"","L.",Accepted,,M,TRO,27801690,719987-1,"Mant. Pl.","2: 200","200","1771"
tro-27800405,A,Rosaceae,,Acaena,,"eupatoria",,"","Cham. & Schltdl.",Accepted,,M,TRO,27800405,719989-1,"","","",""
tro-27800410,A,Rosaceae,,Acaena,,"integerrima",,"","Gillies",Accepted,,M,TRO,27800410,720017-1,"","","",""
tro-27801903,A,Rosaceae,,Acaena,,"latebrosa",,"","Aiton",Accepted,,M,TRO,27801903,720024-1,"","","",""
tro-27800413,A,Rosaceae,,Acaena,,"leptacantha",,"","Phil.",Accepted,,M,TRO,27800413,720028-1,"Linnaea","33: 66","66","1864"
tro-27802493,A,Rosaceae,,Acaena,,"lucida",,"","Vahl",Accepted,,M,TRO,27802493,,"","","",""
tro-27800416,A,Rosaceae,,Acaena,,"macrocephala",,"","Poepp.",Accepted,,M,TRO,27800416,720040-1,"","","",""
tro-27800007,A,Rosaceae,,Acaena,,"magellanica",,"","Vahl",Accepted,,M,TRO,27800007,315239-2,"Enum. Pl.","297","297","1804"
tro-27800418,A,Rosaceae,,Acaena,,"masafuerana",,"","Bitter",Accepted,,M,TRO,27800418,936-2,"Biblioth. Bot.","17(74): 45, pl. 2","45","1910"
tro-27805529,A,Rosaceae,,Acaena,,"myriophylla",,"","Lindl.",Accepted,,M,TRO,27805529,720060-1,"Sketch Veg. Swan R.","15","15","1829"
tro-27801691,A,Rosaceae,,Acaena,,"ovalifolia",,"","Ruiz & Pav.",Accepted,,M,TRO,27801691,720073-1,"Fl. Peruv.","1: 67, pl. 103","67","1798"
tro-50312657,A,Rosaceae,,Acaena,,"pallida",,"","(Kirk) Allan",Accepted,,M,TRO,50312657,720077-1,"Fl. New Zealand","1: 360","360","1961"
tro-50153272,A,Rosaceae,,Acaena,,"patagonica",,"","A.E. Martic.",Accepted,,M,TRO,50153272,318017-2,"Novon","9(2): 227","227","1999"
tro-27800013,A,Rosaceae,,Acaena,,"pinnatifida",,"","Ruiz & Pav.",Accepted,,M,TRO,27800013,720089-1,"Fl. Peruv.","1: 68, pl. 104, f. b","68","1798"
tro-50312654,A,Rosaceae,,Acaena,,"pinnatifida",var.,"californica","(Bitter) Jeps.",Accepted,,L,TRO,50312654,982-2,"Man. Fl. Pl. Calif.","501","501","1925"
tro-27802494,A,Rosaceae,,Acaena,,"platyacantha",,"","Speg.",Accepted,,M,TRO,27802494,1004-2,"","","",""
tro-27800427,A,Rosaceae,,Acaena,,"poeppigiana",,"","Gay",Accepted,,M,TRO,27800427,720094-1,"","","",""
tro-27800429,A,Rosaceae,,Acaena,,"pumila",,"","Vahl",Accepted,,M,TRO,27800429,720102-1,"","","",""
tro-27802495,A,Rosaceae,,Acaena,,"sericea",,"","Jacq. f.",Accepted,,M,TRO,27802495,720114-1,"","","",""
