ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2610291,A,Rousseaceae,,Abrophyllum,,"microcarpum",,"","(F.M.Bailey) Domin",Accepted,,M,WCSP (in review),734162,790192-1,"Biblioth. Bot.","89: 151","","1925"
kew-2610292,A,Rousseaceae,,Abrophyllum,,"ornans",,"","(F.Muell.) Hook.f.",Accepted,,M,WCSP (in review),734163,790193-1,"Fl. Austral.","2: 437","","1864"
kew-2701289,A,Rousseaceae,,Carpodetus,,"amplus",,"","Reeder",Accepted,,M,WCSP (in review),824372,790460-1,"J. Arnold Arbor.","27: 275","","1946"
kew-2701290,A,Rousseaceae,,Carpodetus,,"arboreus",,"","(Lauterb. & K.Schum.) Schltr.",Accepted,,M,WCSP (in review),824373,790461-1,"Bot. Jahrb. Syst.","52: 136","","1914"
kew-2701291,A,Rousseaceae,,Carpodetus,,"archboldianus",,"","Reeder",Accepted,,M,WCSP (in review),824374,790462-1,"J. Arnold Arbor.","27: 276","","1946"
kew-2701293,A,Rousseaceae,,Carpodetus,,"denticulatus",,"","(Ridl.) Reeder",Accepted,,M,WCSP (in review),824376,790464-1,"J. Arnold Arbor.","27: 277","","1946"
kew-2701294,A,Rousseaceae,,Carpodetus,,"flexuosus",,"","(Ridl.) Reeder",Accepted,,M,WCSP (in review),824377,790465-1,"J. Arnold Arbor.","27: 278","","1946"
kew-2701296,A,Rousseaceae,,Carpodetus,,"fuscus",,"","Reeder",Accepted,,M,WCSP (in review),824379,790467-1,"J. Arnold Arbor.","27: 277","","1946"
kew-2701297,A,Rousseaceae,,Carpodetus,,"grandiflorus",,"","Schltr.",Accepted,,M,WCSP (in review),824380,790468-1,"Bot. Jahrb. Syst.","52: 138","","1914"
kew-2701299,A,Rousseaceae,,Carpodetus,,"major",,"","Schltr.",Accepted,,M,WCSP (in review),824382,790470-1,"Bot. Jahrb. Syst.","52: 137","","1914"
kew-2701300,A,Rousseaceae,,Carpodetus,,"montanus",,"","(Ridl.) Reeder",Accepted,,M,WCSP (in review),824383,790471-1,"J. Arnold Arbor.","27: 278","","1946"
kew-2701301,A,Rousseaceae,,Carpodetus,,"pullei",,"","Schltr.",Accepted,,M,WCSP (in review),824384,790472-1,"Bot. Jahrb. Syst.","52: 137","","1914"
kew-2701302,A,Rousseaceae,,Carpodetus,,"serratus",,"","J.R.Forst. & G.Forst.",Accepted,,M,WCSP (in review),824385,337084-1,"Char. Gen. Pl.","17","","1775"
kew-2748963,A,Rousseaceae,,Cuttsia,,"viburnea",,"","F.Muell.",Accepted,,M,WCSP (in review),870661,790746-1,"Fragm.","5: 47","","1865"
