ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2370,A,Rubiaceae,,Acranthera,,"abbreviata",,"","Valeton",Accepted,,H,WCSP,2370,742822-1,"Icon. Bogor.","t. 355","","1913"
kew-2371,A,Rubiaceae,,Acranthera,,"anamallica",,"","Bedd.",Accepted,,H,WCSP,2371,742823-1,"Icon. Pl. Ind. Or.","5","","1869"
kew-2372,A,Rubiaceae,,Acranthera,,"athroophlebia",,"","Bremek.",Accepted,,H,WCSP,2372,742824-1,"J. Arnold Arbor.","28: 305","","1947"
kew-2373,A,Rubiaceae,,Acranthera,,"atropella",,"","Stapf",Accepted,,H,WCSP,2373,742825-1,"Trans. Linn. Soc. London, Bot.","4: 173","","1894"
kew-2374,A,Rubiaceae,,Acranthera,,"aurantiaca",,"","Valeton ex Bremek.",Accepted,,H,WCSP,2374,742826-1,"J. Arnold Arbor.","28: 291","","1947"
kew-2375,A,Rubiaceae,,Acranthera,,"axilliflora",,"","Valeton",Accepted,,H,WCSP,2375,742827-1,"Bot. Jahrb. Syst.","44: 550","","1910"
kew-2376,A,Rubiaceae,,Acranthera,,"bullata",,"","Merr.",Accepted,,H,WCSP,2376,742828-1,"Mitt. Inst. Allg. Bot. Hamburg","7: 284","","1937"
kew-2377,A,Rubiaceae,,Acranthera,,"capitata",,"","Valeton",Accepted,,H,WCSP,2377,742829-1,"Icon. Bogor.","t. 391","","1914"
kew-2378,A,Rubiaceae,,Acranthera,,"ceylanica",,"","Arn. ex Meisn.",Accepted,,H,WCSP,2378,,"Pl. Vasc. Gen.","2: 115","","1838"
kew-2379,A,Rubiaceae,,Acranthera,,"didymocarpa",,"","(Ridl.) K.M.Wong",Accepted,,H,WCSP,2379,909908-1,"Gard. Bull. Singapore","35: 30","","1982"
kew-2380,A,Rubiaceae,,Acranthera,,"endertii",,"","Bremek.",Accepted,,H,WCSP,2380,742831-1,"J. Arnold Arbor.","28: 296","","1947"
kew-2381,A,Rubiaceae,,Acranthera,,"frutescens",,"","Valeton",Accepted,,H,WCSP,2381,742832-1,"Bot. Jahrb. Syst.","44: 551","","1910"
kew-2382,A,Rubiaceae,,Acranthera,,"grandiflora",,"","Bedd.",Accepted,,H,WCSP,2382,742833-1,"Icon. Pl. Ind. Or.","5","","1869"
kew-2384,A,Rubiaceae,,Acranthera,,"hallieri",,"","Valeton",Accepted,,H,WCSP,2384,742835-1,"Icon. Bogor.","t. 356","","1913"
kew-2385,A,Rubiaceae,,Acranthera,,"hirtostipula",,"","Valeton",Accepted,,H,WCSP,2385,742836-1,"Icon. Bogor.","t. 392","","1913"
kew-2386,A,Rubiaceae,,Acranthera,,"involucrata",,"","Valeton",Accepted,,H,WCSP,2386,742837-1,"Icon. Bogor.","t. 393","","1914"
kew-2387,A,Rubiaceae,,Acranthera,,"johannis-winkleri",,"","Merr.",Accepted,,H,WCSP,2387,742838-1,"Mitt. Inst. Allg. Bot. Hamburg","7: 285","","1937"
