ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2617445,A,Rutaceae,,Achuaria,,"hirsuta",,"","Gereau",Accepted,,M,WCSP (in review),741317,271524-2,"Candollea","45: 365","","1990"
kew-2618114,A,Rutaceae,,Acmadenia,,"alternifolia",,"","Cham.",Accepted,,M,WCSP (in review),741731,770599-1,"Linnaea","5: 52","","1830"
kew-2618116,A,Rutaceae,,Acmadenia,,"argillophila",,"","I.Williams",Accepted,,M,WCSP (in review),741733,770601-1,"J. S. African Bot.","45: 160","","1979"
kew-2618118,A,Rutaceae,,Acmadenia,,"baileyensis",,"","I.Williams",Accepted,,M,WCSP (in review),741735,899074-1,"J. S. African Bot.","48: 227","","1982"
kew-2618120,A,Rutaceae,,Acmadenia,,"bodkinii",,"","(Schltr.) Strid",Accepted,,M,WCSP (in review),741737,,"Opera Bot.","32: 101","","1972"
kew-2618121,A,Rutaceae,,Acmadenia,,"burchellii",,"","Dummer",Accepted,,M,WCSP (in review),741738,770604-1,"Repert. Spec. Nov. Regni Veg.","11: 164","","1912"
kew-2618122,A,Rutaceae,,Acmadenia,,"candida",,"","I.Williams",Accepted,,M,WCSP (in review),741739,770605-1,"J. S. African Bot.","44: 352","","1978"
kew-2618125,A,Rutaceae,,Acmadenia,,"densifolia",,"","Sond.",Accepted,,M,WCSP (in review),741742,770608-1,"Fl. Cap.","1: 383","","1860"
kew-2618127,A,Rutaceae,,Acmadenia,,"faucitincta",,"","I.Williams",Accepted,,M,WCSP (in review),741744,899075-1,"J. S. African Bot.","48: 232","","1982"
kew-2618128,A,Rutaceae,,Acmadenia,,"flaccida",,"","Eckl. & Zeyh.",Accepted,,M,WCSP (in review),741745,770610-1,"Enum. Pl. Afric. Austral","105","","1835"
kew-2618129,A,Rutaceae,,Acmadenia,,"fruticosa",,"","I.Williams",Accepted,,M,WCSP (in review),741746,770611-1,"J. S. African Bot.","41: 243","","1975"
kew-2618130,A,Rutaceae,,Acmadenia,,"gracilis",,"","Dummer",Accepted,,M,WCSP (in review),741747,770612-1,"Repert. Spec. Nov. Regni Veg.","11: 163","","1912"
kew-2618133,A,Rutaceae,,Acmadenia,,"heterophylla",,"","Glover",Accepted,,M,WCSP (in review),741750,770615-1,"Ann. Bolus Herb.","1: 127","","1915"
kew-2618135,A,Rutaceae,,Acmadenia,,"kiwanensis",,"","I.Williams",Accepted,,M,WCSP (in review),741752,770617-1,"J. S. African Bot.","44: 347","","1978"
kew-2618138,A,Rutaceae,,Acmadenia,,"latifolia",,"","I.Williams",Accepted,,M,WCSP (in review),741755,899076-1,"J. S. African Bot.","48: 199","","1982"
kew-2618139,A,Rutaceae,,Acmadenia,,"laxa",,"","I.Williams",Accepted,,M,WCSP (in review),741756,770620-1,"J. S. African Bot.","40: 283","","1974"
kew-2618140,A,Rutaceae,,Acmadenia,,"macradenia",,"","(Sond.) Dummer",Accepted,,L,WCSP (in review),741757,770621-1,"Ann. Bolus Herb.","3: 87","","1921"
kew-2618141,A,Rutaceae,,Acmadenia,,"macropetala",,"","(Glover) Compton",Accepted,,M,WCSP (in review),741758,770622-1,"J. Bot.","70: 286","","1932"
kew-2618142,A,Rutaceae,,Acmadenia,,"maculata",,"","I.Williams",Accepted,,M,WCSP (in review),741759,899077-1,"J. S. African Bot.","48: 215","","1982"
kew-2618144,A,Rutaceae,,Acmadenia,,"matroosbergensis",,"","E.Phillips",Accepted,,M,WCSP (in review),741761,770624-1,"J. S. African Bot.","9: 137","","1943"
kew-2618145,A,Rutaceae,,Acmadenia,,"mundiana",,"","Eckl. & Zeyh.",Accepted,,M,WCSP (in review),741762,770625-1,"Enum. Pl. Afric. Austral","105","","1835"
kew-2618148,A,Rutaceae,,Acmadenia,,"nivea",,"","I.Williams",Accepted,,M,WCSP (in review),741765,770628-1,"J. S. African Bot.","44: 350","","1978"
kew-2618149,A,Rutaceae,,Acmadenia,,"nivenii",,"","Sond.",Accepted,,M,WCSP (in review),741766,770629-1,"Fl. Cap.","1: 380","","1860"
kew-2618150,A,Rutaceae,,Acmadenia,,"obtusata",,"","(Thunb.) Bartl. & H.L.Wendl.",Accepted,,M,WCSP (in review),741767,770631-1,"Beitr. Bot.","1: 63","","1824"
kew-2618153,A,Rutaceae,,Acmadenia,,"patentifolia",,"","I.Williams",Accepted,,M,WCSP (in review),741770,770632-1,"J. S. African Bot.","44: 343","","1978"
kew-2618158,A,Rutaceae,,Acmadenia,,"rourkeana",,"","I.Williams",Accepted,,M,WCSP (in review),741775,899078-1,"J. S. African Bot.","48: 183","","1982"
kew-2618159,A,Rutaceae,,Acmadenia,,"rupicola",,"","I.Williams",Accepted,,M,WCSP (in review),741776,770637-1,"J. S. African Bot.","45: 163","","1979"
kew-2618160,A,Rutaceae,,Acmadenia,,"sheilae",,"","I.Williams",Accepted,,M,WCSP (in review),741777,770638-1,"J. S. African Bot.","40: 281","","1974"
kew-2618162,A,Rutaceae,,Acmadenia,,"tenax",,"","I.Williams",Accepted,,M,WCSP (in review),741779,770640-1,"J. S. African Bot.","45: 166","","1979"
kew-2618163,A,Rutaceae,,Acmadenia,,"teretifolia",,"","(Link) E.Phillips",Accepted,,M,WCSP (in review),741780,770641-1,"Bull. Misc. Inform. Kew","1920: 23","","1920"
kew-2618164,A,Rutaceae,,Acmadenia,,"tetracarpellata",,"","I.Williams",Accepted,,M,WCSP (in review),741781,770643-1,"J. S. African Bot.","41: 247","","1975"
kew-2618165,A,Rutaceae,,Acmadenia,,"tetragona",,"","(L.f.) Bartl. & H.L.Wendl.",Accepted,,M,WCSP (in review),741782,770645-1,"Beitr. Bot.","1: 65","","1824"
kew-2618167,A,Rutaceae,,Acmadenia,,"trigona",,"","(Eckl. & Zeyh.) Druce",Accepted,,M,WCSP (in review),741784,770646-1,"Rep. Bot. Soc. Exch. Club Brit. Isles","4: 602","","1916 publ. 1917"
kew-2618169,A,Rutaceae,,Acmadenia,,"wittebergensis",,"","(Compton) I.Williams",Accepted,,M,WCSP (in review),741786,770648-1,"J. S. African Bot.","44: 359","","1979"
kew-2619952,A,Rutaceae,,Acradenia,,"euodiiformis",,"","(F.Muell.) T.G.Hartley",Accepted,,M,WCSP (in review),743821,770651-1,"J. Arnold Arbor.","58: 176","","1977"
kew-2619953,A,Rutaceae,,Acradenia,,"frankliniae",,"","Kippist",Accepted,,M,WCSP (in review),743822,770652-1,"Proc. Linn. Soc. London","2: 201","","1852"
