ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-28200026,A,Sabiaceae,,Lorenzanea,,"irazuensis",,"","Standl.",Accepted,,M,TRO,28200026,,"","","",""
tro-28200003,A,Sabiaceae,,Meliosma,,"alba",,"","(Schltdl.) Walp.",Accepted,,M,TRO,28200003,776163-1,"Repert. Bot. Syst.","2: 816","816","1843"
tro-28200027,A,Sabiaceae,,Meliosma,,"allenii",,"","Standl. & L.O. Williams",Accepted,,M,TRO,28200027,289809-2,"Ceiba","3(3): 213","213","1953"
tro-28200094,A,Sabiaceae,,Meliosma,,"angustifolia",,"","Merr.",Accepted,,M,TRO,28200094,776167-1,"Philipp. J. Sci.","21(4): 348-349","348","1922"
tro-28200071,A,Sabiaceae,,Meliosma,,"arenosa",,"","Idrobo & Cuatrec.",Accepted,,M,TRO,28200071,776170-1,"Caldasia","7: 192","192","1955"
kew-2505022,A,Sabiaceae,,Meliosma,,"aristeguietae",,"","Steyerm. & A.H.Gentry",Accepted,,M,WCSP (in review),632568,306959-2,"Fl. Venez.","5(1): 206","","1992"
tro-28200044,A,Sabiaceae,,Meliosma,,"arnottiana",,"","(Wight) Walp.",Accepted,,M,TRO,28200044,776171-1,"Repert. Bot. Syst.","1: 423","423","1842"
tro-28200169,A,Sabiaceae,,Meliosma,,"bifida",,"","Y.W. Law",Accepted,,M,TRO,28200169,776174-1,"Acta Phytotax. Sin.","17(1): 44, pl. 3","44","1979"
tro-28200004,A,Sabiaceae,,Meliosma,,"bogotana",,"","Steyerm.",Accepted,,M,TRO,28200004,156673-2,"Bull. Torrey Bot. Club","80: 500","500","1953"
tro-28200048,A,Sabiaceae,,Meliosma,,"boliviensis",,"","Cuatrec.",Accepted,,M,TRO,28200048,156674-2,"Trop. Woods","101: 27","27","1955"
tro-28200028,A,Sabiaceae,,Meliosma,,"brenesii",,"","Standl.",Accepted,,M,TRO,28200028,156676-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","18(2): 648","648","1937"
tro-28200187,A,Sabiaceae,,Meliosma,,"callicarpifolia",,"","Hayata",Accepted,,M,TRO,28200187,776182-1,"Icon. Pl. Formosan.","3: 68-69","68","1913"
tro-28200029,A,Sabiaceae,,Meliosma,,"cordata",,"","A.H. Gentry",Accepted,,M,TRO,28200029,156677-2,"Ann. Missouri Bot. Gard.","67(4): 954","954","1980"
tro-28200148,A,Sabiaceae,,Meliosma,,"cuneifolia",,"","Franch.",Accepted,,M,TRO,28200148,776196-1,"Nouv. Arch. Mus. Hist. Nat., sér. 2,","8: 211","211","1886"
tro-50009249,A,Sabiaceae,,Meliosma,,"cuneifolia",var.,"cuneifolia","",Accepted,,L,TRO,50009249,,"","","",""
tro-28200151,A,Sabiaceae,,Meliosma,,"cuneifolia",var.,"glabriuscula","Cufod.",Accepted,,L,TRO,28200151,,"Oesterr. Bot. Z.","88: 257","257","1939"
tro-28200006,A,Sabiaceae,,Meliosma,,"dentata",,"","(Liebm.) Urb.",Accepted,,L,TRO,28200006,156678-2,"Ber. Deutsch. Bot. Ges.","13(5): 212","212","1895"
tro-28200146,A,Sabiaceae,,Meliosma,,"dilleniifolia",,"","(Wall. ex Wight & Arn.) Walp.",Accepted,,M,TRO,28200146,776202-1,"Repert. Bot. Syst.","1: 423","423","1842"
tro-28200183,A,Sabiaceae,,Meliosma,,"dumicola",,"","W.W. Sm.",Accepted,,M,TRO,28200183,776208-1,"Notes Roy. Bot. Gard. Edinburgh","13(63-64): 170-171","170","1921"
tro-28200155,A,Sabiaceae,,Meliosma,,"flexuosa",,"","Pamp.",Accepted,,M,TRO,28200155,776219-1,"Nuovo Giorn. Bot. Ital., n.s.,","17(3): 423-424","423","1910"
tro-28200111,A,Sabiaceae,,Meliosma,,"fordii",,"","Hemsl.",Accepted,,M,TRO,28200111,776222-1,"J. Linn. Soc., Bot.","23(153): 144-145","144","1886"
tro-50009255,A,Sabiaceae,,Meliosma,,"fordii",var.,"fordii","",Accepted,,L,TRO,50009255,,"","","",""
tro-28200116,A,Sabiaceae,,Meliosma,,"fordii",var.,"sinii","(Diels) Y.W. Law",Accepted,,L,TRO,28200116,921169-1,"Acta Phytotax. Sin.","20(4): 430-431","430","1982"
tro-28200030,A,Sabiaceae,,Meliosma,,"frondosa",,"","Cuatrec. & Idrobo",Accepted,,M,TRO,28200030,156682-2,"Caldasia","7(33): 193-195, t. 5","193","1955"
kew-2504943,A,Sabiaceae,,Meliosma,,"gentryi",,"","Aymard & Cuello",Accepted,,M,WCSP (in review),632489,302367-2,"BioLlania","10: 1","","1994"
tro-28200007,A,Sabiaceae,,Meliosma,,"glabrata",,"","(Liebm.) Urb.",Accepted,,M,TRO,28200007,156683-2,"Ber. Deutsch. Bot. Ges.","13(5): 213","213","1895"
tro-28200132,A,Sabiaceae,,Meliosma,,"glandulosa",,"","Cufod.",Accepted,,M,TRO,28200132,1019615-1,"Oesterr. Bot. Z.","88: 252-253","252","1939"
tro-28200031,A,Sabiaceae,,Meliosma,,"grandiflora",,"","C.V. Morton ex A.H. Gentry",Accepted,,M,TRO,28200031,156686-2,"Ann. Missouri Bot. Gard.","67(4): 957, f. 1C-D","957","1980"
tro-28200009,A,Sabiaceae,,Meliosma,,"grandifolia",,"","(Liebm.) Urb.",Accepted,,M,TRO,28200009,1150102-2,"Ber. Deutsch. Bot. Ges.","13(5): 211","211","1895"
tro-28200176,A,Sabiaceae,,Meliosma,,"henryi",,"","Diels",Accepted,,M,TRO,28200176,776237-1,"Bot. Jahrb. Syst.","29(3-4): 452","452","1900"
kew-2504925,A,Sabiaceae,,Meliosma,,"herbertii",,"","Rolfe",Accepted,,M,WCSP (in review),632471,156687-2,"Bull. Misc. Inform. Kew","1893: 244","","1893"
kew-2504900,A,Sabiaceae,,Meliosma,,"herbertii",var.,"tepuiensis","(Steyerm. & Maguire) Steyerm. & A.H.Gentry",Accepted,,L,WCSP (in review),632446,1101030-2,"Fl. Venez.","5(1): 210","","1992"
tro-28200032,A,Sabiaceae,,Meliosma,,"idiopoda",,"","S.F. Blake",Accepted,,M,TRO,28200032,156689-2,"J. Wash. Acad. Sci.","14(13): 289","289","1924"
tro-50107190,A,Sabiaceae,,Meliosma,,"irazuensis",,"","Standl.",Accepted,,M,TRO,50107190,776245-1,"Arch. Bot. Sist.","9(3-4): 194","194","1933"
kew-2504872,A,Sabiaceae,,Meliosma,,"itatiaiae",,"","Urb.",Accepted,,M,WCSP (in review),632418,156692-2,"Symb. Antill.","1: 510","","1900"
tro-28200131,A,Sabiaceae,,Meliosma,,"kirkii",,"","Hemsl. & E.H. Wilson",Accepted,,M,TRO,28200131,776247-1,"Bull. Misc. Inform. Kew","1906(5): 154-155","154","1906"
tro-28200189,A,Sabiaceae,,Meliosma,,"laui",,"","Merr.",Accepted,,M,TRO,28200189,776252-1,"Lingnan Sci. J.","14(1): 32","32","1935"
tro-28200033,A,Sabiaceae,,Meliosma,,"linearifolia",,"","A.H. Gentry",Accepted,,M,TRO,28200033,156693-2,"Ann. Missouri Bot. Gard.","67(4): 960, f. 1A-B","960","1980"
tro-28200086,A,Sabiaceae,,Meliosma,,"littlei",,"","Cuatrec.",Accepted,,M,TRO,28200086,156694-2,"Brittonia","11: 172","172","1959"
tro-28200179,A,Sabiaceae,,Meliosma,,"longipes",,"","Merr.",Accepted,,M,TRO,28200179,776261-1,"J. Arnold Arbor.","23(2): 178-179","178","1942"
tro-28200067,A,Sabiaceae,,Meliosma,,"loretoyacuensis",,"","Cuatrec. & Idrobo",Accepted,,M,TRO,28200067,156696-2,"Caldasia","7: 195","195","1955"
tro-28200068,A,Sabiaceae,,Meliosma,,"martana",,"","Cuatrec. & Idrobo",Accepted,,M,TRO,28200068,,"Ernstia","49: 11","11","1988"
kew-2504982,A,Sabiaceae,,Meliosma,,"meridensis",,"","Lasser",Accepted,,M,WCSP (in review),632528,156700-2,"Bol. Soc. Venez. Ci. Nat.","8: 233","","1943"
tro-28200158,A,Sabiaceae,,Meliosma,,"myriantha",,"","Siebold & Zucc.",Accepted,,M,TRO,28200158,776279-1,"Abh. Bayer. Akad. Wiss., Math.-Naturwiss. Abt.","4(2): 153","153","1845"
tro-28200160,A,Sabiaceae,,Meliosma,,"myriantha",var.,"discolor","Dunn",Accepted,,L,TRO,28200160,,"J. Linn. Soc., Bot.","38(267): 358","358","1908"
tro-28200164,A,Sabiaceae,,Meliosma,,"myriantha",var.,"pilosa","(Lecomte) Y.W. Law",Accepted,,L,TRO,28200164,921170-1,"Acta Phytotax. Sin.","20(4): 430","430","1982"
kew-2504970,A,Sabiaceae,,Meliosma,,"nesites",,"","I.M.Johnst.",Accepted,,M,WCSP (in review),632516,156701-2,"Proc. Calif. Acad. Sci.","IV, 20: 73","","1931"
tro-28200034,A,Sabiaceae,,Meliosma,,"occidentalis",,"","Cuatrec.",Accepted,,M,TRO,28200034,156706-2,"Lloydia","11(3): 217","217","1948"
tro-50169911,A,Sabiaceae,,Meliosma,,"oldhamii",,"","Miq.",Accepted,,M,TRO,50169911,776291-1,"Ann. Mus. Bot. Lugduno-Batavum","3: 94","94","1867"
tro-50009261,A,Sabiaceae,,Meliosma,,"oldhamii",var.,"oldhamii","",Accepted,,L,TRO,50009261,,"","","",""
tro-28200154,A,Sabiaceae,,Meliosma,,"parviflora",,"","Lecomte",Accepted,,M,TRO,28200154,776298-1,"Bull. Soc. Bot. France","54: 676-677","676","1907"
tro-28200166,A,Sabiaceae,,Meliosma,,"paupera",,"","Hand.-Mazz.",Accepted,,M,TRO,28200166,776301-1,"Anz. Akad. Wiss. Wien, Math.-Naturwiss.","58: 150","150","1921"
kew-2510731,A,Sabiaceae,,Meliosma,,"petalodentata",,"","Arbeláez",Accepted,,M,WCSP (in review),638159,60429810-2,"Novon","14: 16","","2004"
tro-28200021,A,Sabiaceae,,Meliosma,,"peytonii",,"","A.H. Gentry",Accepted,,M,TRO,28200021,280702-2,"Ann. Missouri Bot. Gard.","73(4): 822","822","1986"
tro-28200122,A,Sabiaceae,,Meliosma,,"pinnata",,"","(Roxb.) Maxim.",Accepted,,M,TRO,28200122,776309-1,"Bull. Acad. Imp. Sci. Saint-Petersbourg","12: 64","64","1868"
kew-2505504,A,Sabiaceae,,Meliosma,,"pittieriana",,"","Steyerm.",Accepted,,M,WCSP (in review),633050,156710-2,"Fieldiana, Bot.","28: 354","","1952"
tro-28200056,A,Sabiaceae,,Meliosma,,"pumila",,"","A.H. Gentry",Accepted,,M,TRO,28200056,306428-2,"Novon","2(2): 155","155","1992"
tro-28200124,A,Sabiaceae,,Meliosma,,"rhoifolia",,"","Maxim.",Accepted,,M,TRO,28200124,,"Mélanges Biol. Bull. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg","6: 262-263","262","1867"
tro-28200102,A,Sabiaceae,,Meliosma,,"rhoifolia",var.,"barbulata","(Cufod.) Y.W. Law",Accepted,,L,TRO,28200102,921171-1,"Acta Phytotax. Sin.","20(4): 431","431","1982"
tro-28200074,A,Sabiaceae,,Meliosma,,"rigida",,"","Siebold & Zucc.",Accepted,,M,TRO,28200074,776320-1,"Abh. Bayer. Akad. Wiss., Math.-Naturwiss. Kl.","4(2): 153","153","1845"
tro-28200109,A,Sabiaceae,,Meliosma,,"rigida",var.,"pannosa","(Hand.-Mazz.) Y.W. Law",Accepted,,L,TRO,28200109,921172-1,"Acta Phytotax. Sin.","20(4): 430","430","1982"
tro-50009254,A,Sabiaceae,,Meliosma,,"rigida",var.,"rigida","",Accepted,,L,TRO,50009254,,"","","",""
tro-28200012,A,Sabiaceae,,Meliosma,,"schlimii",,"","(Turcz.) Triana & Planch.",Accepted,,M,TRO,28200012,1195914-2,"Ann. Sci. Nat., Bot., sér. 5","16: 363","363","1872"
tro-28200014,A,Sabiaceae,,Meliosma,,"sellowii",,"","Urb.",Accepted,,M,TRO,28200014,156714-2,"Ber. Deutsch. Bot. Ges.","13: 212","212","1895"
tro-28200058,A,Sabiaceae,,Meliosma,,"simiarum",,"","A.H. Gentry",Accepted,,M,TRO,28200058,306778-2,"Novon","2(2): 155","155","1992"
tro-28200172,A,Sabiaceae,,Meliosma,,"simplicifolia",,"","(Roxb.) Walp.",Accepted,,M,TRO,28200172,776329-1,"Repert. Bot. Syst.","1: 423","423","1842"
tro-28200015,A,Sabiaceae,,Meliosma,,"sinuata",,"","Urb.",Accepted,,M,TRO,28200015,156715-2,"","","",""
tro-28200057,A,Sabiaceae,,Meliosma,,"sirensis",,"","A.H. Gentry",Accepted,,M,TRO,28200057,304951-2,"Novon","2(2): 157","157","1992"
tro-28200022,A,Sabiaceae,,Meliosma,,"solomonii",,"","A.H. Gentry",Accepted,,M,TRO,28200022,280703-2,"Ann. Missouri Bot. Gard.","73: 823","823","1986"
tro-28200088,A,Sabiaceae,,Meliosma,,"squamulata",,"","Hance",Accepted,,M,TRO,28200088,776336-1,"J. Bot.","14(168): 364-365","364","1876"
kew-2505461,A,Sabiaceae,,Meliosma,,"tachirensis",,"","Steyerm. & A.H.Gentry",Accepted,,M,WCSP (in review),633007,303557-2,"Fl. Venez.","5(1): 215","","1992"
tro-28200170,A,Sabiaceae,,Meliosma,,"thomsonii",,"","King ex Brandis",Accepted,,M,TRO,28200170,776346-1,"Indian Trees","195","195","1906"
tro-28200174,A,Sabiaceae,,Meliosma,,"thorelii",,"","Lecomte",Accepted,,M,TRO,28200174,776347-1,"Bull. Soc. Bot. France","54: 677-678","677","1907"
kew-2505449,A,Sabiaceae,,Meliosma,,"trujilloi",,"","Steyerm. & A.H.Gentry",Accepted,,M,WCSP (in review),632995,301080-2,"Fl. Venez.","5(1): 217","","1992"
kew-2505433,A,Sabiaceae,,Meliosma,,"vasquezii",,"","A.H.Gentry",Accepted,,M,WCSP (in review),632979,280704-2,"Ann. Missouri Bot. Gard.","73: 823","","1986 publ. 1987"
tro-28200141,A,Sabiaceae,,Meliosma,,"veitchiorum",,"","Hemsl.",Accepted,,M,TRO,28200141,776355-1,"Bull. Misc. Inform. Kew","19(5): 155","155","1906"
tro-28200191,A,Sabiaceae,,Meliosma,,"velutina",,"","Rehder & E.H. Wilson",Accepted,,M,TRO,28200191,776356-1,"Pl. Wilson.","2(1): 202","202","1914"
kew-2505580,A,Sabiaceae,,Meliosma,,"venezuelensis",,"","Steyerm. & A.H.Gentry",Accepted,,M,WCSP (in review),633126,300029-2,"Fl. Venez.","5(1): 218","","1992"
tro-28200016,A,Sabiaceae,,Meliosma,,"vernicosa",,"","(Liebm.) Griseb.",Accepted,,M,TRO,28200016,1199490-2,"Cat. Pl. Cub.","47","47","1866"
tro-28200070,A,Sabiaceae,,Meliosma,,"violacea",,"","Cuatrec. & Idrobo",Accepted,,M,TRO,28200070,156720-2,"Caldasia","7: 200","200","1955"
tro-28200045,A,Sabiaceae,,Meliosma,,"wurdackii",,"","Cuatrec.",Accepted,,M,TRO,28200045,280705-2,"Phytologia","64(6): 492","492","1988"
tro-28200059,A,Sabiaceae,,Meliosma,,"youngii",,"","A.H. Gentry",Accepted,,M,TRO,28200059,300361-2,"Novon","2(2): 157","157","1992"
tro-28200117,A,Sabiaceae,,Meliosma,,"yunnanensis",,"","Franch.",Accepted,,M,TRO,28200117,776362-1,"Bull. Soc. Bot. France","33: 465","465","1886"
kew-2608010,A,Sabiaceae,,Ophiocaryon,,"barnebyanum",,"","Aymard & Daly",Accepted,,M,WCSP (in review),732462,77087395-1,"Brittonia","58: 271","","2006"
tro-28200050,A,Sabiaceae,,Ophiocaryon,,"heterophyllum",,"","(Benth.) Urb.",Accepted,,M,TRO,28200050,174572-2,"Ber. Deutsch. Bot. Ges.","13: 220","220","1895"
tro-28200061,A,Sabiaceae,,Ophiocaryon,,"klugii",,"","Barneby",Accepted,,M,TRO,28200061,174573-2,"Mem. New York Bot. Gard.","23: 119-120","119","1972"
kew-2397108,A,Sabiaceae,,Ophiocaryon,,"manausense",,"","(W.A.Rodrigues) Barneby",Accepted,,M,WCSP (in review),526331,174575-2,"Mem. New York Bot. Gard.","23: 118","","1972"
tro-28200193,A,Sabiaceae,,Sabia,,"campanulata",,"","Wall.",Accepted,,M,TRO,28200193,776403-1,"Fl. Ind., ed. 1820","2: 311-312","311","1824"
tro-50039547,A,Sabiaceae,,Sabia,,"campanulata",subsp.,"campanulata","",Accepted,,L,TRO,50039547,,"","","",""
tro-28200194,A,Sabiaceae,,Sabia,,"campanulata",subsp.,"ritchieae","(Rehder & E.H. Wilson) Y.F. Wu",Accepted,,L,TRO,28200194,921428-1,"Acta Phytotax. Sin.","20(4): 426-427","426","1982"
tro-28200232,A,Sabiaceae,,Sabia,,"coriacea",,"","Rehder & E.H. Wilson",Accepted,,M,TRO,28200232,776406-1,"Pl. Wilson.","2(1): 198","198","1914"
tro-28200234,A,Sabiaceae,,Sabia,,"dielsii",,"","H. Lév.",Accepted,,M,TRO,28200234,776409-1,"Repert. Spec. Nov. Regni Veg.","9(222-226): 456","456","1911"
tro-28200233,A,Sabiaceae,,Sabia,,"discolor",,"","Dunn",Accepted,,M,TRO,28200233,776410-1,"J. Linn. Soc., Bot.","38(267): 358","358","1908"
tro-28200216,A,Sabiaceae,,Sabia,,"emarginata",,"","Lecomte",Accepted,,M,TRO,28200216,776415-1,"Bull. Soc. Bot. France","54: 673","673","1907"
tro-28200242,A,Sabiaceae,,Sabia,,"fasciculata",,"","Lecomte ex L. Chen",Accepted,,M,TRO,28200242,,"Sargentia","3: 42-43, f. 4","42","1943"
