ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-13200014,A,Salicaceae,,Abatia,,"americana",,"","(Gardner) Eichler",Accepted,,M,TRO,13200014,779358-1,"Fl. Bras.","13(1): 510","510","1871"
tro-50302713,A,Salicaceae,,Abatia,,"angeliana",,"","Alford",Accepted,,M,TRO,50302713,60444577-2,"Novon","16(3): 296-297","296","2006"
tro-13200018,A,Salicaceae,,Abatia,,"canescens",,"","Sleumer",Accepted,,M,TRO,13200018,364921-1,"Notizbl. Bot. Gart. Berlin-Dahlem","11: 951","951","1934"
tro-13200020,A,Salicaceae,,Abatia,,"mexicana",,"","Baill.",Accepted,,M,TRO,13200020,,"","","",""
tro-13200441,A,Salicaceae,,Abatia,,"parviflora",,"","Ruiz & Pav.",Accepted,,M,TRO,13200441,779362-1,"Syst. Veg. Fl. Peruv. Chil.","1: 136-137","136","1798"
tro-13200022,A,Salicaceae,,Abatia,,"rugosa",,"","Ruiz & Pav.",Accepted,,M,TRO,13200022,,"Fl. Peruv. Prodr.","78, pl. 14","78","1794"
tro-13200450,A,Salicaceae,,Abatia,,"spicata",,"","(Turcz.) Sleumer",Accepted,,M,TRO,13200450,1104397-2,"Repert. Spec. Nov. Regni Veg.","45: 13","13","1938"
tro-13200700,A,Salicaceae,,Abatia,,"stellata",,"","Lillo",Accepted,,M,TRO,13200700,364926-1,"Act. 1 Reunion Nac. Soc. Arg. Cienc. Nat. Tucuman","1916: 223-224","223","1916"
tro-100280017,A,Salicaceae,,Aberia,,"hebecarpa",,"","(Gardner) Kuntze",Accepted,,M,TRO,100280017,111428-1,"Revis. Gen. Pl.","1: 43","43","1891"
tro-50171551,A,Salicaceae,,Ahernia,,"glandulosa",,"","Merr.",Accepted,,M,TRO,50171551,364928-1,"Philipp. J. Sci.","4: 295","295","1909"
tro-50111080,A,Salicaceae,,Aigeiros,,"balsamifera",,"","(L.) Lunell",Accepted,,M,TRO,50111080,7841-2,"Amer. Midl. Naturalist","4(7): 298","298","1916"
tro-13200027,A,Salicaceae,,Azara,,"alpina",,"","Poepp. & Endl.",Accepted,,M,TRO,13200027,111451-1,"Nov. Gen. Sp. Pl.","2: 50, pl. 167","50","1838"
tro-13200030,A,Salicaceae,,Azara,,"celastrina",,"","D. Don",Accepted,,M,TRO,13200030,111456-1,"Edinburgh New Philos. J.","10: 119, pl. 11","119","1830"
tro-13200031,A,Salicaceae,,Azara,,"dentata",,"","Ruiz & Pav.",Accepted,,M,TRO,13200031,111459-1,"Syst. Veg. Fl. Peruv. Chil.","138","138","1798"
tro-13200035,A,Salicaceae,,Azara,,"integrifolia",,"","Ruiz & Pav.",Accepted,,M,TRO,13200035,111464-1,"Syst. Veg. Fl. Peruv. Chil.","138","138","1798"
tro-13200650,A,Salicaceae,,Azara,,"lanceolata",,"","Hook. f.",Accepted,,M,TRO,13200650,273010-2,"Fl. Antarct.","243","243","1845"
tro-13200651,A,Salicaceae,,Azara,,"microphylla",,"","Hook. f.",Accepted,,M,TRO,13200651,111471-1,"Fl. Antarct.","244","244","1845"
tro-13200652,A,Salicaceae,,Azara,,"petiolaris",,"","(D. Don) I.M. Johnst.",Accepted,,L,TRO,13200652,27703-2,"J. Arnold Arbor.","19: 260","260","1938"
tro-13200040,A,Salicaceae,,Azara,,"salicifolia",,"","Griseb.",Accepted,,M,TRO,13200040,111474-1,"Abh. Königl. Ges. Wiss. Göttingen","24: 20","20","1879"
tro-50150721,A,Salicaceae,,Azara,,"uruguayensis",,"","(Speg.) Sleumer",Accepted,,M,TRO,50150721,27710-2,"Lilloa","23: 247","247","1950"
tro-13200046,A,Salicaceae,,Banara,,"arguta",,"","Briq.",Accepted,,M,TRO,13200046,28885-2,"Annuaire Conserv. Jard. Bot. Genève","4: 223","223","1900"
tro-13200737,A,Salicaceae,,Banara,,"axilliflora",,"","Sleumer",Accepted,,M,TRO,13200737,28886-2,"Notizbl. Bot. Gart. Berlin-Dahlem","14: 48","48","1938"
tro-50150717,A,Salicaceae,,Banara,,"brasiliensis",,"","(Schott) Benth.",Accepted,,M,TRO,50150717,779387-1,"J. Proc. Linn. Soc., Bot.","5(Suppl. 2): 93","93","1861"
tro-13200048,A,Salicaceae,,Banara,,"dioica",,"","Benth.",Accepted,,M,TRO,13200048,779389-1,"J. Proc. Linn. Soc., Bot.","5(Suppl. 2): 94","94","1861"
tro-13200052,A,Salicaceae,,Banara,,"glauca",,"","(Kunth) Benth.",Accepted,,M,TRO,13200052,779394-1,"J. Linn. Soc., Bot.","5(Suppl. 2): 92","92","1861"
tro-13200054,A,Salicaceae,,Banara,,"guianensis",,"","Aubl.",Accepted,,M,TRO,13200054,779396-1,"Hist. Pl. Guiane","1: 548-549, t. 217","548","1775"
tro-13200058,A,Salicaceae,,Banara,,"larensis",,"","Steyerm.",Accepted,,M,TRO,13200058,28907-2,"Fieldiana, Bot.","28: 404","404","1952"
tro-50150702,A,Salicaceae,,Banara,,"minutiflora",,"","(A. Rich.) Sleumer",Accepted,,M,TRO,50150702,28914-2,"Blumea","24: 118","118","1978"
tro-13200062,A,Salicaceae,,Banara,,"nitida",,"","Spruce ex Benth.",Accepted,,M,TRO,13200062,779403-1,"J. Proc. Linn. Soc., Bot.","5(Suppl. 2): 93","93","1861"
tro-50150720,A,Salicaceae,,Banara,,"orinocensis",,"","(Cuatrec.) Sleumer",Accepted,,M,TRO,50150720,28915-2,"Blumea","24: 118","118","1978"
tro-50150719,A,Salicaceae,,Banara,,"parviflora",,"","(A. Gray) Benth.",Accepted,,M,TRO,50150719,779404-1,"J. Proc. Linn. Soc., Bot.","5(Suppl. 2): 91","91","1861"
tro-13201122,A,Salicaceae,,Banara,,"regia",,"","Sandwith",Accepted,,M,TRO,13201122,28920-2,"Bull. Misc. Inform. Kew","1930: 154","154","1930"
tro-13201148,A,Salicaceae,,Banara,,"riparia",,"","Sleumer",Accepted,,M,TRO,13201148,28922-2,"Fl. Neotrop.","22: 104-105","104","1980"
tro-13200066,A,Salicaceae,,Banara,,"serrata",,"","(Vell.) Warb.",Accepted,,M,TRO,13200066,28926-2,"Nat. Pflanzenfam.","3(6a): 32","32","1893"
tro-13200067,A,Salicaceae,,Banara,,"tomentosa",,"","Clos",Accepted,,M,TRO,13200067,779412-1,"Ann. Sci. Nat., Bot., sér. 4","8: 240","240","1857"
