ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2615193,A,Santalaceae,,Acanthosyris,,"annonagustata",,"","C.U.Ulloa & M.Jørg.",Accepted,,M,WCSP (in review),739064,315517-2,"Novon","8: 84","","1998"
kew-2615194,A,Santalaceae,,Acanthosyris,,"asipapote",,"","M.Nee",Accepted,,M,WCSP (in review),739065,306982-2,"Brittonia","48: 574","","1996 publ. 1997"
kew-2615196,A,Santalaceae,,Acanthosyris,,"falcata",,"","Griseb.",Accepted,,M,WCSP (in review),739067,779997-1,"Abh. Königl. Ges. Wiss. Göttingen","24: 151","","1879"
kew-2615197,A,Santalaceae,,Acanthosyris,,"glabrata",,"","(Stapf) Stauffer",Accepted,,M,WCSP (in review),739068,1712-2,"Vierteljahrsschr. Naturf. Ges. Zürich","106: 408","","1961"
kew-2615198,A,Santalaceae,,Acanthosyris,,"paulo-alvinii",,"","G.M.Barroso",Accepted,,M,WCSP (in review),739069,779999-1,"Anais Congr. Soc. Bot. Brasil","19: 180","","1968"
kew-2615200,A,Santalaceae,,Acanthosyris,,"spinescens",,"","Griseb.",Accepted,,M,WCSP (in review),739071,780001-1,"Abh. Königl. Ges. Wiss. Göttingen","24: 151","","1879"
kew-2634868,A,Santalaceae,,Amphorogyne,,"celastroides",,"","Stauffer & Hürl.",Accepted,,M,WCSP (in review),758578,,"Mitt. Bot. Mus. Univ. Zürich","211: 342","","1957"
kew-2634869,A,Santalaceae,,Amphorogyne,,"spicata",,"","Stauffer & Hürl.",Accepted,,M,WCSP (in review),758579,,"Mitt. Bot. Mus. Univ. Zürich","211: 338","","1957"
kew-2634870,A,Santalaceae,,Amphorogyne,,"staufferi",,"","Markgr. ex Stauffer",Accepted,,M,WCSP (in review),758580,,"Vierteljahrsschr. Naturf. Ges. Zürich","114: 70","","1969"
kew-2641551,A,Santalaceae,,Anthobolus,,"erythrocaulis",,"","F.Muell.",Accepted,,M,WCSP (in review),765237,780006-1,"Rep. (Annual) Brit. New Guinea","Spp. AA: 90","","1893-1894 publ. 1894"
kew-2641553,A,Santalaceae,,Anthobolus,,"filifolius",,"","R.Br.",Accepted,,M,WCSP (in review),765239,780008-1,"Prodr. Fl. Nov. Holl.","357","","1810"
kew-2641554,A,Santalaceae,,Anthobolus,,"foveolatus",,"","F.Muell.",Accepted,,M,WCSP (in review),765240,,"Fragm.","1: 212","","1859"
kew-2641555,A,Santalaceae,,Anthobolus,,"leptomeroides",,"","F.Muell.",Accepted,,M,WCSP (in review),765241,,"Fragm.","1: 21","","1858"
kew-2642271,A,Santalaceae,,Antidaphne,,"amazonensis",,"","Rizzini",Accepted,,M,WCSP (in review),765957,15852-2,"Rodriguésia","18-19: 224","","1956"
kew-2642272,A,Santalaceae,,Antidaphne,,"andina",,"","Kuijt",Accepted,,M,WCSP (in review),765958,931275-1,"in Fl. Ecuador","24(32A): 7","","1986"
kew-2642273,A,Santalaceae,,Antidaphne,,"antidaphneoides",,"","(Rizzini) Kuijt",Accepted,,M,WCSP (in review),765959,945179-1,"Syst. Bot. Monogr.","18: 26","","1988"
kew-2642276,A,Santalaceae,,Antidaphne,,"glaziovii",,"","(Tiegh.) Kuijt",Accepted,,M,WCSP (in review),765962,272390-2,"Syst. Bot. Monogr.","18: 26","","1988"
kew-2642277,A,Santalaceae,,Antidaphne,,"hondurensis",,"","Kuijt",Accepted,,M,WCSP (in review),765963,317116-2,"Novon","8: 402","","1998"
kew-2642281,A,Santalaceae,,Antidaphne,,"punctulata",,"","(Clos) Kuijt",Accepted,,M,WCSP (in review),765967,272391-2,"Syst. Bot. Monogr.","18: 28","","1988"
kew-2642282,A,Santalaceae,,Antidaphne,,"schottii",,"","(Eichler) Kuijt",Accepted,,M,WCSP (in review),765968,272392-2,"Syst. Bot. Monogr.","18: 33","","1988"
kew-2642283,A,Santalaceae,,Antidaphne,,"viscoidea",,"","Poepp. & Endl.",Accepted,,M,WCSP (in review),765969,272393-2,"Nov. Gen. Sp. Pl.","2: 70","","1838"
kew-2642285,A,Santalaceae,,Antidaphne,,"wrightii",,"","(Griseb.) Kuijt",Accepted,,M,WCSP (in review),765971,272394-2,"Syst. Bot. Monogr.","18: 40","","1988"
kew-2646770,A,Santalaceae,,Arceuthobium,,"abietinum",,"","(Engelm.) Hawksw.& Wiens",Accepted,,M,WCSP (in review),770440,17572-2,"Brittonia","22: 268","","1970"
kew-2646771,A,Santalaceae,,Arceuthobium,,"abietis-religiosae",,"","Heil",Accepted,,M,WCSP (in review),770441,17574-2,"Centralbl. Bakteriol., 2. Anth.","II, 59: 28","","1923"
tro-50156969,A,Santalaceae,,Arceuthobium,,"abigenium",,"","(Alph. Wood) Alph. Wood",Accepted,,L,TRO,50156969,17575-2,"Class-book Bot. (ed. copyrighted 1881)","832","832","1881"
kew-2646772,A,Santalaceae,,Arceuthobium,,"americanum",,"","Nutt. ex A.Gray",Accepted,,M,WCSP (in review),770442,547902-1,"Boston J. Nat. Hist.","6: 214","","1850"
kew-2646773,A,Santalaceae,,Arceuthobium,,"apachecum",,"","Hawksw. & Wiens",Accepted,,M,WCSP (in review),770443,17577-2,"Brittonia","22: 266","","1970"
kew-2646774,A,Santalaceae,,Arceuthobium,,"aureum",,"","Hawksw. & Wiens",Accepted,,M,WCSP (in review),770444,17578-2,"Brittonia","29: 414","","1977"
kew-2646776,A,Santalaceae,,Arceuthobium,,"azoricum",,"","Wiens & Hawksw.",Accepted,,M,WCSP (in review),770446,547905-1,"Kew Bull.","31: 73","","1976"
kew-2646777,A,Santalaceae,,Arceuthobium,,"bicarinatum",,"","Urb.",Accepted,,M,WCSP (in review),770447,17580-2,"Symb. Antill.","7: 204","","1912"
kew-2646778,A,Santalaceae,,Arceuthobium,,"blumeri",,"","A.Nelson",Accepted,,M,WCSP (in review),770448,17581-2,"Bot. Gaz.","56: 65","","1913"
kew-2646780,A,Santalaceae,,Arceuthobium,,"californicum",,"","Hawksw. & Wiens",Accepted,,M,WCSP (in review),770450,17582-2,"Brittonia","22: 268","","1970"
kew-2646781,A,Santalaceae,,Arceuthobium,,"campylopodum",,"","Engelm.",Accepted,,M,WCSP (in review),770451,17596-2,"Boston J. Nat. Hist.","6: 214","","1850"
kew-2646795,A,Santalaceae,,Arceuthobium,,"chinense",,"","Lecomte",Accepted,,M,WCSP (in review),770465,547913-1,"Notul. Syst. (Paris)","3: 170","","1915"
kew-2646797,A,Santalaceae,,Arceuthobium,,"cubense",,"","Leiva & Bisse",Accepted,,M,WCSP (in review),770467,17597-2,"Revista Jard. Bot. Nac. Univ. Habana","4(1): 60","","1983"
kew-2646799,A,Santalaceae,,Arceuthobium,,"cyanocarpum",,"","(A.Nelson) Abrams",Accepted,,M,WCSP (in review),770469,17599-2,"Ill. Fl. Pacific States","2: 531","","1940"
kew-2646800,A,Santalaceae,,Arceuthobium,,"dacrydii",,"","Ridl.",Accepted,,M,WCSP (in review),770470,547917-1,"J. Fed. Malay States Mus.","6: 170","","1915"
kew-2646801,A,Santalaceae,,Arceuthobium,,"divaricatum",,"","Engelm.",Accepted,,M,WCSP (in review),770471,547918-1,"Rep. U.S. Geogr. Surv., Wheeler","6: 253","","1878"
kew-2646803,A,Santalaceae,,Arceuthobium,,"douglasii",,"","Engelm.",Accepted,,M,WCSP (in review),770473,17601-2,"Rep. U.S. Geogr. Surv., Wheeler","6: 253","","1878"
kew-2646810,A,Santalaceae,,Arceuthobium,,"gillii",,"","Hawksw. & Wiens",Accepted,,M,WCSP (in review),770480,17607-2,"Brittonia","16: 55","","1964"
