ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2615357,A,Sapindaceae,,Acer,,"acuminatum",,"","Wall. ex D.Don",Accepted,,M,WCSP (in review),739228,781223-1,"Prodr. Fl. Nepal.","249","","1825"
kew-2615365,A,Sapindaceae,,Acer,,"amamiense",,"","T.Yamaz.",Accepted,,M,WCSP (in review),739236,1018581-1,"J. Jap. Bot.","75: 282","","2000"
kew-2615369,A,Sapindaceae,,Acer,,"amplum",,"","Rehder",Accepted,,M,WCSP (in review),739240,56603-1,"Pl. Wilson.","1: 86","","1911"
kew-2606050,A,Sapindaceae,,Acer,,"amplum",subsp.,"bodinieri","(H.Lév.) Y.S.Chen",Accepted,,L,WCSP (in review),730662,77091079-1,"in Fl. China","11: 519","","2008"
kew-2606051,A,Sapindaceae,,Acer,,"amplum",subsp.,"catalpifolium","(Rehder) Y.S.Chen",Accepted,,L,WCSP (in review),730663,77091080-1,"in Fl. China","11: 519","","2008"
kew-2606052,A,Sapindaceae,,Acer,,"amplum",subsp.,"tientaiense","(C.K.Schneid.) Y.S.Chen",Accepted,,L,WCSP (in review),730664,77091077-1,"in Fl. China","11: 518","","2008"
kew-2615378,A,Sapindaceae,,Acer,,"argutum",,"","Maxim. ex Miq.",Accepted,,M,WCSP (in review),739249,,"Arch. Néerl. Sci. Exact. Nat.","2: 475","","1867"
kew-2615400,A,Sapindaceae,,Acer,,"barbinerve",,"","Maxim. ex Miq.",Accepted,,M,WCSP (in review),739271,,"Arch. Néerl. Sci. Exact. Nat.","2: 476","","1967"
kew-2615413,A,Sapindaceae,,Acer,×,"bornmuelleri",,"","Borbás",Accepted,,M,WCSP (in review),739284,781242-1,"Term. Füz.","14: 70","","1891"
kew-2615417,A,Sapindaceae,,Acer,,"brachystephyanum",,"","T.Z.Hsu",Accepted,,M,WCSP (in review),739288,958809-1,"Guihaia","11: 11","","1991"
kew-2615419,A,Sapindaceae,,Acer,,"buergerianum",,"","Miq.",Accepted,,M,WCSP (in review),739290,781244-1,"Ann. Mus. Bot. Lugduno-Batavi","2: 88","","1865"
tro-50291294,A,Sapindaceae,,Acer,,"buergerianum",var.,"buergerianum","",Accepted,,L,TRO,50291294,,"","","",""
kew-2615425,A,Sapindaceae,,Acer,,"buergerianum",subsp.,"ningpoense","(Hance) A.E.Murray",Accepted,,L,WCSP (in review),739296,,"Kalmia","11: 2","","1981"
kew-2615430,A,Sapindaceae,,Acer,,"caesium",,"","Wall. ex Brandis",Accepted,,M,WCSP (in review),739301,781246-1,"Forest Fl. N.W. India","3","","1874"
kew-2615431,A,Sapindaceae,,Acer,,"caesium",subsp.,"giraldii","(Pax) E.Murray",Accepted,,L,WCSP (in review),739302,,"","","",""
kew-2615432,A,Sapindaceae,,Acer,,"calcaratum",,"","Gagnep.",Accepted,,M,WCSP (in review),739303,56620-1,"Notul. Syst. (Paris)","13: 192","","1948"
kew-2615435,A,Sapindaceae,,Acer,,"caloneurum",,"","C.Y.Wu & T.Z.Hsu",Accepted,,M,WCSP (in review),739306,901332-1,"Acta Phytotax. Sin.","21: 339","","1983"
kew-2615436,A,Sapindaceae,,Acer,,"campbellii",,"","Hook.f. & Thomson ex Hiern",Accepted,,M,WCSP (in review),739307,56621-1,"Fl. Brit. India","1: 696","","1875"
