ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-14735,A,Sapotaceae,,Argania,,"spinosa",,"","(L.) Skeels",Accepted,,H,WCSP,14735,785772-1,"Bull. Bur. Pl. Industr. U.S.D.A.","227: 28","","1911"
kew-17860,A,Sapotaceae,,Aubregrinia,,"taiensis",,"","(Aubrév. & Pellegr.) Heine",Accepted,,H,WCSP,17860,785776-1,"Kew Bull.","14: 301","","1960"
kew-17985,A,Sapotaceae,,Aulandra,,"beccarii",,"","(Pierre ex Dubard) P.Royen",Accepted,,H,WCSP,17985,785777-1,"Blumea, Suppl.","4: 263","","1958"
kew-17986,A,Sapotaceae,,Aulandra,,"cauliflora",,"","H.J.Lam",Accepted,,H,WCSP,17986,785778-1,"Hooker's Icon. Pl.","34: t. 3360","","1938"
kew-17987,A,Sapotaceae,,Aulandra,,"longifolia",,"","H.J.Lam",Accepted,,H,WCSP,17987,785779-1,"Bull. Jard. Bot. Buitenzorg","III, 8: 415","","1927"
kew-18423,A,Sapotaceae,,Autranella,,"congolensis",,"","(De Wild.) A.Chev.",Accepted,,H,WCSP,18423,785787-1,"Veg. Ut. Afr. Trop. Franç.","9: 268, 271","","1917"
kew-19315,A,Sapotaceae,,Baillonella,,"toxisperma",,"","Pierre",Accepted,,H,WCSP,19315,785801-1,"Not. Bot.","14","","1890"
kew-20273,A,Sapotaceae,,Beccariella,,"azou",,"","(P.Royen) Aubrév.",Accepted,,H,WCSP,20273,785926-1,"Adansonia","n.s., 2: 193","","1962"
kew-20274,A,Sapotaceae,,Beccariella,,"balansana",,"","(Pierre ex Baill.) Aubrév.",Accepted,,H,WCSP,20274,,"Adansonia","n.s., 2: 193","","1962"
kew-20276,A,Sapotaceae,,Beccariella,,"baueri",,"","(Montrouz.) Aubrév.",Accepted,,H,WCSP,20276,785928-1,"Adansonia","n.s., 2: 193","","1962"
kew-20277,A,Sapotaceae,,Beccariella,,"brevipedicellata",,"","(P.Royen) Aubrév.",Accepted,,H,WCSP,20277,785930-1,"in Fl. Nouv.-Caléd.","1: 118","","1967"
kew-346080,A,Sapotaceae,,Beccariella,,"brownlessiana",,"","(F.Muell.) Swenson, Bartish & Munzinger",Accepted,,H,WCSP,346080,77080454-1,"Cladistics","23: 221","","2007"
kew-20281,A,Sapotaceae,,Beccariella,,"crebrifolia",,"","(Baill.) Aubrév.",Accepted,,H,WCSP,20281,785934-1,"Adansonia","n.s., 2: 193","","1962"
kew-20285,A,Sapotaceae,,Beccariella,,"lasiantha",,"","(Baill.) Aubrév.",Accepted,,H,WCSP,20285,785938-1,"in Fl. Nouv.-Caléd.","1: 114","","1967"
kew-20288,A,Sapotaceae,,Beccariella,,"lucens",,"","(P.Royen) Aubrév.",Accepted,,H,WCSP,20288,785941-1,"Adansonia","n.s., 2: 193","","1962"
kew-346081,A,Sapotaceae,,Beccariella,,"macrocarpa",,"","(P.Royen) Swenson, Bartish & Munzinger",Accepted,,H,WCSP,346081,77080455-1,"Cladistics","23: 221","","2007"
kew-20291,A,Sapotaceae,,Beccariella,,"novocaledonica",,"","(Dubard) Aubrév.",Accepted,,H,WCSP,20291,785944-1,"Adansonia","n.s., 2: 193","","1962"
kew-20293,A,Sapotaceae,,Beccariella,,"papyracea",,"","(P.Royen) Aubrév.",Accepted,,H,WCSP,20293,785947-1,"Adansonia","n.s., 3: 335","","1963"
kew-20294,A,Sapotaceae,,Beccariella,,"queenslandica",,"","(P.Royen) Aubrév.",Accepted,,H,WCSP,20294,785948-1,"Adansonia","n.s., 3: 335","","1963"
kew-20295,A,Sapotaceae,,Beccariella,,"rubicunda",,"","(Pierre ex Baill.) Pierre",Accepted,,H,WCSP,20295,785949-1,"Not. Bot.","30","","1890"
kew-20297,A,Sapotaceae,,Beccariella,,"sebertii",,"","(Pancher) Pierre",Accepted,,H,WCSP,20297,785951-1,"Not. Bot.","30","","1890"
kew-346082,A,Sapotaceae,,Beccariella,,"singuliflora",,"","(C.T.White & W.D.Francis) Swenson, Bartish & Munzinger",Accepted,,H,WCSP,346082,77080456-1,"Cladistics","23: 221","","2007"
kew-346083,A,Sapotaceae,,Beccariella,,"vieillardii",,"","(Baill.) Swenson, Bartish & Munzinger",Accepted,,H,WCSP,346083,77080457-1,"Cladistics","23: 221","","2007"
kew-20298,A,Sapotaceae,,Beccariella,,"xerocarpa",,"","(F.Muell. ex Benth.) Aubrév.",Accepted,,H,WCSP,20298,785952-1,"Adansonia","n.s., 3: 335","","1963"
kew-22742,A,Sapotaceae,,Boerlagella,,"spectabilis",,"","(Miq.) H.J.Lam",Accepted,,H,WCSP,22742,785963-1,"Bull. Jard. Bot. Buitenzorg","III, 7: 251","","1925"
kew-24382,A,Sapotaceae,,Breviea,,"sericea",,"","Aubrév. & Pellegr.",Accepted,,H,WCSP,24382,785971-1,"Bull. Soc. Bot. France","81: 793","","1934 publ. 1935"
kew-28045,A,Sapotaceae,,Burckella,,"banikiensis",,"","(P.Royen) T.D.Penn.",Accepted,,H,WCSP,28045,962729-1,"Gen. Sapotac.","162","","1991"
kew-28049,A,Sapotaceae,,Burckella,,"erythrophylla",,"","H.J.Lam",Accepted,,H,WCSP,28049,786151-1,"Nova Guinea","14: 554","","1932"
kew-28050,A,Sapotaceae,,Burckella,,"fijiensis",,"","(Hemsl.) A.C.Sm. & S.P.Darwin",Accepted,,H,WCSP,28050,786152-1,"Brittonia","27: 169","","1975"
kew-28051,A,Sapotaceae,,Burckella,,"hillii",,"","(Horne ex Baker) H.J.Lam",Accepted,,H,WCSP,28051,786147-1,"Blumea","5: 38","","1942"
kew-28055,A,Sapotaceae,,Burckella,,"macropoda",,"","(K.Krause) H.J.Lam",Accepted,,H,WCSP,28055,786155-1,"Nova Guinea","14: 554","","1932"
kew-28057,A,Sapotaceae,,Burckella,,"magusum",,"","P.Royen",Accepted,,H,WCSP,28057,786156-1,"Nova Guinea","n.s., 10: 131","","1959"
kew-28061,A,Sapotaceae,,Burckella,,"obovata",,"","(G.Forst.) Pierre",Accepted,,H,WCSP,28061,786160-1,"Not. Bot.","4","","1890"
kew-28065,A,Sapotaceae,,Burckella,,"parvifolia",,"","A.C.Sm. & S.P.Darwin",Accepted,,H,WCSP,28065,786164-1,"Brittonia","27: 170","","1975"
kew-28066,A,Sapotaceae,,Burckella,,"polymera",,"","P.Royen",Accepted,,H,WCSP,28066,786165-1,"Blumea","6: 590","","1952"
kew-28067,A,Sapotaceae,,Burckella,,"poolei",,"","H.J.Lam",Accepted,,H,WCSP,28067,786166-1,"Nova Guinea","14: 555","","1932"
kew-28068,A,Sapotaceae,,Burckella,,"richii",,"","(A.Gray) H.J.Lam",Accepted,,H,WCSP,28068,786167-1,"Blumea","6: 592","","1952"
kew-28069,A,Sapotaceae,,Burckella,,"sorei",,"","P.Royen",Accepted,,H,WCSP,28069,786168-1,"Gard. Bull. Singapore","22: 33","","1967"
kew-28070,A,Sapotaceae,,Burckella,,"thurstonii",,"","(Hemsl.) H.J.Lam",Accepted,,H,WCSP,28070,786169-1,"Bull. Jard. Bot. Buitenzorg","III, 7: 259","","1925"
kew-34041,A,Sapotaceae,,Capurodendron,,"androyense",,"","Aubrév.",Accepted,,H,WCSP,34041,786218-1,"in Fl. Madag.","164: 102","","1974"
kew-34042,A,Sapotaceae,,Capurodendron,,"ankaranense",,"","Aubrév.",Accepted,,H,WCSP,34042,786219-1,"in Fl. Madag.","164: 99","","1974"
kew-34043,A,Sapotaceae,,Capurodendron,,"antongiliense",,"","Aubrév.",Accepted,,H,WCSP,34043,786220-1,"in Fl. Madag.","164: 79","","1974"
kew-34044,A,Sapotaceae,,Capurodendron,,"apollonioides",,"","Aubrév.",Accepted,,H,WCSP,34044,786221-1,"in Fl. Madag.","164: 80","","1974"
kew-34045,A,Sapotaceae,,Capurodendron,,"bakeri",,"","(Scott-Elliot) Aubrév.",Accepted,,H,WCSP,34045,786222-1,"Adansonia","n.s., 2: 98","","1962"
kew-34048,A,Sapotaceae,,Capurodendron,,"costatum",,"","Aubrév.",Accepted,,H,WCSP,34048,786223-1,"in Fl. Madag.","164: 100","","1974"
kew-34049,A,Sapotaceae,,Capurodendron,,"delphinense",,"","Aubrév.",Accepted,,H,WCSP,34049,786224-1,"in Fl. Madag.","164: 91","","1974"
kew-34050,A,Sapotaceae,,Capurodendron,,"gracilifolium",,"","Aubrév.",Accepted,,H,WCSP,34050,786225-1,"in Fl. Madag.","164: 104","","1974"
kew-34051,A,Sapotaceae,,Capurodendron,,"greveanum",,"","Aubrév.",Accepted,,H,WCSP,34051,786226-1,"in Fl. Madag.","164: 90","","1974"
kew-34052,A,Sapotaceae,,Capurodendron,,"ludiifolium",,"","Aubrév.",Accepted,,H,WCSP,34052,786227-1,"in Fl. Madag.","164: 103","","1974"
