ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-274666,A,Sarcolaenaceae,,Eremolaena,,"humblotiana",,"","Baill.",Accepted,,H,iPlants,274666,167654-1,"Bull. Mens. Soc. Linn. Paris","1: 413","","1884"
kew-274667,A,Sarcolaenaceae,,Eremolaena,,"rotundifolia",,"","(F.Gérard) Danguy",Accepted,,H,iPlants,274667,167655-1,"Bull. Mus. Natl. Hist. Nat.","21: 202","","1915"
kew-274523,A,Sarcolaenaceae,,Leptolaena,,"abrahamii",,"","G.E.Schatz & Lowry",Accepted,,H,iPlants,274523,20003302-1,"Adansonia","III, 23: 175","","2001"
kew-274526,A,Sarcolaenaceae,,Leptolaena,,"arenaria",,"","(F.Gérard) Cavaco",Accepted,,H,iPlants,274526,167660-1,"Bull. Mus. Natl. Hist. Nat.","II, 23: 135","","1951"
kew-274527,A,Sarcolaenaceae,,Leptolaena,,"cuspidata",,"","Baker",Accepted,,H,iPlants,274527,167663-1,"J. Linn. Soc., Bot.","25: 297","","1889"
kew-274522,A,Sarcolaenaceae,,Leptolaena,,"delphinensis",,"","G.E.Schatz & Lowry",Accepted,,H,iPlants,274522,20003303-1,"Adansonia","III, 23: 178","","2001"
kew-274521,A,Sarcolaenaceae,,Leptolaena,,"gautieri",,"","G.E.Schatz & Lowry",Accepted,,H,iPlants,274521,20003304-1,"Adansonia","III, 23: 180","","2001"
kew-274511,A,Sarcolaenaceae,,Leptolaena,,"masoalensis",,"","G.E.Schatz & Lowry",Accepted,,H,iPlants,274511,20003305-1,"Adansonia","III, 23: 183","","2001"
kew-274516,A,Sarcolaenaceae,,Leptolaena,,"multiflora",,"","Thouars",Accepted,,H,iPlants,274516,167666-1,"Hist. Vég. Îsles Austral. Afriq.","41","","1807"
kew-274514,A,Sarcolaenaceae,,Leptolaena,,"pauciflora",,"","Baker",Accepted,,H,iPlants,274514,167668-1,"J. Linn. Soc., Bot.","20: 96","","1883"
kew-274519,A,Sarcolaenaceae,,Leptolaena,,"raymondii",,"","G.E.Schatz & Lowry",Accepted,,H,iPlants,274519,20003306-1,"Adansonia","III, 23: 186","","2001"
tro-50192421,A,Sarcolaenaceae,,Leptolaena,,"villosa",,"","(F. Gerard) G.E. Schatz & Lowry",Accepted,,M,TRO,50192421,,"Adansonia, sér. 3","","",""
kew-274539,A,Sarcolaenaceae,,Mediusella,,"bernieri",,"","(Baill.) Hutch.",Accepted,,H,iPlants,274539,,"Fam. Fl. Pl., Dicot.","ed. 3: 348","","1986 publ. 1987"
kew-274543,A,Sarcolaenaceae,,Pentachlaena,,"betamponensis",,"","Lowry & al.",Accepted,,H,iPlants,274543,,"Adansonia","III, 22: 16","","2000"
kew-274549,A,Sarcolaenaceae,,Pentachlaena,,"latifolia",,"","H.Perrier",Accepted,,H,iPlants,274549,167672-1,"Bull. Mus. Natl. Hist. Nat.","26: 669","","1920"
kew-274547,A,Sarcolaenaceae,,Pentachlaena,,"orientalis",,"","Capuron",Accepted,,H,iPlants,274547,790100-1,"Adansonia","n.s., 13: 289","","1973"
kew-274548,A,Sarcolaenaceae,,Perrierodendron,,"boinense",,"","(H.Perrier) Cavaco",Accepted,,H,iPlants,274548,167673-1,"Bull. Mus. Natl. Hist. Nat.","II, 23: 138","","1951"
kew-274546,A,Sarcolaenaceae,,Perrierodendron,,"capuronii",,"","J.-F.Leroy & al.",Accepted,,H,iPlants,274546,,"Adansonia","III, 22: 21","","2000"
kew-274554,A,Sarcolaenaceae,,Perrierodendron,,"occidentale",,"","J.-F.Leroy & al.",Accepted,,H,iPlants,274554,,"Adansonia","III, 22: 23","","2000"
kew-274545,A,Sarcolaenaceae,,Perrierodendron,,"quartzitorum",,"","J.-F.Leroy & al.",Accepted,,H,iPlants,274545,,"Adansonia","III, 22: 25","","2000"
kew-274544,A,Sarcolaenaceae,,Perrierodendron,,"rodoense",,"","J.-F.Leroy & al.",Accepted,,H,iPlants,274544,,"Adansonia","III, 22: 28","","2000"
kew-274572,A,Sarcolaenaceae,,Rhodolaena,,"acutifolia",,"","Baker",Accepted,,H,iPlants,274572,167677-1,"J. Linn. Soc., Bot.","21: 322","","1884"
kew-274560,A,Sarcolaenaceae,,Rhodolaena,,"altivola",,"","Thouars",Accepted,,H,iPlants,274560,167678-1,"Hist. Vég. Îsles Austral. Afriq.","48","","1807"
kew-274563,A,Sarcolaenaceae,,Rhodolaena,,"bakeriana",,"","Baill.",Accepted,,H,iPlants,274563,167679-1,"Bull. Mens. Soc. Linn. Paris","1: 566","","1886"
kew-274557,A,Sarcolaenaceae,,Rhodolaena,,"coriacea",,"","G.E.Schatz & al.",Accepted,,H,iPlants,274557,,"Adansonia","III, 22: 244","","2000"
kew-274565,A,Sarcolaenaceae,,Rhodolaena,,"humblotii",,"","Baill.",Accepted,,H,iPlants,274565,167681-1,"Bull. Mens. Soc. Linn. Paris","1: 566","","1886"
kew-274561,A,Sarcolaenaceae,,Rhodolaena,,"leroyana",,"","G.E.Schatz & al.",Accepted,,H,iPlants,274561,,"Adansonia","III, 22: 247","","2000"
kew-274559,A,Sarcolaenaceae,,Rhodolaena,,"macrocarpa",,"","G.E.Schatz & al.",Accepted,,H,iPlants,274559,,"Adansonia","III, 22: 248","","2000"
kew-274575,A,Sarcolaenaceae,,Sarcolaena,,"codonochlamys",,"","Baker",Accepted,,H,iPlants,274575,167686-1,"Bull. Misc. Inform. Kew","1893: 11","","1893"
kew-274578,A,Sarcolaenaceae,,Sarcolaena,,"delphinensis",,"","Cavaco",Accepted,,H,iPlants,274578,167687-1,"Bull. Mus. Natl. Hist. Nat.","II, 22: 615","","1950"
kew-274576,A,Sarcolaenaceae,,Sarcolaena,,"eriophora",,"","Thouars",Accepted,,H,iPlants,274576,167689-1,"Hist. Vég. Îsles Austral. Afriq.","40","","1805"
kew-274599,A,Sarcolaenaceae,,Sarcolaena,,"grandiflora",,"","Thouars",Accepted,,H,iPlants,274599,167691-1,"Hist. Vég. Îsles Austral. Afriq.","40","","1805"
kew-274579,A,Sarcolaenaceae,,Sarcolaena,,"humbertiana",,"","Cavaco",Accepted,,H,iPlants,274579,167685-1,"Bull. Soc. Bot. France","97: 96","","1950"
kew-274604,A,Sarcolaenaceae,,Sarcolaena,,"isaloensis",,"","Randrian. & J.S.Mill.",Accepted,,H,iPlants,274604,979310-1,"Novon","4: 290","","1994"
kew-274595,A,Sarcolaenaceae,,Sarcolaena,,"multiflora",,"","Thouars",Accepted,,H,iPlants,274595,167692-1,"Hist. Vég. Îsles Austral. Afriq.","40","","1805"
kew-274596,A,Sarcolaenaceae,,Sarcolaena,,"oblongifolia",,"","F.Gérard",Accepted,,H,iPlants,274596,167693-1,"Compt. Rend. Assoc. Franç. Avancem. Sci.","1914(Sess. 43): 118","","1915"
kew-274586,A,Sarcolaenaceae,,Schizolaena,,"capuronii",,"","Lowry & al.",Accepted,,H,iPlants,274586,,"Adansonia","III, 21: 190","","1999"
kew-274606,A,Sarcolaenaceae,,Schizolaena,,"cauliflora",,"","Thouars",Accepted,,H,iPlants,274606,167696-1,"Hist. Vég. Îsles Austral. Afriq.","44","","1805"
