ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2757503,A,Sarraceniaceae,,Darlingtonia,,"californica",,"","Torr.",Accepted,,M,WCSP (in review),878921,76771-2,"Smithsonian Contr. Knowl.","6: 5","","1854"
kew-2842185,A,Sarraceniaceae,,Heliamphora,,"chimantensis",,"","Wistuba, Carow & Harbarth",Accepted,,M,WCSP (in review),961293,324503-2,"Carniv. Pl. Newslett.","31: 78","","2002"
kew-2842188,A,Sarraceniaceae,,Heliamphora,,"folliculata",,"","Wistuba, Harbarth & Carow",Accepted,,M,WCSP (in review),961296,20003406-1,"Carniv. Pl. Newslett.","30: 120","","2001"
kew-2842191,A,Sarraceniaceae,,Heliamphora,,"heterodoxa",,"","Steyerm.",Accepted,,L,WCSP (in review),961299,118871-2,"Fieldiana, Bot.","28: 239","","1951"
kew-2842192,A,Sarraceniaceae,,Heliamphora,,"heterodoxa",var.,"exappendiculata","Maguire & Steyerm.",Accepted,,L,WCSP (in review),961300,118872-2,"Mem. New York Bot. Gard.","29: 54","","1978"
kew-2842196,A,Sarraceniaceae,,Heliamphora,,"hispida",,"","Wistuba & Nerz",Accepted,,M,WCSP (in review),961304,319904-2,"Carniv. Pl. Newslett.","29: 37","","2000"
kew-2842197,A,Sarraceniaceae,,Heliamphora,,"ionasi",,"","Maguire",Accepted,,M,WCSP (in review),961305,118874-2,"Mem. New York Bot. Gard.","29: 54","","1978"
kew-2842199,A,Sarraceniaceae,,Heliamphora,,"minor",,"","Gleason",Accepted,,M,WCSP (in review),961307,118876-2,"Brittonia","3: 164","","1939"
kew-2842204,A,Sarraceniaceae,,Heliamphora,,"nutans",,"","Benth.",Accepted,,M,WCSP (in review),961312,790110-1,"Proc. Linn. Soc. London","1: 53","","1840"
kew-2842207,A,Sarraceniaceae,,Heliamphora,,"tatei",,"","Gleason",Accepted,,M,WCSP (in review),961315,118880-2,"Bull. Torrey Bot. Club","58: 368","","1931"
kew-2842210,A,Sarraceniaceae,,Heliamphora,,"tatei",var.,"neblinae","(Maguire) Steyerm.",Accepted,,L,WCSP (in review),961318,278028-2,"Ann. Missouri Bot. Gard.","71: 311","","1984"
tro-28900007,A,Sarraceniaceae,,Sarracenia,,"alata",,"","(Alph. Wood) Alph. Wood",Accepted,,M,TRO,28900007,227800-2,"Leaves Flowers","159","159","1863"
kew-2582938,A,Sarraceniaceae,,Sarracenia,,"flava",,"","L.",Accepted,,M,WCSP (in review),707915,30118747-2,"Sp. Pl.","510","","1753"
tro-50141401,A,Sarraceniaceae,,Sarracenia,,"flava",var.,"catesbaei","(284+(pro sp.)+) C. Mohr",Accepted,,L,TRO,50141401,227803-2,"Bull. Torrey Bot. Club","24(1): 23","23","1897"
kew-2582892,A,Sarraceniaceae,,Sarracenia,,"purpurea",,"","L.",Accepted,,M,WCSP (in review),707869,30030166-2,"Sp. Pl.","510","","1753"
kew-2582963,A,Sarraceniaceae,,Sarracenia,,"purpurea",subsp.,"gibbosa","(Raf.) Wherry",Accepted,,L,WCSP (in review),707940,227809-2,"Bartonia","15: 5","","1933"
tro-28900015,A,Sarraceniaceae,,Sarracenia,,"purpurea",var.,"venosa","(Raf.) Fernald",Accepted,,L,TRO,28900015,227818-2,"Rhodora","38(450): 233","233","1936"
