ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2656720,A,Saxifragaceae,,Astilbe,×,"amabilis",,"","H.Hara",Accepted,,M,WCSP (in review),780376,790264-1,"J. Jap. Bot.","51: 74","","1976"
kew-2656721,A,Saxifragaceae,,Astilbe,,"apoensis",,"","Hallier f.",Accepted,,M,WCSP (in review),780377,790265-1,"Meded. Rijks-Herb.","37: 7","","1918"
kew-2656726,A,Saxifragaceae,,Astilbe,,"biternata",,"","(Vent.) Britton",Accepted,,M,WCSP (in review),780382,24374-2,"Bull. Torrey Bot. Club","20: 475","","1893"
kew-2656738,A,Saxifragaceae,,Astilbe,,"crenatiloba",,"","(Britton) Small",Accepted,,M,WCSP (in review),780394,24376-2,"N. Amer. Fl.","22: 158","","1905"
kew-2656744,A,Saxifragaceae,,Astilbe,,"formosa",,"","(Nakai) Nakai",Accepted,,M,WCSP (in review),780400,790280-1,"Bot. Mag. (Tokyo)","36: 121","","1922"
kew-2656747,A,Saxifragaceae,,Astilbe,,"glaberrima",,"","Nakai",Accepted,,M,WCSP (in review),780403,790282-1,"Bot. Mag. (Tokyo)","36: 120","","1922"
kew-2656751,A,Saxifragaceae,,Astilbe,,"grandis",,"","Stapf ex E.H.Wilson",Accepted,,M,WCSP (in review),780407,790283-1,"Gard. Chron.","III, 38: 426","","1905"
kew-2656752,A,Saxifragaceae,,Astilbe,,"hachijoensis",,"","Nakai",Accepted,,M,WCSP (in review),780408,790284-1,"Bot. Mag. (Tokyo)","33: 55","","1919"
kew-2656758,A,Saxifragaceae,,Astilbe,,"japonica",,"","(C.Morren & Decne.) A.Gray",Accepted,,M,WCSP (in review),780414,790289-1,"Amer. J. Sci. Arts","42: 39","","1841"
kew-2656765,A,Saxifragaceae,,Astilbe,,"khasiana",,"","Hallier f.",Accepted,,M,WCSP (in review),780421,790290-1,"Meded. Rijks-Herb.","37: 9","","1918"
kew-2656770,A,Saxifragaceae,,Astilbe,,"longicarpa",,"","(Hayata) Hayata",Accepted,,M,WCSP (in review),780426,790296-1,"J. Coll. Sci. Imp. Univ. Tokyo","30(1): 106","","1911"
kew-2656771,A,Saxifragaceae,,Astilbe,,"longipilosa",,"","Gilli",Accepted,,M,WCSP (in review),780427,896354-1,"Ann. Naturhist. Mus. Wien","83: 466","","1979 publ. 1980"
kew-2656772,A,Saxifragaceae,,Astilbe,,"macrocarpa",,"","Knoll",Accepted,,M,WCSP (in review),780428,790297-1,"Sitzungsber. Kaiserl. Akad. Wiss., Math.-Naturwiss. Cl., Abt. 1","118: 73","","1909"
kew-2656773,A,Saxifragaceae,,Astilbe,,"macroflora",,"","Hayata",Accepted,,M,WCSP (in review),780429,790298-1,"J. Coll. Sci. Imp. Univ. Tokyo","25: 86","","1908"
kew-2656774,A,Saxifragaceae,,Astilbe,,"microphylla",,"","Knoll",Accepted,,M,WCSP (in review),780430,790299-1,"Bull. Herb. Boissier","II, 7: 131","","1907"
kew-2656784,A,Saxifragaceae,,Astilbe,,"okuyamae",,"","H.Hara",Accepted,,M,WCSP (in review),780440,790303-1,"Nov. Fl. Jap.","3: 21","","1939"
kew-2656785,A,Saxifragaceae,,Astilbe,,"papuana",,"","Schltr.",Accepted,,M,WCSP (in review),780441,790304-1,"Bot. Jahrb. Syst.","52: 118","","1914"
kew-2656788,A,Saxifragaceae,,Astilbe,,"philippinensis",,"","L.Henry",Accepted,,M,WCSP (in review),780444,790307-1,"Gard. Chron.","III, 1902(2): 155","","1902"
kew-2656789,A,Saxifragaceae,,Astilbe,×,"photeinophylla",,"","Koidz.",Accepted,,M,WCSP (in review),780445,790308-1,"Acta Phytotax. Geobot.","5: 125","","1936"
kew-2656791,A,Saxifragaceae,,Astilbe,,"platyphylla",,"","H.Boissieu",Accepted,,M,WCSP (in review),780447,790310-1,"Bull. Herb. Boissier","5: 684","","1897"
kew-2656794,A,Saxifragaceae,,Astilbe,,"rivularis",,"","Buch.-Ham. ex D.Don",Accepted,,L,WCSP (in review),780450,,"Prodr. Fl. Nepal.","211","","1825"
kew-2656796,A,Saxifragaceae,,Astilbe,,"rivularis",var.,"angustifoliolata","H.Hara",Accepted,,L,WCSP (in review),780452,,"J. Jap. Bot.","51: 135","","1976"
