ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50099216,A,Schisandraceae,,Illicium,,"angustisepalum",,"","A.C. Sm.",Accepted,,M,TRO,50099216,554491-1,"Sargentia","7: 36","36","1947"
tro-19300247,A,Schisandraceae,,Illicium,,"arborescens",,"","Hayata",Accepted,,M,TRO,19300247,554496-1,"Icon. Pl. Formosan.","2: 105-106","105","1912"
tro-50099227,A,Schisandraceae,,Illicium,,"brevistylum",,"","A.C. Sm.",Accepted,,M,TRO,50099227,554497-1,"Sargentia","7: 50-51","50","1947"
tro-50099217,A,Schisandraceae,,Illicium,,"burmanicum",,"","E.H. Wilson",Accepted,,M,TRO,50099217,554498-1,"J. Arnold Arbor.","7(4): 238-239","238","1926"
kew-2861843,A,Schisandraceae,,Illicium,,"cubense",,"","A.C.Sm.",Accepted,,M,WCSP (in review),980468,128189-2,"Sargentia","7: 59","","1947"
tro-50099231,A,Schisandraceae,,Illicium,,"difengpi",,"","B.N. Chang",Accepted,,M,TRO,50099231,,"Acta Phytotax. Sin.","15(2): 76-77, pl. 1","76","1977"
tro-50002067,A,Schisandraceae,,Illicium,,"dunnianum",,"","Tutcher",Accepted,,M,TRO,50002067,554505-1,"J. Linn. Soc., Bot.","37(258): 62-63","62","1905"
tro-19300028,A,Schisandraceae,,Illicium,,"floridanum",,"","J. Ellis",Accepted,,M,TRO,19300028,554509-1,"Philos. Trans.","60: 524, pl. 12","524","1770"
tro-50099232,A,Schisandraceae,,Illicium,,"griffithii",,"","Hook. f. & Thomson",Accepted,,M,TRO,50099232,554510-1,"Fl. Ind.","1: 74","74","1855"
tro-50005003,A,Schisandraceae,,Illicium,,"henryi",,"","Diels",Accepted,,M,TRO,50005003,554511-1,"Bot. Jahrb. Syst.","29(3-4): 323","323","1900"
tro-50053707,A,Schisandraceae,,Illicium,,"jiadifengpi",,"","B.N. Chang",Accepted,,M,TRO,50053707,900105-1,"Acta Bot. Yunnan.","4(1): 47-48","47","1982"
tro-50099225,A,Schisandraceae,,Illicium,,"lanceolatum",,"","A.C. Sm.",Accepted,,M,TRO,50099225,554514-1,"Sargentia","7: 43, f. 11, a-g","43","1947"
tro-50099236,A,Schisandraceae,,Illicium,,"leiophyllum",,"","A.C. Sm.",Accepted,,M,TRO,50099236,554515-1,"Sargentia","7: 54","54","1947"
tro-50099219,A,Schisandraceae,,Illicium,,"macranthum",,"","A.C. Sm.",Accepted,,M,TRO,50099219,554518-1,"Sargentia","7: 21, f. 6, a-g","21","1947"
tro-19300242,A,Schisandraceae,,Illicium,,"majus",,"","Hook. f. & Thomson",Accepted,,M,TRO,19300242,554519-1,"Fl. Brit. India","1(1): 40","40","1872"
tro-50099242,A,Schisandraceae,,Illicium,,"merrillianum",,"","A.C. Sm.",Accepted,,M,TRO,50099242,554523-1,"Sargentia","7: 67","67","1947"
tro-50099243,A,Schisandraceae,,Illicium,,"micranthum",,"","Dunn",Accepted,,M,TRO,50099243,554525-1,"Icon. Pl.","28: , pl. 2714","","1901"
tro-50099226,A,Schisandraceae,,Illicium,,"modestum",,"","A.C. Sm.",Accepted,,M,TRO,50099226,554526-1,"Sargentia","7: 51, 53","51","1947"
