ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-320814,A,Schlegeliaceae,,Exarata,,"chocoensis",,"","A.H.Gentry",Accepted,,H,iPlants,320814,302486-2,"Syst. Bot.","17: 503","","1992"
kew-320843,A,Schlegeliaceae,,Gibsoniothamnus,,"alatus",,"","A.H.Gentry",Accepted,,H,iPlants,320843,109907-2,"Ann. Missouri Bot. Gard.","64: 133","","1977"
kew-320844,A,Schlegeliaceae,,Gibsoniothamnus,,"allenii",,"","A.H.Gentry",Accepted,,H,iPlants,320844,109908-2,"Ann. Missouri Bot. Gard.","61: 534","","1974"
kew-320845,A,Schlegeliaceae,,Gibsoniothamnus,,"cornutus",,"","(Donn.Sm.) A.H.Gentry",Accepted,,L,iPlants,320845,109909-2,"Fieldiana, Bot.","35(5): 55","","1971"
kew-320847,A,Schlegeliaceae,,Gibsoniothamnus,,"epiphyticus",,"","(Standl.) L.O.Williams",Accepted,,H,iPlants,320847,109911-2,"Fieldiana, Bot.","34: 120","","1972"
kew-318267,A,Schlegeliaceae,,Gibsoniothamnus,,"ficticius",,"","J.F.Morales",Accepted,,H,iPlants,318267,60433663-2,"Lankesteriana","4: 2","","2004"
kew-320848,A,Schlegeliaceae,,Gibsoniothamnus,,"grandiflorus",,"","A.H.Gentry & K.Barringer",Accepted,,H,iPlants,320848,306552-2,"Novon","5: 120","","1995"
kew-320849,A,Schlegeliaceae,,Gibsoniothamnus,,"latidentatus",,"","A.H.Gentry",Accepted,,H,iPlants,320849,109912-2,"Ann. Missouri Bot. Gard.","61: 536","","1974"
kew-320851,A,Schlegeliaceae,,Gibsoniothamnus,,"mirificus",,"","A.H.Gentry",Accepted,,H,iPlants,320851,109914-2,"Ann. Missouri Bot. Gard.","64: 133","","1977"
kew-320853,A,Schlegeliaceae,,Gibsoniothamnus,,"parvifolius",,"","Barringer",Accepted,,H,iPlants,320853,319338-2,"Novon","9: 476","","1999"
kew-320856,A,Schlegeliaceae,,Gibsoniothamnus,,"stellatus",,"","A.H.Gentry & Barringer",Accepted,,H,iPlants,320856,300721-2,"Novon","5: 121","","1995"
kew-320857,A,Schlegeliaceae,,Gibsoniothamnus,,"truncatus",,"","A.H.Gentry",Accepted,,H,iPlants,320857,109918-2,"Wrightia","7: 86","","1982"
kew-320858,A,Schlegeliaceae,,Gibsoniothamnus,,"versicolor",,"","A.H.Gentry & K.Barringer",Accepted,,H,iPlants,320858,303135-2,"Novon","5: 124","","1995"
kew-318115,A,Schlegeliaceae,,Schlegelia,,"aurea",,"","Ducke",Accepted,,H,iPlants,318115,,"Adansonia","5: 379","","1864 publ. 1865"
kew-318116,A,Schlegeliaceae,,Schlegelia,,"axillaris",,"","Griseb.",Accepted,,H,iPlants,318116,110593-1,"Fl. Brit. W. I.","445","","1861"
kew-318112,A,Schlegeliaceae,,Schlegelia,,"brachyantha",,"","Griseb.",Accepted,,H,iPlants,318112,110594-1,"Cat. Pl. Cub.","191","","1866"
kew-319054,A,Schlegeliaceae,,Schlegelia,,"cauliflora",,"","A.H.Gentry",Accepted,,H,iPlants,319054,304580-2,"Novon","2: 165","","1992"
kew-318118,A,Schlegeliaceae,,Schlegelia,,"chocoensis",,"","A.H.Gentry",Accepted,,H,iPlants,318118,229505-2,"Phytologia","47: 102","","1980"
kew-318121,A,Schlegeliaceae,,Schlegelia,,"darienensis",,"","Sandwith",Accepted,,H,iPlants,318121,229552-2,"Bull. Misc. Inform. Kew","1930: 212","","1930"
kew-318122,A,Schlegeliaceae,,Schlegelia,,"dressleri",,"","A.H.Gentry",Accepted,,H,iPlants,318122,229554-2,"Ann. Missouri Bot. Gard.","60: 885","","1973 publ. 1974"
