ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2652067,A,Schoepfiaceae,,Arjona,,"longifolia",,"","Phil.",Accepted,,M,WCSP (in review),775733,780022-1,"Anales Univ. Chile","21: 405","","1862"
kew-2652068,A,Schoepfiaceae,,Arjona,,"megapotamica",,"","Malme",Accepted,,M,WCSP (in review),775734,19670-2,"Ark. Bot.","22A(7): 3","","1928"
kew-2652070,A,Schoepfiaceae,,Arjona,,"patagonica",,"","Hombr. & Jacquinot ex Decne.",Accepted,,M,WCSP (in review),775736,780025-1,"Voy. Pôle Sud","2: 22","","1853"
kew-2652073,A,Schoepfiaceae,,Arjona,,"pusilla",,"","Hook.f.",Accepted,,M,WCSP (in review),775739,272668-2,"Fl. Antarct.","342","","1846"
kew-2652076,A,Schoepfiaceae,,Arjona,,"schumanniana",,"","Pilg.",Accepted,,M,WCSP (in review),775742,19672-2,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 1029","","1930"
kew-2652078,A,Schoepfiaceae,,Arjona,,"tuberosa",,"","Cav.",Accepted,,M,WCSP (in review),775744,780032-1,"Icon.","4: 57","","1797"
tro-50089515,A,Schoepfiaceae,,Arjona,,"tuberosa",var.,"tuberosa","",Accepted,,L,TRO,50089515,,"","","",""
kew-2868580,A,Schoepfiaceae,,Quinchamalium,,"andinum",,"","Phil.",Accepted,,M,WCSP (in review),987121,780543-1,"Bot. Zeitung (Berlin)","15: 747","","1857"
kew-2868582,A,Schoepfiaceae,,Quinchamalium,,"bracteosum",,"","Phil.",Accepted,,M,WCSP (in review),987123,780545-1,"Bot. Zeitung (Berlin)","15: 747","","1857"
kew-2868584,A,Schoepfiaceae,,Quinchamalium,,"brevistaminatum",,"","Pilg.",Accepted,,M,WCSP (in review),987125,216682-2,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 1030","","1930"
kew-2868585,A,Schoepfiaceae,,Quinchamalium,,"carnosum",,"","Phil.",Accepted,,M,WCSP (in review),987126,780548-1,"Fl. Atacam.","48","","1860"
kew-2868586,A,Schoepfiaceae,,Quinchamalium,,"chilense",,"","Molina",Accepted,,M,WCSP (in review),987127,780553-1,"Sag. Stor. Nat. Chili","151","","1782"
kew-2868592,A,Schoepfiaceae,,Quinchamalium,,"chilense",var.,"parviflorum","(Phil.) L.E.Navas",Accepted,,L,WCSP (in review),987133,891050-1,"Fl. Cuenca Santiago de Chile","2: 40","","1976"
kew-2868595,A,Schoepfiaceae,,Quinchamalium,,"elongatum",,"","Pilg.",Accepted,,M,WCSP (in review),987136,216690-2,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 1031","","1930"
kew-2868597,A,Schoepfiaceae,,Quinchamalium,,"excrecens",,"","Phil.",Accepted,,M,WCSP (in review),987138,,"Bot. Zeitung (Berlin)","15: 748","","1857"
kew-2868598,A,Schoepfiaceae,,Quinchamalium,,"fruticulosum",,"","Steud. ex Miers",Accepted,,M,WCSP (in review),987139,,"J. Linn. Soc., Bot.","17: 138","","1878"
kew-2868599,A,Schoepfiaceae,,Quinchamalium,,"gracile",,"","Brongn.",Accepted,,M,WCSP (in review),987140,780560-1,"Voy. Monde","231","","1834"
kew-2868600,A,Schoepfiaceae,,Quinchamalium,,"hoppii",,"","Pilg.",Accepted,,M,WCSP (in review),987141,216692-2,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 1030","","1930"
kew-2868601,A,Schoepfiaceae,,Quinchamalium,,"linarioides",,"","Phil.",Accepted,,M,WCSP (in review),987142,780562-1,"Bot. Zeitung (Berlin)","15: 746","","1857"
kew-2868604,A,Schoepfiaceae,,Quinchamalium,,"litorale",,"","Phil.",Accepted,,M,WCSP (in review),987145,780565-1,"Linnaea","33: 234","","1864"
kew-2868605,A,Schoepfiaceae,,Quinchamalium,,"lomae",,"","Pilg.",Accepted,,M,WCSP (in review),987146,216693-2,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 1030","","1930"
kew-2868606,A,Schoepfiaceae,,Quinchamalium,,"majus",,"","Brongn.",Accepted,,M,WCSP (in review),987147,780567-1,"Voy. Monde","229","","1834"
tro-28500498,A,Schoepfiaceae,,Quinchamalium,,"peruvianum",,"","J. St.-Hil.",Accepted,,M,TRO,28500498,780572-1,"Expos. Fam. Nat.","1: 175","175","1805"
kew-2868611,A,Schoepfiaceae,,Quinchamalium,,"peruviauum",,"","J.St.-Hil.",Accepted,,M,WCSP (in review),987152,,"Expos. Fam. Nat.","1: 175","","1805"
kew-2868613,A,Schoepfiaceae,,Quinchamalium,,"procumbens",,"","Ruiz & Pav.",Accepted,,M,WCSP (in review),987154,780574-1,"Fl. Peruv.","2: 1","","1799"
kew-2868617,A,Schoepfiaceae,,Quinchamalium,,"stuebelii",,"","Hieron.",Accepted,,M,WCSP (in review),987158,216700-2,"Bot. Jahrb. Syst.","21: 306","","1895"
kew-2868618,A,Schoepfiaceae,,Quinchamalium,,"tarapacanum",,"","Phil.",Accepted,,M,WCSP (in review),987159,216701-2,"Anales Mus. Nac. Santiago de Chile","1: 75","","1891"
kew-2868620,A,Schoepfiaceae,,Quinchamalium,,"thesioides",,"","Phil.",Accepted,,M,WCSP (in review),987161,780581-1,"Fl. Atacam.","48","","1860"
kew-2602239,A,Schoepfiaceae,,Schoepfia,,"brasiliensis",,"","A.DC.",Accepted,,M,WCSP (in review),726944,608352-1,"Prodr.","14: 622","","1857"
tro-50098721,A,Schoepfiaceae,,Schoepfia,,"californica",,"","Brandegee",Accepted,,M,TRO,50098721,229870-2,"Proc. Calif. Acad. Sci., ser. 2,","2: 139","139","1889"
tro-22900277,A,Schoepfiaceae,,Schoepfia,,"chinensis",,"","Gardner & Champ.",Accepted,,M,TRO,22900277,608356-1,"Hooker's J. Bot. Kew Gard. Misc.","1: 308-309","308","1849"
kew-2602233,A,Schoepfiaceae,,Schoepfia,,"clarkii",,"","Steyerm.",Accepted,,M,WCSP (in review),726938,284727-2,"Ann. Missouri Bot. Gard.","75: 1061","","1988"
tro-50167275,A,Schoepfiaceae,,Schoepfia,,"cubensis",,"","Britton & P. Wilson",Accepted,,M,TRO,50167275,229871-2,"Bull. Torrey Bot. Club","43: 458","458","1916"
tro-22900109,A,Schoepfiaceae,,Schoepfia,,"flexuosa",,"","(Ruiz & Pav.) Schult.",Accepted,,M,TRO,22900109,608364-1,"Syst. Veg.","5: 160","160","1819"
tro-22900269,A,Schoepfiaceae,,Schoepfia,,"fragrans",,"","Wall.",Accepted,,M,TRO,22900269,608366-1,"Fl. Ind., ed. 1820","2: 188-190","188","1824"
tro-50249642,A,Schoepfiaceae,,Schoepfia,,"griffithii",,"","Tiegh. ex Steenis",Accepted,,M,TRO,50249642,608371-1,"Reinwardtia","1: 472","472","1952"
tro-22900274,A,Schoepfiaceae,,Schoepfia,,"jasminodora",,"","Siebold & Zucc.",Accepted,,M,TRO,22900274,608374-1,"Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss.","4(3): 135","135","1846"
tro-22900275,A,Schoepfiaceae,,Schoepfia,,"jasminodora",var.,"jasminodora","",Accepted,,L,TRO,22900275,,"","","",""
