ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2625560,A,Scrophulariaceae,,Agathelpis,,"adunca",,"","E.Mey.",Accepted,,M,WCSP (in review),749408,813016-1,"Comm. Pl. Afr. Austr.","252","","1838"
kew-2625561,A,Scrophulariaceae,,Agathelpis,,"angustifolia",,"","Choisy",Accepted,,M,WCSP (in review),749409,813017-1,"Mém. Soc. Phys. Genève","2: 95","","1824"
kew-2625562,A,Scrophulariaceae,,Agathelpis,,"brevifolia",,"","E.Mey.",Accepted,,M,WCSP (in review),749410,813018-1,"Comm. Pl. Afr. Austr.","253","","1838"
kew-2625564,A,Scrophulariaceae,,Agathelpis,,"mucronata",,"","E.Mey.",Accepted,,M,WCSP (in review),749412,813019-1,"Comm. Pl. Afr. Austr.","253","","1838"
kew-2625565,A,Scrophulariaceae,,Agathelpis,,"nitida",,"","E.Mey.",Accepted,,L,WCSP (in review),749413,813020-1,"Comm. Pl. Afr. Austr.","252","","1838"
kew-2625567,A,Scrophulariaceae,,Agathelpis,,"parvifolia",,"","Choisy",Accepted,,M,WCSP (in review),749415,813021-1,"Mém. Soc. Phys. Genève","2: 95","","1824"
kew-2629902,A,Scrophulariaceae,,Alonsoa,,"acutifolia",,"","Ruiz & Pav.",Accepted,,M,WCSP (in review),753626,798810-1,"Syst. Veg. Fl. Peruv. Chil.","153","","1798"
kew-2629904,A,Scrophulariaceae,,Alonsoa,,"albiflora",,"","G.Nicholson",Accepted,,M,WCSP (in review),753628,798811-1,"Ill. Dict. Gard.","1: 53","","1884"
kew-2629905,A,Scrophulariaceae,,Alonsoa,,"auriculata",,"","Diels",Accepted,,M,WCSP (in review),753629,9528-2,"Bot. Jahrb. Syst.","37: 427","","1906"
kew-2629908,A,Scrophulariaceae,,Alonsoa,,"caulialata",,"","Ruiz & Pav.",Accepted,,M,WCSP (in review),753632,798815-1,"Syst. Veg. Fl. Peruv. Chil.","152","","1798"
kew-2629912,A,Scrophulariaceae,,Alonsoa,,"hirsuta",,"","(Spreng.) Steud.",Accepted,,M,WCSP (in review),753636,798819-1,"Nomencl. Bot.","ed. 2, 1: 60","","1840"
kew-2629913,A,Scrophulariaceae,,Alonsoa,,"honoraria",,"","Grau",Accepted,,M,WCSP (in review),753637,319265-2,"Sendtnera","6: 110","","1999"
kew-2629921,A,Scrophulariaceae,,Alonsoa,,"linearis",,"","(Jacq.) Ruiz & Pav.",Accepted,,M,WCSP (in review),753645,798826-1,"Syst. Veg. Fl. Peruv. Chil.","154","","1798"
tro-29202314,A,Scrophulariaceae,,Alonsoa,,"linearis",var.,"linearis","",Accepted,,L,TRO,29202314,,"","","",""
kew-2629923,A,Scrophulariaceae,,Alonsoa,,"linearis",var.,"platyphylla","(Diels) Edwin",Accepted,,L,WCSP (in review),753647,9535-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","13(5b 3): 473","","1971"
kew-2629927,A,Scrophulariaceae,,Alonsoa,,"meridionalis",,"","(L.f.) Kuntze",Accepted,,M,WCSP (in review),753651,9536-2,"Revis. Gen. Pl.","2: 457","","1891"
tro-29207756,A,Scrophulariaceae,,Alonsoa,,"meridionalis",var.,"meridionalis","",Accepted,,L,TRO,29207756,,"","","",""
kew-2629935,A,Scrophulariaceae,,Alonsoa,,"minor",,"","Edwin",Accepted,,M,WCSP (in review),753659,9544-2,"Fieldiana, Bot.","31: 229","","1967"
kew-2629939,A,Scrophulariaceae,,Alonsoa,,"pallida",,"","Edwin",Accepted,,M,WCSP (in review),753663,9546-2,"Fieldiana, Bot.","31: 230","","1967"
kew-2629941,A,Scrophulariaceae,,Alonsoa,,"peduncularis",,"","(Kuntze) Wettst.",Accepted,,M,WCSP (in review),753665,,"Nat. Pflanzenfam.","4(3b): 53","","1891"
kew-2629945,A,Scrophulariaceae,,Alonsoa,,"quadrifolia",,"","G.Don",Accepted,,M,WCSP (in review),753669,798840-1,"Gen. Hist.","4: 513","","1837"
kew-2629946,A,Scrophulariaceae,,Alonsoa,,"serrata",,"","Pennell",Accepted,,M,WCSP (in review),753670,9548-2,"Proc. Acad. Nat. Sci. Philadelphia","72: 167","","1920"
kew-2633600,A,Scrophulariaceae,,Ameroglossum,,"pernambucense",,"","Eb.Fisch., S.Vogel & A.V.Lopes",Accepted,,M,WCSP (in review),757311,319189-2,"Feddes Repert.","110: 529","","1999"
kew-2636180,A,Scrophulariaceae,,Anamaria,,"heterophylla",,"","(Giul. & V.C.Souza) V.C.Souza",Accepted,,M,WCSP (in review),759976,1120173-2,"Bol. Bot. Univ. São Paulo","19: 44","","2001"
kew-2636774,A,Scrophulariaceae,,Ancistrostylis,,"harmandii",,"","(Bonati) T.Yamaz.",Accepted,,L,WCSP (in review),760475,798917-1,"J. Jap. Bot.","55: 1","","1980"
kew-2637915,A,Scrophulariaceae,,Androya,,"decaryi",,"","H.Perrier",Accepted,,M,WCSP (in review),761617,608627-1,"Bull. Mus. Natl. Hist. Nat.","II, 24: 400","","1952"
