ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2626815,A,Simaroubaceae,,Ailanthus,,"altissima",,"","(Mill.) Swingle",Accepted,,M,WCSP (in review),750641,7848-2,"J. Wash. Acad. Sci.","6: 495","","1916"
tro-50126868,A,Simaroubaceae,,Ailanthus,,"altissima",var.,"altissima","",Accepted,,L,TRO,50126868,,"","","",""
tro-50130699,A,Simaroubaceae,,Ailanthus,,"altissima",var.,"sutchuenensis","(Dode) Rehder & E.H. Wilson",Accepted,,L,TRO,50130699,,"Pl. Wilson.","3(3): 449","449","1917"
tro-50126869,A,Simaroubaceae,,Ailanthus,,"altissima",var.,"tanakae","(Hayata) Kaneh. & Sasaki",Accepted,,L,TRO,50126869,,"Formosan Trees (rev. ed.)","321, f. 276","321","1936"
kew-2626827,A,Simaroubaceae,,Ailanthus,,"excelsa",,"","Roxb.",Accepted,,M,WCSP (in review),750653,813527-1,"Pl. Coromandel","1: t. 23","","1795"
kew-2626830,A,Simaroubaceae,,Ailanthus,,"fordii",,"","Noot.",Accepted,,M,WCSP (in review),750656,813530-1,"in Fl. Males.","6: 220","","1963"
kew-2626841,A,Simaroubaceae,,Ailanthus,,"integrifolia",,"","Lam.",Accepted,,M,WCSP (in review),750667,,"Dict.","2","","1792"
kew-2626842,A,Simaroubaceae,,Ailanthus,,"integrifolia",subsp.,"calycina","(Pierre) Noot.",Accepted,,L,WCSP (in review),750668,,"in Fl. Males.","6: 218","","1962"
tro-29400165,A,Simaroubaceae,,Ailanthus,,"triphysa",,"","(Dennst.) Alston",Accepted,,M,TRO,29400165,813557-1,"Handb. Fl. Ceylon","6(suppl.): 41","41","1931"
kew-2606178,A,Simaroubaceae,,Ailanthus,,"vietnamensis",,"","H.V.Sam & Noot.",Accepted,,M,WCSP (in review),730790,77087223-1,"Blumea","52: 555","","2007"
kew-2633227,A,Simaroubaceae,,Amaroria,,"soulameoides",,"","A.Gray",Accepted,,M,WCSP (in review),756950,813567-1,"U.S. Expl. Exped., Phan.","1: 356","","1854"
kew-2683962,A,Simaroubaceae,,Brucea,,"antidysenterica",,"","J.F.Mill.",Accepted,,M,WCSP (in review),807295,813601-1,"Icon. Anim. Pl.","t. 25","","1779"
kew-2683963,A,Simaroubaceae,,Brucea,,"bruceadelpha",,"","(Noot.) Kosterm.",Accepted,,L,WCSP (in review),807296,946090-1,"Reinwardtia","10: 471","","1988"
