ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2826873,A,Siparunaceae,,Glossocalyx,,"longicuspis",,"","Benth.",Accepted,,M,WCSP (in review),946135,581875-1,"Hooker's Icon. Pl.","14: t. 1301","","1880"
tro-50300805,A,Siparunaceae,,Siparuna,,"alternifolia",,"","(Spreng.) A. DC.",Accepted,,L,TRO,50300805,582215-1,"Prodr.","16(2): 656","656","1868"
kew-2588470,A,Siparunaceae,,Siparuna,,"aspera",,"","(Ruiz & Pav.) A.DC.",Accepted,,L,WCSP (in review),713375,582223-1,"Prodr.","16(2): 645","","1868"
kew-2588467,A,Siparunaceae,,Siparuna,,"bifida",,"","(Poepp. & Endl.) A.DC.",Accepted,,M,WCSP (in review),713372,582228-1,"Prodr.","16(2): 652","","1868"
tro-21200105,A,Siparunaceae,,Siparuna,,"brasiliensis",,"","(Spreng.) A. DC.",Accepted,,L,TRO,21200105,582230-1,"Prodr.","16(2): 656","656","1868"
tro-50172506,A,Siparunaceae,,Siparuna,,"calantha",,"","(Perkins) S.S. Renner & Hausner",Accepted,,M,TRO,50172506,1193850-2,"Novon","10(2): 140","140","2000"
tro-50060826,A,Siparunaceae,,Siparuna,,"campii",,"","S.S. Renner & Hausner",Accepted,,M,TRO,50060826,301333-2,"Novon","6(1): 103, f. 1, 8C, D","103","1996"
tro-50066825,A,Siparunaceae,,Siparuna,,"cascada",,"","S.S. Renner & Hausner",Accepted,,M,TRO,50066825,302637-2,"Novon","6(1): 116, f. 7, 8E, F","116","1996"
tro-21200110,A,Siparunaceae,,Siparuna,,"cervicornis",,"","Perkins",Accepted,,M,TRO,21200110,237174-2,"Verh. Bot. Vereins Prov. Brandenburg","47: 145","145","1905"
tro-50009511,A,Siparunaceae,,Siparuna,,"conica",,"","S.S. Renner & Hausner",Accepted,,M,TRO,50009511,300829-2,"Novon","6(1): 108-111, f. 5","108","1996"
kew-2588490,A,Siparunaceae,,Siparuna,,"cristata",,"","(Poepp. & Endl.) A.DC.",Accepted,,M,WCSP (in review),713395,582246-1,"Prodr.","16(2): 655","","1868"
tro-21200428,A,Siparunaceae,,Siparuna,,"croatii",,"","S.S. Renner & Hausner",Accepted,,M,TRO,21200428,982478-1,"Novon","5(1): 61, f. 1A-D, 2","61","1995"
kew-2588493,A,Siparunaceae,,Siparuna,,"cuspidata",,"","(Tul.) A.DC.",Accepted,,M,WCSP (in review),713398,582248-1,"Prodr.","16(2): 655","","1868"
