ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-277993,A,Smilacaceae,,Heterosmilax,,"borneensis",,"","A.DC.",Accepted,,H,WCSP,277993,536468-1,"Monogr. Phan.","1: 42","","1878"
kew-277994,A,Smilacaceae,,Heterosmilax,,"chinensis",,"","F.T.Wang",Accepted,,H,WCSP,277994,536469-1,"Bull. Fan Mem. Inst. Biol.","5: 121","","1934"
kew-277998,A,Smilacaceae,,Heterosmilax,,"gaudichaudiana",,"","(Kunth) Maxim.",Accepted,,H,WCSP,277998,,"Bull. Acad. Imp. Sci. Saint-Pétersbourg","17: 176","","1872"
kew-278001,A,Smilacaceae,,Heterosmilax,,"japonica",,"","Kunth",Accepted,,H,WCSP,278001,536476-1,"Enum. Pl.","5: 270","","1850"
kew-278003,A,Smilacaceae,,Heterosmilax,,"longiflora",,"","K.Y.Guan & Noltie",Accepted,,H,WCSP,278003,972457-1,"Edinburgh J. Bot.","50: 59","","1993"
kew-278004,A,Smilacaceae,,Heterosmilax,,"micrandra",,"","T.Koyama",Accepted,,H,WCSP,278004,904357-1,"Brittonia","36: 201","","1984"
kew-278005,A,Smilacaceae,,Heterosmilax,,"micrantha",,"","(Blume) Bakh.f.",Accepted,,H,WCSP,278005,536477-1,"Blumea","6: 400","","1950"
kew-278006,A,Smilacaceae,,Heterosmilax,,"paniculata",,"","Gagnep.",Accepted,,H,WCSP,278006,536478-1,"Bull. Soc. Bot. France","81: 69","","1934"
kew-278007,A,Smilacaceae,,Heterosmilax,,"pertenuis",,"","(T.Koyama) T.Koyama",Accepted,,H,WCSP,278007,814186-1,"in Fl. Thailand","2(3): 250","","1975"
kew-278008,A,Smilacaceae,,Heterosmilax,,"polyandra",,"","Gagnep.",Accepted,,H,WCSP,278008,536479-1,"Bull. Soc. Bot. France","81: 70","","1934"
kew-278011,A,Smilacaceae,,Heterosmilax,,"seisuiensis",,"","(Hayata) F.T.Wang & Tang",Accepted,,H,WCSP,278011,536482-1,"Sinensia","5: 427","","1934"
kew-278012,A,Smilacaceae,,Heterosmilax,,"septemnervia",,"","F.T.Wang & Tang",Accepted,,H,WCSP,278012,536483-1,"Sinensia","5: 428","","1934"
kew-278015,A,Smilacaceae,,Heterosmilax,,"yunnanensis",,"","Gagnep.",Accepted,,H,WCSP,278015,536486-1,"Bull. Soc. Bot. France","81: 70","","1934"
kew-288525,A,Smilacaceae,,Smilax,,"aberrans",,"","Gagnep.",Accepted,,H,WCSP,288525,541253-1,"Bull. Soc. Bot. France","81: 71","","1934"
kew-287950,A,Smilacaceae,,Smilax,,"aculeatissima",,"","Conran",Accepted,,H,WCSP,287950,929692-1,"in Fl. Australia","46: 231","","1986"
kew-288536,A,Smilacaceae,,Smilax,,"amblyobasis",,"","K.Krause",Accepted,,H,WCSP,288536,541265-1,"Bot. Jahrb. Syst.","59: 565","","1925"
kew-288511,A,Smilacaceae,,Smilax,,"ampla",,"","Warb. ex K.Krause",Accepted,,H,WCSP,288511,541266-1,"Bot. Jahrb. Syst.","59: 562","","1925"
kew-288528,A,Smilacaceae,,Smilax,,"anceps",,"","Willd.",Accepted,,H,WCSP,288528,541268-1,"Sp. Pl.","4: 782","","1806"
kew-288505,A,Smilacaceae,,Smilax,,"anguina",,"","K.Krause",Accepted,,H,WCSP,288505,541269-1,"Bot. Jahrb. Syst.","59: 566","","1925"
kew-288508,A,Smilacaceae,,Smilax,,"annulata",,"","Warb. ex K.Krause",Accepted,,H,WCSP,288508,541273-1,"Bot. Jahrb. Syst.","59: 564","","1925"
tro-18401775,A,Smilacaceae,,Smilax,,"argyrea",,"","Lind. & Rod.",Accepted,,M,TRO,18401775,,"Ill. Hort.","41: 12","12","1894"
kew-288510,A,Smilacaceae,,Smilax,,"arisanensis",,"","Hayata",Accepted,,H,WCSP,288510,541275-1,"J. Coll. Sci. Imp. Univ. Tokyo","30(1): 356","","1911"
kew-288504,A,Smilacaceae,,Smilax,,"aristolochiifolia",,"","Mill.",Accepted,,H,WCSP,288504,541278-1,"Gard. Dict. ed. 8","7","","1768"
