ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2618239,A,Solanaceae,,Acnistus,,"arborescens",,"","(L.) Schltdl.",Accepted,,M,WCSP (in review),742095,814189-1,"Linnaea","7: 67","","1832"
kew-2640212,A,Solanaceae,,Anisodus,,"acutangulus",,"","C.Y.Wu & C.Chen",Accepted,,M,WCSP (in review),763898,814260-1,"Acta Phytotax. Sin.","15(2): 62","","1977"
kew-2640214,A,Solanaceae,,Anisodus,,"carniolicoides",,"","(C.Y.Wu & C.Chen) D'Arcy & Zhi Y.Zhang",Accepted,,M,WCSP (in review),763900,963938-1,"Novon","2: 126","","1992"
kew-2640218,A,Solanaceae,,Anisodus,,"luridus",,"","Link",Accepted,,M,WCSP (in review),763904,,"Syst. Veg.","1: 699","","1824"
kew-2640224,A,Solanaceae,,Anisodus,,"tanguticus",,"","(Maxim.) Pascher",Accepted,,M,WCSP (in review),763910,814269-1,"Repert. Spec. Nov. Regni Veg.","7: 167","","1909"
kew-2641570,A,Solanaceae,,Anthocercis,,"angustifolia",,"","F.Muell.",Accepted,,M,WCSP (in review),765256,814272-1,"Trans. Philos. Soc. Victoria","1: 21","","1855"
kew-2641571,A,Solanaceae,,Anthocercis,,"anisantha",,"","Endl.",Accepted,,M,WCSP (in review),765257,126878-3,"Stirp. Herb. Hügel.","13","","1838"
kew-2641577,A,Solanaceae,,Anthocercis,,"fasciculata",,"","F.Muell.",Accepted,,M,WCSP (in review),765263,127030-3,"Fragm.","1: 122","","1859"
kew-2641580,A,Solanaceae,,Anthocercis,,"genistoides",,"","Miers",Accepted,,M,WCSP (in review),765266,814283-1,"Ill. S. Amer. Pl.","2(App.): 27","","1853"
kew-2641582,A,Solanaceae,,Anthocercis,,"gracilis",,"","Benth.",Accepted,,M,WCSP (in review),765268,127141-3,"Prodr.","10: 192","","1846"
kew-2641584,A,Solanaceae,,Anthocercis,,"ilicifolia",,"","Hook.",Accepted,,M,WCSP (in review),765270,814287-1,"Bot. Mag.","57: t. 2961","","1830"
kew-2641586,A,Solanaceae,,Anthocercis,,"intricata",,"","F.Muell.",Accepted,,M,WCSP (in review),765272,127229-3,"Fragm.","1: 211","","1859"
kew-2641588,A,Solanaceae,,Anthocercis,,"littorea",,"","Labill.",Accepted,,M,WCSP (in review),765274,127260-3,"Nov. Holl. Pl.","2: 19","","1806"
kew-2641595,A,Solanaceae,,Anthocercis,,"sylvicola",,"","T.D.Macfarl.& Ward.-Johnson",Accepted,,M,WCSP (in review),765281,990761-1,"Nuytsia","11: 71","","1996"
kew-2641599,A,Solanaceae,,Anthocercis,,"viscosa",,"","R.Br.",Accepted,,M,WCSP (in review),765285,814300-1,"Prodr. Fl. Nov. Holl.","448","","1810"
kew-2641785,A,Solanaceae,,Anthotroche,,"myoporoides",,"","C.A.Gardner",Accepted,,M,WCSP (in review),765471,814303-1,"J. Roy. Soc. Western Australia","27: 191","","1942"
kew-2641786,A,Solanaceae,,Anthotroche,,"pannosa",,"","Endl.",Accepted,,M,WCSP (in review),765472,814304-1,"Nov. Stirp. Dec.","7","","1839"
kew-2641788,A,Solanaceae,,Anthotroche,,"walcottii",,"","F.Muell.",Accepted,,M,WCSP (in review),765474,,"Fragm.","1: 123","","1859"
kew-2647073,A,Solanaceae,,Archihyoscyamus,,"leptocalyx",,"","(Stapf) A.M.Lu",Accepted,,M,WCSP (in review),770741,995870-1,"Adansonia","III, 19: 138","","1997"
kew-2647081,A,Solanaceae,,Archiphysalis,,"chamaesarachoides",,"","(Makino) Kuang",Accepted,,M,WCSP (in review),770749,814315-1,"Acta Phytotax. Sin.","11: 62","","1966"
kew-2647083,A,Solanaceae,,Archiphysalis,,"sinensis",,"","(Hemsl.) Kuang",Accepted,,M,WCSP (in review),770751,814317-1,"Acta Phytotax. Sin.","11: 62","","1966"
kew-2664756,A,Solanaceae,,Athenaea,,"anonacea",,"","Sendtn.",Accepted,,M,WCSP (in review),788403,814320-1,"Fl. Bras.","10: 137","","1846"
kew-2664760,A,Solanaceae,,Athenaea,,"cuspidata",,"","Witasek",Accepted,,M,WCSP (in review),788407,26075-2,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.","89: 318","","1910"
kew-2664763,A,Solanaceae,,Athenaea,,"hirsuta",,"","Sendtn.",Accepted,,M,WCSP (in review),788410,814327-1,"Fl. Bras.","10: 137","","1846"
kew-2664766,A,Solanaceae,,Athenaea,,"martiana",,"","Sendtn.",Accepted,,M,WCSP (in review),788413,814330-1,"Fl. Bras.","10: 136","","1846"
kew-2664767,A,Solanaceae,,Athenaea,,"micrantha",,"","Sendtn.",Accepted,,M,WCSP (in review),788414,814331-1,"Fl. Bras.","10: 135","","1846"
kew-2664770,A,Solanaceae,,Athenaea,,"pereirae",,"","Barboza & Hunz.",Accepted,,M,WCSP (in review),788417,272912-2,"Bol. Soc. Argent. Bot.","26: 100","","1989"
kew-2664773,A,Solanaceae,,Athenaea,,"picta",,"","(Mart.) Sendtn.",Accepted,,M,WCSP (in review),788420,814336-1,"Fl. Bras.","10: 134","","1846"
kew-2664774,A,Solanaceae,,Athenaea,,"pogogena",,"","(Moric.) Sendtn.",Accepted,,M,WCSP (in review),788421,814337-1,"Fl. Bras.","10: 135","","1846"
kew-2664776,A,Solanaceae,,Athenaea,,"pohliana",,"","Sendtn.",Accepted,,M,WCSP (in review),788423,,"Fl. Bras.","10: 136","","1846"
kew-2664777,A,Solanaceae,,Athenaea,,"purpusii",,"","Brandegee",Accepted,,M,WCSP (in review),788424,26084-2,"Univ. Calif. Publ. Bot.","4: 385","","1913"
kew-2664778,A,Solanaceae,,Athenaea,,"schottiana",,"","Sendtn.",Accepted,,M,WCSP (in review),788425,814340-1,"Fl. Bras.","10: 135","","1846"
kew-2664781,A,Solanaceae,,Athenaea,,"velutina",,"","(Sendt) D'Arcy",Accepted,,M,WCSP (in review),788428,272913-2,"Solanaceae Newslett.","2(4): 16","","1986"
kew-2664992,A,Solanaceae,,Atrichodendron,,"tonkinense",,"","Gagnep.",Accepted,,M,WCSP (in review),788626,814346-1,"Notul. Syst. (Paris)","14: 29","","1950"
kew-2665934,A,Solanaceae,,Atropa,,"acuminata",,"","Royle ex Lindl.",Accepted,,M,WCSP (in review),789568,814349-1,"J. Hort. Soc. London","1: 306","","1846"
kew-2665942,A,Solanaceae,,Atropa,,"baetica",,"","Willk.",Accepted,,M,WCSP (in review),789576,814357-1,"Linnaea","25: 50","","1852"
kew-2665943,A,Solanaceae,,Atropa,,"belladonna",,"","L.",Accepted,,M,WCSP (in review),789577,814358-1,"Sp. Pl.","181","","1753"
kew-2665974,A,Solanaceae,,Atropa,,"pallidiflora",,"","Schönb.-Tem.",Accepted,,M,WCSP (in review),789608,814389-1,"in Fl. Iran.","100: 41","","1972"
kew-2665997,A,Solanaceae,,Atropanthe,,"mairei",,"","(H.Lév.) H.Lév.",Accepted,,M,WCSP (in review),789631,814412-1,"Bull. Acad. Int. Géogr. Bot.","24: 37","","1915"
kew-2665998,A,Solanaceae,,Atropanthe,,"sinensis",,"","(Hemsl.) Pascher",Accepted,,M,WCSP (in review),789632,814413-1,"Oesterr. Bot. Z.","59: 330","","1909"
kew-2666360,A,Solanaceae,,Aureliana,,"angustifolia",,"","Alm.-Lafetá",Accepted,,M,WCSP (in review),789987,320414-2,"Novon","10: 187","","2000"
kew-2666361,A,Solanaceae,,Aureliana,,"brasiliana",,"","(Hunz.) Barboza & Hunz.",Accepted,,M,WCSP (in review),789988,272961-2,"Darwiniana","30: 105","","1990 publ. 1991"
kew-2666362,A,Solanaceae,,Aureliana,,"darcyi",,"","Carvalho & Bovini",Accepted,,M,WCSP (in review),789989,305349-2,"Novon","5: 257","","1995"
kew-2666363,A,Solanaceae,,Aureliana,,"fasciculata",,"","(Vell.) Sendtn.",Accepted,,M,WCSP (in review),789990,814414-1,"Fl. Bras.","10: 140","","1846"
kew-2666364,A,Solanaceae,,Aureliana,,"fasciculata",var.,"longifolia","(Sendt.) Hunz. & Barboza",Accepted,,L,WCSP (in review),789991,272962-2,"Darwiniana","30: 104","","1990 publ. 1991"
kew-2666365,A,Solanaceae,,Aureliana,,"fasciculata",var.,"tomentella","(Sendt.) Barboza & Hunz.",Accepted,,L,WCSP (in review),789992,272963-2,"Darwiniana","30: 103","","1990 publ. 1991"
kew-2666370,A,Solanaceae,,Aureliana,,"tomentosa",,"","Sendtn.",Accepted,,M,WCSP (in review),789997,814417-1,"Fl. Bras.","10: 140","","1846"
kew-2666371,A,Solanaceae,,Aureliana,,"velutina",,"","Sendtn.",Accepted,,M,WCSP (in review),789998,272968-2,"Fl. Bras.","10: 140","","1846"
kew-2666373,A,Solanaceae,,Aureliana,,"wettsteiniana",,"","(Witasek) Hunz. & Barboza",Accepted,,M,WCSP (in review),790000,272967-2,"Darwiniana","30: 107","","1990 publ. 1991"
kew-2673220,A,Solanaceae,,Benthamiella,,"azorella",,"","(Skottsb.) C.Soriano",Accepted,,M,WCSP (in review),796683,31305-2,"Darwiniana","8: 259","","1948"
kew-2673221,A,Solanaceae,,Benthamiella,,"azorelloides",,"","Speg.",Accepted,,M,WCSP (in review),796684,814492-1,"Nova Add. Fl. Patag.","reimpr. 2: 53","","1902"
kew-2673222,A,Solanaceae,,Benthamiella,,"chubutensis",,"","C.Soriano",Accepted,,M,WCSP (in review),796685,31307-2,"Darwiniana","8: 253","","1948"
kew-2673223,A,Solanaceae,,Benthamiella,,"graminifolia",,"","Skottsb.",Accepted,,M,WCSP (in review),796686,31308-2,"Kongl. Svenska Vetensk. Acad. Handl.","n.s., 56(5): 297","","1916"
kew-2673225,A,Solanaceae,,Benthamiella,,"lanata",,"","C.Soriano",Accepted,,M,WCSP (in review),796688,31310-2,"Darwiniana","8: 249","","1948"
kew-2673226,A,Solanaceae,,Benthamiella,,"longifolia",,"","Speg.",Accepted,,M,WCSP (in review),796689,31311-2,"Revista Fac. Agron. Univ. Nac. La Plata","3: 555","","1897"
kew-2673228,A,Solanaceae,,Benthamiella,,"nordenskioldii",,"","Dusén ex N.E.Br.",Accepted,,M,WCSP (in review),796691,31313-2,"Hooker's Icon. Pl.","27: t. 2636A","","1900"
tro-29608461,A,Solanaceae,,Benthamiella,,"nordenskjoldii",,"","Dusén",Accepted,,M,TRO,29608461,,"Icon. Pl.","7(2): pl. 2636A","pl. 2636A","1900"
kew-2673229,A,Solanaceae,,Benthamiella,,"patagonica",,"","Speg.",Accepted,,M,WCSP (in review),796692,814501-1,"Anales Soc. Ci. Argent.","15: 110","","1883"
kew-2673230,A,Solanaceae,,Benthamiella,,"pycnophylloides",,"","Speg.",Accepted,,M,WCSP (in review),796693,31314-2,"Revista Fac. Agron. Univ. Nac. La Plata","3: 556","","1897"
kew-2673231,A,Solanaceae,,Benthamiella,,"skottsbergii",,"","C.Soriano",Accepted,,M,WCSP (in review),796694,31315-2,"Darwiniana","8: 256","","1948"
kew-2673232,A,Solanaceae,,Benthamiella,,"sorianoi",,"","S.Arroyo",Accepted,,M,WCSP (in review),796695,31316-2,"Bot. Not.","133: 69","","1980"
kew-2673233,A,Solanaceae,,Benthamiella,,"spegazziniana",,"","C.Soriano",Accepted,,L,WCSP (in review),796696,814506-1,"Darwiniana","8: 257","","1948"
kew-2680727,A,Solanaceae,,Bouchetia,,"anomala",,"","(Miers) Britton & Rusby",Accepted,,M,WCSP (in review),804092,35436-2,"Trans. New York Acad. Sci.","7: 12","","1887"
kew-2680728,A,Solanaceae,,Bouchetia,,"arniatera",,"","Rob.",Accepted,,M,WCSP (in review),804093,35437-2,"Bot. Gaz.","38: 377","","1904"
kew-2680729,A,Solanaceae,,Bouchetia,,"erecta",,"","DC. ex Dunal",Accepted,,M,WCSP (in review),804094,35438-2,"Prodr.","13(1): 589","","1852"
kew-2680730,A,Solanaceae,,Bouchetia,,"procumbens",,"","DC. ex Dunal",Accepted,,M,WCSP (in review),804095,814522-1,"Prodr.","13(1): 589","","1852"
kew-2681109,A,Solanaceae,,Brachistus,,"affinis",,"","(Morton) D'Arcy, J.L.Gentry & Averett",Accepted,,M,WCSP (in review),804469,35849-2,"Ann. Missouri Bot. Gard.","68: 227","","1981"
tro-50148020,A,Solanaceae,,Brachistus,,"hunzikeri",,"","(D'Arcy) Sousa-Peña",Accepted,,M,TRO,50148020,,"","","",""
kew-2606460,A,Solanaceae,,Brachistus,,"knappiae",,"","Mont.-Castro & Sousa-Peña",Accepted,,M,WCSP (in review),730971,77094267-1,"Brittonia","60: 167","","2008"
