ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-274659,A,Sphaerosepalaceae,,Dialyceras,,"coriaceum",,"","(Capuron) J.-F.Leroy",Accepted,,H,iPlants,274659,821846-1,"Adansonia","n.s., 13: 39","","1973"
kew-274660,A,Sphaerosepalaceae,,Dialyceras,,"discolor",,"","(Capuron) J.-F.Leroy",Accepted,,H,iPlants,274660,821847-1,"Adansonia","n.s., 13: 39","","1973"
kew-274661,A,Sphaerosepalaceae,,Dialyceras,,"parvifolium",,"","Capuron",Accepted,,H,iPlants,274661,821848-1,"Adansonia","n.s., 2: 265","","1962"
kew-274574,A,Sphaerosepalaceae,,Rhopalocarpus,,"alternifolius",,"","(Baker) Capuron",Accepted,,H,iPlants,274574,821849-1,"Adansonia","n.s., 2: 250","","1962"
kew-274569,A,Sphaerosepalaceae,,Rhopalocarpus,,"binervius",,"","Capuron",Accepted,,H,iPlants,274569,821850-1,"Adansonia","n.s., 2: 252","","1962"
kew-274567,A,Sphaerosepalaceae,,Rhopalocarpus,,"coriaceus",,"","(Scott-Elliot) Capuron",Accepted,,H,iPlants,274567,821851-1,"Adansonia","n.s., 2: 254","","1962"
kew-274558,A,Sphaerosepalaceae,,Rhopalocarpus,,"crassinervius",,"","(Capuron) G.E.Schatz & al.",Accepted,,H,iPlants,274558,,"Adansonia","III, 21: 117","","1999"
kew-274571,A,Sphaerosepalaceae,,Rhopalocarpus,,"excelsus",,"","Capuron",Accepted,,H,iPlants,274571,821852-1,"Adansonia","n.s., 2: 258","","1962"
kew-274643,A,Sphaerosepalaceae,,Rhopalocarpus,,"longipetiolatus",,"","Hemsl.",Accepted,,H,iPlants,274643,719918-1,"Hooker's Icon. Pl.","28: t. 2774, p. 3","","1903"
kew-274573,A,Sphaerosepalaceae,,Rhopalocarpus,,"louvelii",,"","(Danguy) Capuron",Accepted,,H,iPlants,274573,821853-1,"Adansonia","n.s., 2: 245","","1962"
kew-274672,A,Sphaerosepalaceae,,Rhopalocarpus,,"lucidus",,"","Bojer",Accepted,,H,iPlants,274672,821854-1,"Procès-Verbaux Soc. Hist. Nat. l'Ile Maurice","150","","1846"
kew-274566,A,Sphaerosepalaceae,,Rhopalocarpus,,"macrorhamnifolius",,"","Capuron",Accepted,,H,iPlants,274566,821855-1,"Adansonia","n.s., 2: 247","","1962"
kew-348231,A,Sphaerosepalaceae,,Rhopalocarpus,,"mollis",,"","G.E.Schatz & Lowry",Accepted,,H,iPlants,348231,77075435-1,"Adansonia","III, 28: 330","","2006"
kew-274568,A,Sphaerosepalaceae,,Rhopalocarpus,,"parvifolius",,"","(Capuron) G.E.Schatz, Lowry & A.-E.Wolf",Accepted,,H,iPlants,274568,1008487-1,"Adansonia","III, 21: 120","","1999"
kew-348232,A,Sphaerosepalaceae,,Rhopalocarpus,,"randrianaivoi",,"","G.E.Schatz & Lowry",Accepted,,H,iPlants,348232,77075436-1,"Adansonia","III, 28: 332","","2006"
kew-274637,A,Sphaerosepalaceae,,Rhopalocarpus,,"similis",,"","Hemsl.",Accepted,,H,iPlants,274637,719919-1,"Hooker's Icon. Pl.","28: t. 2774, p. 3","","1903"
kew-274645,A,Sphaerosepalaceae,,Rhopalocarpus,,"suarezensis",,"","Capuron ex Bosser",Accepted,,H,iPlants,274645,821857-1,"Adansonia","n.s., 13: 55","","1973"
kew-274644,A,Sphaerosepalaceae,,Rhopalocarpus,,"thouarsianus",,"","Baill.",Accepted,,H,iPlants,274644,835069-1,"Bull. Mens. Soc. Linn. Paris","1: 393","","1883"
kew-274638,A,Sphaerosepalaceae,,Rhopalocarpus,,"triplinervius",,"","Baill.",Accepted,,H,iPlants,274638,835070-1,"Adansonia","10: 106","","1871"
kew-274562,A,Sphaerosepalaceae,,Rhopalocarpus,,"undulatus",,"","Capuron",Accepted,,H,iPlants,274562,821858-1,"Adansonia","n.s., 2: 251","","1962"
