ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2805269,A,Staphyleaceae,,Euscaphis,,"japonica",,"","(Thunb.) Kanitz",Accepted,,M,WCSP (in review),924707,,"Exp. Asiae Orient.","24","","1878"
kew-2805278,A,Staphyleaceae,,Euscaphis,,"tonkinensis",,"","Gagnep.",Accepted,,M,WCSP (in review),924716,821928-1,"Notul. Syst. (Paris)","13: 192","","1948"
kew-2854721,A,Staphyleaceae,,Huertea,,"glandulosa",,"","Ruiz & Pav.",Accepted,,M,WCSP (in review),973458,69729-1,"Fl. Peruv.","3: 4","","1802"
kew-2854722,A,Staphyleaceae,,Huertea,,"granadina",,"","Cuatrec.",Accepted,,M,WCSP (in review),973459,124385-2,"Bull. Soc. Bot. France","100: 160","","1953"
tro-30200039,A,Staphyleaceae,,Staphylea,,"bumalda",,"","DC.",Accepted,,M,TRO,30200039,785249-1,"Prodr.","2: 2","2","1825"
tro-30200041,A,Staphyleaceae,,Staphylea,,"campanulata",,"","J. Wen",Accepted,,M,TRO,30200041,973348-1,"Brittonia","45(3): 247-248","247","1993"
tro-30200044,A,Staphyleaceae,,Staphylea,,"forrestii",,"","Balf. f.",Accepted,,M,TRO,30200044,821933-1,"Notes Roy. Bot. Gard. Edinburgh","13(63-64): 183-184","183","1921"
tro-50140555,A,Staphyleaceae,,Staphylea,,"holocarpa",,"","Hemsl.",Accepted,,M,TRO,50140555,785259-1,"Bull. Misc. Inform. Kew","1895(97): 15","15","1895"
tro-50290985,A,Staphyleaceae,,Staphylea,,"holocarpa",var.,"holocarpa","",Accepted,,L,TRO,50290985,,"","","",""
kew-2582179,A,Staphyleaceae,,Staphylea,,"pinnata",,"","L.",Accepted,,M,WCSP (in review),707156,785263-1,"Sp. Pl.","270","","1753"
tro-50149636,A,Staphyleaceae,,Staphylea,,"pringlei",,"","S. Watson",Accepted,,M,TRO,50149636,243550-2,"Proc. Amer. Acad. Arts","25: 146","146","1890"
tro-30200045,A,Staphyleaceae,,Staphylea,,"shweliensis",,"","W.W. Sm.",Accepted,,M,TRO,30200045,821935-1,"Notes Roy. Bot. Gard. Edinburgh","13(63-64): 184-185","184","1921"
tro-50282413,A,Staphyleaceae,,Staphylea,,"tricornuta",,"","(Lundell) S.L. Simmons",Accepted,,M,TRO,50282413,,"","","",""
tro-50246008,A,Staphyleaceae,,Staphylea,,"yuanjiangensis",,"","K.M. Feng & T.Z. Hsu",Accepted,,M,TRO,50246008,905330-1,"Acta Bot. Yunnan.","6(4): 395-396, pl. 1","395","1984"
tro-50049441,A,Staphyleaceae,,Turpinia,,"affinis",,"","Merr. & L.M. Perry",Accepted,,M,TRO,50049441,821938-1,"J. Arnold Arbor.","22(4): 550-551","550","1941"
tro-50092257,A,Staphyleaceae,,Turpinia,,"arguta",,"","(Lindl.) Seem.",Accepted,,M,TRO,50092257,785544-1,"Bot. Voy. Herald","371","371","1857"
