ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-303655,A,Stemonaceae,,Croomia,,"heterosepala",,"","(Baker) Okuyama",Accepted,,H,WCSP,303655,821979-1,"J. Jap. Bot.","20: 32","","1944"
kew-303656,A,Stemonaceae,,Croomia,,"japonica",,"","Miq.",Accepted,,H,WCSP,303656,742784-1,"Ann. Mus. Bot. Lugduno-Batavi","2: 138","","1865"
kew-303659,A,Stemonaceae,,Croomia,,"pauciflora",,"","(Nutt.) Torr.",Accepted,,H,WCSP,303659,742786-1,"Fl. N. Amer.","1: 663","","1840"
kew-285328,A,Stemonaceae,,Pentastemona,,"egregia",,"","(Schott) Steenis",Accepted,,H,WCSP,285328,911060-1,"Blumea","28: 162","","1982"
kew-285407,A,Stemonaceae,,Pentastemona,,"sumatrana",,"","Steenis",Accepted,,H,WCSP,285407,900534-1,"Blumea","28: 161","","1982"
kew-287949,A,Stemonaceae,,Stemona,,"angusta",,"","I.R.H.Telford",Accepted,,H,WCSP,287949,929690-1,"in Fl. Australia","46: 230","","1986"
kew-288226,A,Stemonaceae,,Stemona,,"aphylla",,"","Craib",Accepted,,H,WCSP,288226,821981-1,"Bull. Misc. Inform. Kew","1912: 408","","1912"
kew-293250,A,Stemonaceae,,Stemona,,"australiana",,"","(Benth.) C.H.Wright",Accepted,,H,WCSP,293250,742800-1,"J. Linn. Soc., Bot.","32: 496","","1896"
kew-308840,A,Stemonaceae,,Stemona,,"burkillii",,"","Prain",Accepted,,H,WCSP,308840,742801-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","73: 43","","1902"
kew-288256,A,Stemonaceae,,Stemona,,"cochinchinensis",,"","Gagnep.",Accepted,,H,WCSP,288256,821984-1,"Bull. Soc. Bot. France","81: 146","","1934"
kew-288284,A,Stemonaceae,,Stemona,,"collinsiae",,"","Craib",Accepted,,H,WCSP,288284,821985-1,"Bull. Misc. Inform. Kew","1920: 305","","1920"
kew-308841,A,Stemonaceae,,Stemona,,"curtisii",,"","Hook.f.",Accepted,,H,WCSP,308841,742802-1,"Fl. Brit. India","6: 298","","1892"
kew-308844,A,Stemonaceae,,Stemona,,"griffithiana",,"","Kurz",Accepted,,H,WCSP,308844,742805-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","42(2): 109","","1873"
kew-287780,A,Stemonaceae,,Stemona,,"hutanguriana",,"","Chuakul",Accepted,,H,WCSP,287780,1017523-1,"Kew Bull.","55: 977","","2000"
kew-308845,A,Stemonaceae,,Stemona,,"japonica",,"","(Blume) Miq.",Accepted,,L,WCSP,308845,,"Prol. Fl. Jap.","386","","1867"
kew-308846,A,Stemonaceae,,Stemona,,"javanica",,"","(Kunth) Engl.",Accepted,,H,WCSP,308846,71298-3,"Nat. Pflanzenfam.","2(5): 8","","1887"
kew-288269,A,Stemonaceae,,Stemona,,"kerrii",,"","Craib",Accepted,,H,WCSP,288269,821988-1,"Bull. Misc. Inform. Kew","1912: 408","","1912"
kew-308847,A,Stemonaceae,,Stemona,,"kurzii",,"","Prain",Accepted,,H,WCSP,308847,742809-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","73: 42","","1902"
kew-287968,A,Stemonaceae,,Stemona,,"lucida",,"","(R.Br.) Duyfjes",Accepted,,H,WCSP,287968,963156-1,"Blumea","36: 243","","1991"
kew-288270,A,Stemonaceae,,Stemona,,"mairei",,"","(H.Lév.) K.Krause",Accepted,,H,WCSP,288270,821989-1,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 289","","1928"
kew-308849,A,Stemonaceae,,Stemona,,"parviflora",,"","C.H.Wright",Accepted,,H,WCSP,308849,742812-1,"J. Linn. Soc., Bot.","32: 496","","1896"
kew-309832,A,Stemonaceae,,Stemona,,"phyllantha",,"","Gagnep.",Accepted,,H,WCSP,309832,821993-1,"Bull. Soc. Bot. France","81: 147","","1934"
kew-288275,A,Stemonaceae,,Stemona,,"pierrei",,"","Gagnep.",Accepted,,H,WCSP,288275,821994-1,"Bull. Soc. Bot. France","81: 147","","1934"
kew-287948,A,Stemonaceae,,Stemona,,"prostrata",,"","I.R.H.Telford",Accepted,,H,WCSP,287948,929689-1,"in Fl. Australia","46: 230","","1986"
kew-308851,A,Stemonaceae,,Stemona,,"sessilifolia",,"","(Miq.) Miq.",Accepted,,H,WCSP,308851,,"Prol. Fl. Jap.","386","","1867"
kew-288277,A,Stemonaceae,,Stemona,,"squamigera",,"","Gagnep.",Accepted,,H,WCSP,288277,821996-1,"Bull. Soc. Bot. France","81: 148","","1934"
kew-308852,A,Stemonaceae,,Stemona,,"tuberosa",,"","Lour.",Accepted,,H,WCSP,308852,742815-1,"Fl. Cochinch.","404","","1790"
kew-309833,A,Stemonaceae,,Stemona,,"tuberosa",var.,"moluccana","(Blume) ined.",Accepted,,L,WCSP,309833,,"Unknown","","",""
kew-312164,A,Stemonaceae,,Stemona,,"tuberosa",var.,"tuberosa","",Accepted,,L,WCSP,312164,,"Unknown","","",""
kew-288283,A,Stemonaceae,,Stichoneuron,,"caudatum",,"","Ridl.",Accepted,,H,WCSP,288283,742816-1,"J. Straits Branch Roy. Asiat. Soc.","57: 107","","1911"
kew-308854,A,Stemonaceae,,Stichoneuron,,"membranaceum",,"","Hook.f.",Accepted,,H,WCSP,308854,60447146-2,"Fl. Brit. India","6: 299","","1892"
