ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2696593,A,Stemonuraceae,,Cantleya,,"corniculata",,"","(Becc.) R.A.Howard",Accepted,,M,WCSP (in review),819727,434231-1,"J. Arnold Arbor.","21: 479","","1940"
kew-2730094,A,Stemonuraceae,,Codiocarpus,,"andamanicus",,"","(Kurz) R.A.Howard",Accepted,,M,WCSP (in review),852125,,"Brittonia","5: 57","","1943"
kew-2730095,A,Stemonuraceae,,Codiocarpus,,"merrittii",,"","(Merr.) R.A.Howard",Accepted,,M,WCSP (in review),852126,,"Brittonia","5: 56","","1943"
kew-2772960,A,Stemonuraceae,,Discophora,,"guianensis",,"","Miers",Accepted,,M,WCSP (in review),892840,607764-1,"Ann. Mag. Nat. Hist.","II, 10: 119","","1852"
kew-2772961,A,Stemonuraceae,,Discophora,,"montana",,"","R.A.Howard",Accepted,,M,WCSP (in review),892841,82223-2,"Contr. Gray Herb.","142: 29","","1942"
kew-2607178,A,Stemonuraceae,,Gastrolepis,,"alticola",,"","Munzinger, McPherson & Lowry",Accepted,,M,WCSP (in review),731664,77092248-1,"Bot. J. Linn. Soc.","157: 776","","2008"
kew-2817414,A,Stemonuraceae,,Gastrolepis,,"austrocaledonica",,"","(Baill.) R.A.Howard",Accepted,,M,WCSP (in review),936692,434276-1,"J. Arnold Arbor.","21: 481","","1940"
kew-2828467,A,Stemonuraceae,,Gomphandra,,"andamanica",,"","King",Accepted,,M,WCSP (in review),947718,607803-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","64(2): 115","","1895"
kew-2828469,A,Stemonuraceae,,Gomphandra,,"apoensis",,"","(Elmer) Merr.",Accepted,,M,WCSP (in review),947720,434279-1,"Enum. Philipp. Fl. Pl.","2: 490","","1923"
kew-2828470,A,Stemonuraceae,,Gomphandra,,"australiana",,"","F.Muell.",Accepted,,L,WCSP (in review),947721,68257-3,"Austral. Veg.","38","","1867"
kew-2828474,A,Stemonuraceae,,Gomphandra,,"camchayensis",,"","Gagnep.",Accepted,,M,WCSP (in review),947725,434281-1,"Notul. Syst. (Paris)","13: 133","","1947"
kew-2828475,A,Stemonuraceae,,Gomphandra,,"capitulata",,"","(Jungh. & de Vriese) Becc.",Accepted,,M,WCSP (in review),947726,607806-1,"Malesia","1: 111","","1877"
kew-2828479,A,Stemonuraceae,,Gomphandra,,"comosa",,"","King",Accepted,,M,WCSP (in review),947730,607807-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","64(2): 112","","1895"
kew-2828480,A,Stemonuraceae,,Gomphandra,,"coriacea",,"","Wight",Accepted,,M,WCSP (in review),947731,607808-1,"Ill. Ind. Bot.","1: 103","","1840"
kew-2828481,A,Stemonuraceae,,Gomphandra,,"crassipes",,"","Mast.",Accepted,,M,WCSP (in review),947732,607809-1,"Fl. Brit. India","1: 587","","1875"
kew-2828482,A,Stemonuraceae,,Gomphandra,,"cumingiana",,"","(Miers) Fern.-Vill.",Accepted,,L,WCSP (in review),947733,607810-1,"Fl. Filip., ed. 3","4(13A): 46","","1880"
kew-2828483,A,Stemonuraceae,,Gomphandra,,"dolichocarpa",,"","Merr.",Accepted,,M,WCSP (in review),947734,434285-1,"Pap. Michigan Acad. Sci.","23: 183","","1937 publ. 1938"
kew-2828484,A,Stemonuraceae,,Gomphandra,,"donnaiensis",,"","(Gagnep.) Sleumer",Accepted,,L,WCSP (in review),947735,434286-1,"Blumea","17: 192","","1969"
kew-2828485,A,Stemonuraceae,,Gomphandra,,"flavicarpa",,"","(Elmer) Merr.",Accepted,,L,WCSP (in review),947736,434287-1,"Enum. Philipp. Fl. Pl.","2: 490","","1923"
kew-2828486,A,Stemonuraceae,,Gomphandra,,"fuliginea",,"","(Elmer) Merr.",Accepted,,M,WCSP (in review),947737,434288-1,"Enum. Philipp. Fl. Pl.","2: 490","","1923"
kew-2828487,A,Stemonuraceae,,Gomphandra,,"fusiformis",,"","Sleumer",Accepted,,M,WCSP (in review),947738,434289-1,"Blumea","17: 196","","1969"
kew-2828488,A,Stemonuraceae,,Gomphandra,,"gamblei",,"","(C.B.Clarke) P.Royen",Accepted,,M,WCSP (in review),947739,434290-1,"Blumea","8: 425","","1957"
kew-2828495,A,Stemonuraceae,,Gomphandra,,"javanica",,"","(Blume) Valeton",Accepted,,M,WCSP (in review),947746,607813-1,"Crit. Overz. Olacin.","217","","1886"
kew-2828504,A,Stemonuraceae,,Gomphandra,,"lancifolia",,"","Merr.",Accepted,,M,WCSP (in review),947755,434296-1,"Philipp. J. Sci.","17: 277","","1920 publ. 1921"
kew-2828506,A,Stemonuraceae,,Gomphandra,,"luzoniensis",,"","(Merr.) Merr.",Accepted,,M,WCSP (in review),947757,434297-1,"Enum. Philipp. Fl. Pl.","2: 490","","1923"
kew-2828507,A,Stemonuraceae,,Gomphandra,,"lysipetala",,"","Stapf",Accepted,,M,WCSP (in review),947758,607816-1,"Trans. Linn. Soc. London, Bot.","4: 139","","1894"
