ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2636327,A,Stilbaceae,,Anastrabe,,"integerrima",,"","E.Mey. ex Benth.",Accepted,,M,WCSP (in review),760123,798915-1,"Compan. Bot. Mag.","2: 54","","1836"
kew-2680963,A,Stilbaceae,,Bowkeria,,"citrina",,"","Thode",Accepted,,M,WCSP (in review),804323,799842-1,"Bull. Misc. Inform. Kew","1922: 30","","1922"
kew-2680964,A,Stilbaceae,,Bowkeria,,"cymosa",,"","MacOwan",Accepted,,M,WCSP (in review),804324,799843-1,"J. Linn. Soc., Bot.","25: 390","","1890"
kew-2680970,A,Stilbaceae,,Bowkeria,,"verticillata",,"","(Eckl. & Zeyh.) Druce",Accepted,,L,WCSP (in review),804330,799849-1,"Rep. Bot. Soc. Exch. Club Brit. Isles","4: 610","","1916 publ. 1917"
kew-33402,A,Stilbaceae,,Campylostachys,,"cernua",,"","(L.f.) Kunth",Accepted,,H,WCSP,33402,861578-1,"Abh. Königl. Akad. Wiss. Berlin","1831: 201","","1831"
kew-2715918,A,Stilbaceae,,Charadrophila,,"capensis",,"","Marloth",Accepted,,M,WCSP (in review),838069,378523-1,"Bot. Jahrb. Syst.","26: 358","","1899"
kew-83129,A,Stilbaceae,,Euthystachys,,"abbreviata",,"","(E.Mey.) A.DC.",Accepted,,H,WCSP,83129,862789-1,"Prodr.","12: 606","","1848"
kew-2838422,A,Stilbaceae,,Halleria,,"elliptica",,"","L.",Accepted,,M,WCSP (in review),957563,803577-1,"Sp. Pl.","625","","1753"
tro-29204380,A,Stilbaceae,,Halleria,,"ligustrifolia",,"","Baker",Accepted,,M,TRO,29204380,803580-1,"J. Linn. Soc., Bot.","18: 273-274","273","1881"
kew-2838426,A,Stilbaceae,,Halleria,,"lucida",,"","L.",Accepted,,M,WCSP (in review),957567,803581-1,"Sp. Pl.","625","","1753"
kew-106199,A,Stilbaceae,,Kogelbergia,,"phylicoides",,"","(A.DC.) Rourke",Accepted,,H,WCSP,106199,1015363-1,"Bothalia","30: 13","","2000"
kew-106200,A,Stilbaceae,,Kogelbergia,,"verticillata",,"","(Eckl. & Zeyh.) Rourke",Accepted,,H,WCSP,106200,1015362-1,"Bothalia","30: 12","","2000"
kew-335918,A,Stilbaceae,,Nuxia,,"allorgeorum",,"","Jovet",Accepted,,H,WCSP,335918,546806-1,"Notul. Syst. (Paris)","13: 97","","1947"
kew-335919,A,Stilbaceae,,Nuxia,,"ambrensis",,"","Jovet",Accepted,,H,WCSP,335919,546807-1,"Notul. Syst. (Paris)","13: 100","","1947"
kew-335925,A,Stilbaceae,,Nuxia,,"capitata",,"","Baker",Accepted,,H,WCSP,335925,546814-1,"J. Bot.","20: 172","","1882"
kew-335927,A,Stilbaceae,,Nuxia,,"congesta",,"","R.Br. ex Fresen.",Accepted,,H,WCSP,335927,,"Flora","21: 606","","1838"
kew-335928,A,Stilbaceae,,Nuxia,,"coriacea",,"","Soler.",Accepted,,H,WCSP,335928,546817-1,"Bot. Jahrb. Syst.","17: 557","","1893"
kew-335936,A,Stilbaceae,,Nuxia,,"floribunda",,"","Benth.",Accepted,,H,WCSP,335936,546825-1,"Compan. Bot. Mag.","2: 59","","1836"
kew-335938,A,Stilbaceae,,Nuxia,,"glomerulata",,"","(C.A.Sm.) Verd.",Accepted,,H,WCSP,335938,546827-1,"Bothalia","7: 14","","1958"
kew-335940,A,Stilbaceae,,Nuxia,,"gracilis",,"","Engl.",Accepted,,H,WCSP,335940,546829-1,"Bot. Jahrb. Syst.","10: 243","","1889"
kew-335943,A,Stilbaceae,,Nuxia,,"involucrata",,"","Aug.DC.",Accepted,,H,WCSP,335943,546832-1,"Bull. Herb. Boissier","II, 1: 577","","1901"
kew-335944,A,Stilbaceae,,Nuxia,,"isaloensis",,"","Jovet",Accepted,,H,WCSP,335944,546833-1,"Notul. Syst. (Paris)","13: 101","","1947"
kew-335951,A,Stilbaceae,,Nuxia,,"oppositifolia",,"","(Hochst.) Benth.",Accepted,,H,WCSP,335951,546840-1,"Prodr.","10: 435","","1846"
kew-335922,A,Stilbaceae,,Nuxia,,"pachyphylla",,"","Baker",Accepted,,H,WCSP,335922,,"J. Linn. Soc., Bot.","22: 506","","1887"
kew-335955,A,Stilbaceae,,Nuxia,,"pseudodentata",,"","Gilg",Accepted,,H,WCSP,335955,546844-1,"Notizbl. Königl. Bot. Gart. Berlin","1: 74","","1895"
kew-335963,A,Stilbaceae,,Nuxia,,"sphaerocephala",,"","(Baker) Baker",Accepted,,H,WCSP,335963,546852-1,"J. Linn. Soc., Bot.","22: 505","","1887"
kew-335969,A,Stilbaceae,,Nuxia,,"verticillata",,"","Lam.",Accepted,,H,WCSP,335969,546858-1,"Tabl. Encycl.","1: 296","","1792"
kew-337843,A,Stilbaceae,,Retzia,,"capensis",,"","Thunb.",Accepted,,H,WCSP,337843,817716-1,"Physiogr. Sälsk. Handl.","1(1): 55","","1776"
kew-197798,A,Stilbaceae,,Stilbe,,"albiflora",,"","E.Mey.",Accepted,,H,WCSP,197798,864847-1,"Comm. Pl. Afr. Austr.","279","","1838"
kew-197802,A,Stilbaceae,,Stilbe,,"ericoides",,"","(L.) L.",Accepted,,H,WCSP,197802,864851-1,"Mant. Pl.","2: 305","","1771"
kew-197803,A,Stilbaceae,,Stilbe,,"gymnopharyngia",,"","(Rourke) Rourke",Accepted,,H,WCSP,197803,1015360-1,"Bothalia","30: 11","","2000"
kew-197807,A,Stilbaceae,,Stilbe,,"overbergensis",,"","Rourke",Accepted,,H,WCSP,197807,1015359-1,"Bothalia","30: 11","","2000"
kew-197811,A,Stilbaceae,,Stilbe,,"rupestris",,"","Compton",Accepted,,H,WCSP,197811,864858-1,"J. S. African Bot.","10: 127","","1944"
kew-197812,A,Stilbaceae,,Stilbe,,"serrulata",,"","Hochst.",Accepted,,H,WCSP,197812,864859-1,"Flora","25: 229","","1842"
kew-197815,A,Stilbaceae,,Stilbe,,"vestita",,"","Berg.",Accepted,,H,WCSP,197815,864861-1,"Descr. Pl. Cap.","30","","1767"
kew-203875,A,Stilbaceae,,Thesmophora,,"scopulosa",,"","Rourke",Accepted,,H,WCSP,203875,972467-1,"Edinburgh J. Bot.","50: 90","","1993"
