ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2775285,A,Stylidiaceae,,Donatia,,"fascicularis",,"","J.R.Forst. & G.Forst.",Accepted,,M,WCSP (in review),895161,321752-1,"Char. Gen. Pl.","5","","1775"
kew-2775287,A,Stylidiaceae,,Donatia,,"novae-zelandiae",,"","Hook.f.",Accepted,,M,WCSP (in review),895163,790962-1,"Fl. Nov.-Zel.","1: 81","","1852"
kew-2813756,A,Stylidiaceae,,Forstera,,"bellidifolia",,"","Hook.",Accepted,,M,WCSP (in review),933066,139526-3,"Hooker's Icon. Pl.","9: t. 851","","1852"
kew-2813757,A,Stylidiaceae,,Forstera,,"bidwillii",,"","Hook.f.",Accepted,,M,WCSP (in review),933067,825959-1,"Fl. Nov.-Zel.","1: 155","","1852"
kew-2813758,A,Stylidiaceae,,Forstera,,"bidwillii",var.,"densifolia","Mildbr.",Accepted,,L,WCSP (in review),933068,,"Pflanzen","35: 25","","1908"
kew-2813761,A,Stylidiaceae,,Forstera,,"mackayi",,"","Allan",Accepted,,M,WCSP (in review),933071,825962-1,"Trans. & Proc. Roy. Soc. New Zealand","65: 221","","1935"
kew-2813764,A,Stylidiaceae,,Forstera,,"sedifolia",,"","G.Forst.",Accepted,,M,WCSP (in review),933074,825966-1,"Nova Acta Regiae Soc. Sci. Upsal.","3: 184","","1780"
kew-2813766,A,Stylidiaceae,,Forstera,,"tenella",,"","Hook.f.",Accepted,,M,WCSP (in review),933076,825967-1,"Fl. Nov.-Zel.","1: 154","","1852"
tro-30700142,A,Stylidiaceae,,Levenhookia,,"preissii",,"","(Sond.) F. Muell.",Accepted,,L,TRO,30700142,825981-1,"Fragm.","4(27): 94","94","1864"
tro-50238155,A,Stylidiaceae,,Oreostylidium,,"subulatum",,"","(Hook.) Berggr.",Accepted,,M,TRO,50238155,825988-1,"Minneskr. Fysiogr. Sällsk. Lund","8: 2-5, t. 1, f. 1-38","2","1877"
tro-30700113,A,Stylidiaceae,,Phyllachne,,"uliginosa",,"","J.R. Forst. & G. Forst.",Accepted,,M,TRO,30700113,825996-1,"Char. Gen. Pl.","58","58","1775"
tro-30700116,A,Stylidiaceae,,Stylidium,,"albolilacinum",,"","(Erickson & Willis) Lowrie & Carlquist",Accepted,,M,TRO,30700116,963102-1,"Phytologia","71: 5","5","1991"
tro-30700081,A,Stylidiaceae,,Stylidium,,"preissii",,"","(Sond.) F. Muell.",Accepted,,L,TRO,30700081,91600-3,"","","",""
tro-30700127,A,Stylidiaceae,,Stylidium,,"tenellum",,"","Sw.",Accepted,,M,TRO,30700127,826235-1,"Ges. Naturf. Freunde Berlin Mag. Neuesten Entdeck. Gesammten Naturk.","1: 51, pl. 2, f. 3","51","1807"
tro-30700128,A,Stylidiaceae,,Stylidium,,"uliginosum",,"","Sw.",Accepted,,M,TRO,30700128,826247-1,"Ges. Naturf. Freunde Berlin Mag. Neuesten Entdeck. Gesammten Naturk.","1: 52, t. 2, f. 4","52","1807"
