ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2629805,A,Styracaceae,,Alniphyllum,,"eberhardtii",,"","Guillaumin",Accepted,,M,WCSP (in review),753529,826265-1,"Bull. Soc. Bot. France","70: 885","","1923 publ. 1924"
kew-2629807,A,Styracaceae,,Alniphyllum,,"fortunei",,"","(Hemsl.) Makino",Accepted,,M,WCSP (in review),753531,826267-1,"Bot. Mag. (Tokyo)","20: 93","","1906"
kew-2629812,A,Styracaceae,,Alniphyllum,,"pterospermum",,"","Matsum.",Accepted,,M,WCSP (in review),753536,826271-1,"Bot. Mag. (Tokyo)","15: 67","","1901"
kew-2684060,A,Styracaceae,,Bruinsmia,,"polysperma",,"","(C.B.Clarke) Steenis",Accepted,,M,WCSP (in review),807393,826315-1,"Bot. Jahrb. Syst.","86: 393","","1967"
kew-2684061,A,Styracaceae,,Bruinsmia,,"styracoides",,"","Boerl. & Koord.",Accepted,,M,WCSP (in review),807394,826316-1,"Natuurw. Tijdschr. Ned.-Indië","53: 69","","1893"
kew-2715905,A,Styracaceae,,Changiostyrax,,"dolichocarpus",,"","(C.J.Qi) Tao Chen",Accepted,,M,WCSP (in review),838056,987433-1,"Guihaia","15: 291","","1995"
kew-2838104,A,Styracaceae,,Halesia,,"carolina",,"","L.",Accepted,,M,WCSP (in review),957246,319532-2,"Syst. Nat. ed. 10","2: 1044","","1759"
tro-30800163,A,Styracaceae,,Halesia,,"macgregorii",,"","Chun",Accepted,,M,TRO,30800163,826532-1,"J. Arnold Arbor.","6(3): 144-145","144","1925"
tro-30800167,A,Styracaceae,,Huodendron,,"biaristatum",,"","(W.W. Sm.) Rehder",Accepted,,M,TRO,30800167,826548-1,"J. Arnold Arbor.","16(3): 344","344","1936"
tro-30800169,A,Styracaceae,,Huodendron,,"biaristatum",var.,"biaristatum","",Accepted,,L,TRO,30800169,,"","","",""
tro-30800170,A,Styracaceae,,Huodendron,,"biaristatum",var.,"parviflorum","(Merr.) Rehder",Accepted,,L,TRO,30800170,,"J. Arnold Arbor.","16(3): 346","346","1935"
tro-30800166,A,Styracaceae,,Huodendron,,"tibeticum",,"","(J. Anthony) Rehder",Accepted,,M,TRO,30800166,826552-1,"J. Arnold Arbor.","16(3): 342","342","1935"
tro-30800172,A,Styracaceae,,Huodendron,,"tomentosum",,"","Y.C. Tang & S.M. Hwang",Accepted,,M,TRO,30800172,826553-1,"Acta Phytotax. Sin.","18(2): 164-165, pl. 4","164","1980"
tro-30800175,A,Styracaceae,,Melliodendron,,"xylocarpum",,"","Hand.-Mazz.",Accepted,,M,TRO,30800175,826613-1,"Akad. Wiss. Wien, Math.-Naturwiss. Kl., Anz.","59: 109","109","1922"
tro-30800116,A,Styracaceae,,Pamphilia,,"vilcabambae",,"","D.R. Simpson",Accepted,,M,TRO,30800116,181345-2,"Phytologia","30: 315","315","1975"
tro-30800178,A,Styracaceae,,Parastyrax,,"lacei",,"","(W.W. Sm.) W.W. Sm.",Accepted,,M,TRO,30800178,,"Notes Roy. Bot. Gard. Edinburgh","12(59): 232","232","1920"
tro-30800179,A,Styracaceae,,Parastyrax,,"macrophyllus",,"","C.Y. Wu & K.M. Feng",Accepted,,M,TRO,30800179,,"Rep. Stud. Pl. Trop. Subtrop. Yunnan","1: 28","28","1965"
tro-30800180,A,Styracaceae,,Pterostyrax,,"corymbosus",,"","Siebold & Zucc.",Accepted,,M,TRO,30800180,826654-1,"Fl. Jap.","1: 96, pl. 47","96","1835"
