ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50256661,A,Symplocaceae,,Cordyloblaste,,"confusa",,"","(Brand) Hatus.",Accepted,,M,TRO,50256661,827420-1,"J. Jap. Bot.","12(4): 282","282","1936"
tro-30900114,A,Symplocaceae,,Symplocos,,"abietorum",,"","Standl. & Steyerm.",Accepted,,M,TRO,30900114,247130-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","23(5): 221","221","1947"
kew-2580522,A,Symplocaceae,,Symplocos,,"acananensis",,"","Steyerm.",Accepted,,M,WCSP (in review),705558,285759-2,"Ann. Missouri Bot. Gard.","74: 656","","1987"
tro-30900477,A,Symplocaceae,,Symplocos,,"adenophylla",,"","Wall. ex G. Don",Accepted,,M,TRO,30900477,827450-1,"Gen. Hist.","4: 3","3","1837"
tro-30900265,A,Symplocaceae,,Symplocos,,"adenopus",,"","Hance",Accepted,,M,TRO,30900265,826984-1,"J. Bot.","21(11): 322-323","322","1883"
kew-2578966,A,Symplocaceae,,Symplocos,,"altissima",,"","Brand",Accepted,,M,WCSP (in review),704005,247134-2,"Pflanzenr.","IV, 242: 71","","1901"
kew-2578971,A,Symplocaceae,,Symplocos,,"amplifolia",,"","Brand",Accepted,,M,WCSP (in review),704010,247135-2,"Pflanzenr.","IV, 242: 75","","1901"
kew-2578964,A,Symplocaceae,,Symplocos,,"angulata",,"","Brand",Accepted,,M,WCSP (in review),704003,247136-2,"Pflanzenr.","IV, 242: 73","","1901"
tro-30900329,A,Symplocaceae,,Symplocos,,"anomala",,"","Brand",Accepted,,M,TRO,30900329,826998-1,"Bot. Jahrb. Syst.","29(3-4): 529","529","1900"
tro-30900175,A,Symplocaceae,,Symplocos,,"apiciflora",,"","B. Ståhl",Accepted,,M,TRO,30900175,301533-2,"Fl. Ecuador","43: 39","39","1991"
tro-30900009,A,Symplocaceae,,Symplocos,,"arechea",,"","L'Hér.",Accepted,,M,TRO,30900009,827005-1,"Trans. Linn. Soc. London","1: 176","176","1791"
tro-30900401,A,Symplocaceae,,Symplocos,,"atriolivacea",,"","Merr. & Chun ex H.L. Li",Accepted,,M,TRO,30900401,827475-1,"J. Arnold Arbor.","25(2): 212","212","1944"
tro-30900077,A,Symplocaceae,,Symplocos,,"austin-smithii",,"","Standl.",Accepted,,M,TRO,30900077,247143-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","18(3): 915-916","915","1938"
tro-50056298,A,Symplocaceae,,Symplocos,,"austromexicana",,"","Almeda",Accepted,,M,TRO,50056298,247144-2,"Madroño","23(7): 365, f. 1","365","1976"
tro-30900287,A,Symplocaceae,,Symplocos,,"austrosinensis",,"","Hand.-Mazz.",Accepted,,M,TRO,30900287,827479-1,"Beih. Bot. Centralbl.","62(B): 29","29","1943"
