ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-26200608,A,Talinaceae,,Talinella,,"grevei",,"","Danguy",Accepted,,M,TRO,26200608,699465-1,"Notul. Syst. (Paris)","3: 159","159","1915"
tro-50287657,A,Talinaceae,,Talinella,,"grevei",subsp.,"calcicola","Appleq.",Accepted,,L,TRO,50287657,60439140-2,"Adansonia, sér. 3","27(1): 64-66, pl. 7","64","2005"
tro-50287659,A,Talinaceae,,Talinella,,"grevei",subsp.,"sarmentosa","(Leandri) Appleq.",Accepted,,L,TRO,50287659,,"Adansonia, sér. 3","27(1): 67-68","67","2005"
kew-2513281,A,Talinaceae,,Talinum,,"caffrum",,"","(Thunb.) Eckl. & Zeyh.",Accepted,,L,WCSP (in review),640654,699483-1,"Enum. Pl. Afric. Austral.","282","","1836"
kew-2513530,A,Talinaceae,,Talinum,,"calycinum",,"","Engelm.",Accepted,,M,WCSP (in review),640903,249153-2,"Mem. Tour N. Mexico","88","","1848"
tro-50008973,A,Talinaceae,,Talinum,,"crassicaule",,"","(Jacq.) Willd.",Accepted,,M,TRO,50008973,,"Sp. Pl.","2: 862","862",""
tro-50071164,A,Talinaceae,,Talinum,,"fruticosum",,"","(L.) Juss.",Accepted,,M,TRO,50071164,1182764-2,"Gen. Pl.","312","312","1789"
tro-50083903,A,Talinaceae,,Talinum,,"multiflorum",,"","Rose & Standl.",Accepted,,M,TRO,50083903,249182-2,"Contr. U.S. Natl. Herb.","13(8): 285","285","1911"
tro-26200098,A,Talinaceae,,Talinum,,"napiforme",,"","DC.",Accepted,,M,TRO,26200098,249183-2,"Prodr.","3: 357","357","1828"
tro-50250295,A,Talinaceae,,Talinum,,"nocturnum",,"","Bacigalupo",Accepted,,M,TRO,50250295,300815-2,"Candollea","48: 512","512","1993"
kew-2513509,A,Talinaceae,,Talinum,,"paniculatum",,"","(Jacq.) Gaertn.",Accepted,,M,WCSP (in review),640882,1007146-2,"Fruct. Sem. Pl.","2: 219","","1791"
tro-26200099,A,Talinaceae,,Talinum,,"polygaloides",,"","Gillies ex Arn.",Accepted,,M,TRO,26200099,699560-1,"Edinburgh J. Nat. Geogr. Sci.","3: 354-355","354","1831"
kew-2513494,A,Talinaceae,,Talinum,,"portulacifolium",,"","(Forssk.) Asch. ex Schweinf.",Accepted,,M,WCSP (in review),640867,699562-1,"Bull. Herb. Boissier","4(App. 2): 172","","1896"
tro-50327518,A,Talinaceae,,Talinum,,"punae",,"","(R.E. Fr.) Carolin",Accepted,,L,TRO,50327518,285846-2,"Parodiana","3(2): 331","331","1985"
kew-2513585,A,Talinaceae,,Talinum,,"sediforme",,"","Poelln.",Accepted,,M,WCSP (in review),640958,249202-2,"Ber. Deutsch. Bot. Ges.","51: 113","","1933"
tro-26200296,A,Talinaceae,,Talinum,,"tenuissimum",,"","Dinter",Accepted,,M,TRO,26200296,699584-1,"","","",""
kew-2513617,A,Talinaceae,,Talinum,,"triangulare",,"","(Jacq.) Willd.",Accepted,,M,WCSP (in review),640990,1022555-2,"Sp. Pl.","2: 862","","1799"
tro-26200598,A,Talinaceae,,Talinum,,"tuberosum",,"","(Benth.) P. Wilson",Accepted,,M,TRO,26200598,249207-2,"N. Amer. Fl.","21(4): 284","284","1932"
