ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-50100595,A,Tamaricaceae,,Myricaria,,"albiflora",,"","Grierson & D.G. Long",Accepted,,M,TRO,50100595,900329-1,"Notes Roy. Bot. Gard. Edinburgh","40(1): 116-117","116","1982"
tro-31100098,A,Tamaricaceae,,Myricaria,,"bracteata",,"","Royle",Accepted,,M,TRO,31100098,827964-1,"Ill. Bot. Himal. Mts.","214, pl. 44, f. 2","214","1835"
tro-31100028,A,Tamaricaceae,,Myricaria,,"elegans",,"","Royle",Accepted,,M,TRO,31100028,827968-1,"Ill. Bot. Himal. Mts.","1(6): 214","214","1839"
tro-31100092,A,Tamaricaceae,,Myricaria,,"elegans",var.,"elegans","",Accepted,,L,TRO,31100092,,"","","",""
tro-31100001,A,Tamaricaceae,,Myricaria,,"germanica",,"","(L.) Desv.",Accepted,,M,TRO,31100001,827969-1,"Ann. Sci. Nat.","4: 349","349","1825"
tro-31100104,A,Tamaricaceae,,Myricaria,,"laxa",,"","W.W. Sm.",Accepted,,M,TRO,31100104,,"Notes Roy. Bot. Gard. Edinburgh","14(69-70): 123","123","1923"
tro-31100102,A,Tamaricaceae,,Myricaria,,"laxiflora",,"","(Franch.) P.Y. Zhang & Y.J. Zhang",Accepted,,M,TRO,31100102,914249-1,"Bull. Bot. Res., Harbin","4(2): 76","76","1984"
tro-31100097,A,Tamaricaceae,,Myricaria,,"paniculata",,"","P.Y. Zhang & Y.J. Zhang",Accepted,,M,TRO,31100097,2904719-1,"Bull. Bot. Res., Harbin","4(2): 75","75","1984"
tro-31100094,A,Tamaricaceae,,Myricaria,,"platyphylla",,"","Maxim.",Accepted,,M,TRO,31100094,827976-1,"Bull. Acad. Imp. Sci. Saint-Petersbourg","27(4): 425-426","425","1881"
tro-31100088,A,Tamaricaceae,,Myricaria,,"prostrata",,"","Hook. f. & Thomson",Accepted,,M,TRO,31100088,,"Gen. Pl.","1: 161","161","1862"
tro-31100093,A,Tamaricaceae,,Myricaria,,"pulcherrima",,"","Batalin",Accepted,,M,TRO,31100093,827978-1,"Trudy Imp. S.-Peterburgsk. Bot. Sada","11(2): 483-484","483","1891"
tro-31100091,A,Tamaricaceae,,Myricaria,,"rosea",,"","W.W. Sm.",Accepted,,M,TRO,31100091,827979-1,"Notes Roy. Bot. Gard. Edinburgh","10(46): 52","52","1917"
tro-31100032,A,Tamaricaceae,,Myricaria,,"squamosa",,"","Desv.",Accepted,,M,TRO,31100032,827981-1,"Ann. Sci. Nat. (Paris)","4: 350","350","1825"
tro-31100095,A,Tamaricaceae,,Myricaria,,"wardii",,"","C. Marquand",Accepted,,M,TRO,31100095,827983-1,"J. Linn. Soc., Bot.","48(321): 166","166","1929"
tro-31100033,A,Tamaricaceae,,Reaumuria,,"alternifolia",,"","(Labill.) Britten",Accepted,,M,TRO,31100033,827986-1,"J. Bot.","54(4): 110-111","110","1916"
tro-31100039,A,Tamaricaceae,,Reaumuria,,"kaschgarica",,"","Rupr.",Accepted,,M,TRO,31100039,828001-1,"Mém. Acad. Imp. Sci. Saint Pétersbourg (Sér. 7)","14(4): 42","42","1869"
tro-50154288,A,Tamaricaceae,,Reaumuria,,"minfengensis",,"","D.F. Cui & M.J. Zhong",Accepted,,M,TRO,50154288,20005679-1,"Acta Bot. Boreal.-Occid. Sin.","19(3): 552-554, f. 1","552","1999"
tro-31100041,A,Tamaricaceae,,Reaumuria,,"oxiana",,"","Boiss.",Accepted,,M,TRO,31100041,828007-1,"","","",""
