ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-303012,A,Tecophilaeaceae,,Conanthera,,"bifolia",,"","Ruiz & Pav.",Accepted,,H,WCSP,303012,429603-1,"Fl. Peruv.","3: 68","","1802"
kew-303014,A,Tecophilaeaceae,,Conanthera,,"campanulata",,"","Lindl.",Accepted,,H,WCSP,303014,429604-1,"Trans. Hort. Soc. London","6: 283","","1826"
kew-276395,A,Tecophilaeaceae,,Conanthera,,"parvula",,"","(Phil.) Muñoz-Schick",Accepted,,H,WCSP,276395,1019902-1,"Not. Mens. Mus. Nac. Hist. Nat.","343: 26","","2000"
kew-303028,A,Tecophilaeaceae,,Conanthera,,"trimaculata",,"","(D.Don) F.Meigen",Accepted,,H,WCSP,303028,64023-2,"Bot. Jahrb. Syst.","17: 226","","1893"
kew-303029,A,Tecophilaeaceae,,Conanthera,,"urceolata",,"","Ravenna",Accepted,,H,WCSP,303029,274852-2,"Phytologia","64: 288","","1988"
kew-303729,A,Tecophilaeaceae,,Cyanastrum,,"cordifolium",,"","Oliv.",Accepted,,H,WCSP,303729,429674-1,"Hooker's Icon. Pl.","20: t. 1965","","1891"
kew-303730,A,Tecophilaeaceae,,Cyanastrum,,"goetzeanum",,"","Engl.",Accepted,,H,WCSP,303730,429675-1,"Bot. Jahrb. Syst.","28: 359","","1900"
kew-303733,A,Tecophilaeaceae,,Cyanastrum,,"johnstonii",,"","Baker",Accepted,,H,WCSP,303733,429677-1,"Fl. Trop. Afr.","7: 336","","1898"
kew-303737,A,Tecophilaeaceae,,Cyanella,,"alba",,"","L.f.",Accepted,,H,WCSP,303737,429680-1,"Suppl. Pl.","201","","1782"
kew-303739,A,Tecophilaeaceae,,Cyanella,,"aquatica",,"","Oberm. ex G.Scott",Accepted,,H,WCSP,303739,958785-1,"S. African J. Bot.","57: 40","","1991"
kew-303742,A,Tecophilaeaceae,,Cyanella,,"cygnea",,"","G.Scott",Accepted,,H,WCSP,303742,958786-1,"S. African J. Bot.","57: 50","","1991"
kew-303743,A,Tecophilaeaceae,,Cyanella,,"hyacinthoides",,"","Royen ex L.",Accepted,,H,WCSP,303743,64182-1,"Gen. Pl. ed. 5","Add.: 522","","1754"
kew-303747,A,Tecophilaeaceae,,Cyanella,,"lutea",,"","L.f.",Accepted,,H,WCSP,303747,429686-1,"Suppl. Pl.","201","","1782"
kew-303749,A,Tecophilaeaceae,,Cyanella,,"orchidiformis",,"","Jacq.",Accepted,,H,WCSP,303749,429688-1,"Collectanea","4: 211","","1790"
kew-303753,A,Tecophilaeaceae,,Cyanella,,"ramosissima",,"","(Engl. & Krause) Engl. & K.Krause",Accepted,,H,WCSP,303753,64184-1,"Bot. Jahrb. Syst.","57: 239","","1921"
kew-346832,A,Tecophilaeaceae,,Eremiolirion,,"amboense",,"","(Schinz) J.C.Manning & Mannh.",Accepted,,H,WCSP,346832,77077355-1,"Bothalia","35: 117","","2005"
kew-279785,A,Tecophilaeaceae,,Kabuyea,,"hostifolia",,"","(Engl.) Brummitt",Accepted,,H,WCSP,279785,1004850-1,"Kew Bull.","53: 774","","1998"
kew-293403,A,Tecophilaeaceae,,Odontostomum,,"hartwegii",,"","Torr.",Accepted,,H,WCSP,293403,429766-1,"Pacif. Railr. Rep. Parke, Bot.","4(5; 4): 150","","1857"
kew-279567,A,Tecophilaeaceae,,Tecophilaea,,"cyanocrocus",,"","Leyb.",Accepted,,H,WCSP,279567,285875-2,"Bonplandia (Hannover)","10: 370","","1862"
kew-279568,A,Tecophilaeaceae,,Tecophilaea,,"violiflora",,"","Bertero ex Colla",Accepted,,H,WCSP,279568,429905-1,"Mem. Reale Accad. Sci. Torino","39: 20","","1836"
kew-291405,A,Tecophilaeaceae,,Walleria,,"gracilis",,"","(Salisb.) S.Carter",Accepted,,H,WCSP,291405,828389-1,"Kew Bull.","16: 189","","1962"
kew-291397,A,Tecophilaeaceae,,Walleria,,"mackenziei",,"","J.Kirk",Accepted,,H,WCSP,291397,,"Trans. Linn. Soc. London","24: 497","","1864"
kew-291396,A,Tecophilaeaceae,,Walleria,,"nutans",,"","J.Kirk",Accepted,,H,WCSP,291396,543557-1,"Trans. Linn. Soc. London","24: 497","","1864"
kew-292002,A,Tecophilaeaceae,,Zephyra,,"compacta",,"","C.Ehrh.",Accepted,,H,WCSP,292002,321712-2,"Sendtnera","7: 48","","2001"
kew-279577,A,Tecophilaeaceae,,Zephyra,,"elegans",,"","D.Don",Accepted,,H,WCSP,279577,429953-1,"Edinburgh New Philos. J.","1832(Oct.): 236","","1832"
