ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2644448,A,Theaceae,,Apterosperma,,"oblata",,"","H.T.Chang",Accepted,,M,WCSP (in review),768114,,"Acta Sci. Nat. Univ. Sunyatseni","1976(2): 91","","1976"
kew-2694434,A,Theaceae,,Camellia,,"achrysantha",,"","Hung T.Chang & S.Ye Liang",Accepted,,M,WCSP (in review),817564,1016817-1,"Guangxi Forest. Sci.","23(1): 52","","1994"
kew-2694439,A,Theaceae,,Camellia,,"acutiserrata",,"","H.T.Chang",Accepted,,M,WCSP (in review),817569,897199-1,"Taxonomy of the genus Camellia","91","","1981"
kew-2694440,A,Theaceae,,Camellia,,"acutissima",,"","H.T.Chang",Accepted,,M,WCSP (in review),817570,897200-1,"Taxonomy of the genus Camellia","142","","1981"
kew-2694442,A,Theaceae,,Camellia,,"albogigas",,"","Hu",Accepted,,M,WCSP (in review),817572,829875-1,"Acta Phytotax. Sin.","10: 132","","1965"
tro-50105953,A,Theaceae,,Camellia,,"amplexicaulis",,"","(Pit.) Cohen-Stuart",Accepted,,M,TRO,50105953,829876-1,"Meded. Proefst. Thee","40: 67","67","1916"
kew-2694446,A,Theaceae,,Camellia,,"amplexifolia",,"","Merr. & Chun",Accepted,,M,WCSP (in review),817576,829877-1,"Sunyatsenia","5: 129","","1940"
kew-2694447,A,Theaceae,,Camellia,,"angustifolia",,"","H.T.Chang",Accepted,,M,WCSP (in review),817577,897203-1,"Taxonomy of the genus Camellia","119","","1981"
kew-2694448,A,Theaceae,,Camellia,,"anlungensis",,"","H.T.Chang",Accepted,,M,WCSP (in review),817578,897204-1,"Taxonomy of the genus Camellia","48","","1981"
kew-2694449,A,Theaceae,,Camellia,,"anlungensis",var.,"acutiperulata","(Hung T.Chang & C.X.Ye) T.L.Ming",Accepted,,L,WCSP (in review),817579,973025-1,"Acta Bot. Yunnan.","15: 127","","1993"
kew-2694451,A,Theaceae,,Camellia,,"arborescens",,"","H.T.Chang, F.L.Yu & P.S.Wang",Accepted,,M,WCSP (in review),817581,928714-1,"Tea Sci. Res. J. (China)","1983: 18","","1983"
kew-2694455,A,Theaceae,,Camellia,,"assimilis",,"","Champ. ex Benth.",Accepted,,M,WCSP (in review),817585,828501-1,"Hooker's J. Bot. Kew Gard. Misc.","3: 309","","1851"
kew-2694456,A,Theaceae,,Camellia,,"assimiloides",,"","Sealy",Accepted,,M,WCSP (in review),817586,829878-1,"Kew Bull.","4: 215","","1949"
kew-2694457,A,Theaceae,,Camellia,,"atrothea",,"","H.T.Chang, H.S.Wang & B.H.Chen",Accepted,,M,WCSP (in review),817587,928724-1,"Tea Sci. Res. J. (China)","1983: 8","","1983"
kew-2694460,A,Theaceae,,Camellia,,"aurea",,"","H.T.Chang",Accepted,,M,WCSP (in review),817590,829879-1,"Acta Sci. Nat. Univ. Sunyatseni","1979(3): 71","","1979"
