ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2624811,A,Thymelaeaceae,,Aetoxylon,,"sympetalum",,"","(Steenis & Domke) Airy Shaw",Accepted,,M,WCSP (in review),748666,830800-1,"Kew Bull.","5: 145","","1950"
kew-2635599,A,Thymelaeaceae,,Amyxa,,"pluricornis",,"","(Radlk.) Domke",Accepted,,M,WCSP (in review),759309,830810-1,"Biblioth. Bot.","111: 117","","1934"
kew-2644532,A,Thymelaeaceae,,Aquilaria,,"apiculata",,"","Merr.",Accepted,,M,WCSP (in review),768198,830815-1,"Philipp. J. Sci.","20: 411","","1922"
kew-2644533,A,Thymelaeaceae,,Aquilaria,,"baillonii",,"","Pierre ex Lecomte",Accepted,,M,WCSP (in review),768199,830816-1,"Fl. Indo-Chine","5: 179","","1915"
kew-2644534,A,Thymelaeaceae,,Aquilaria,,"banaense",,"","P.H.Hô",Accepted,,M,WCSP (in review),768200,931120-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","8: 241","","1986"
kew-2644536,A,Thymelaeaceae,,Aquilaria,,"beccariana",,"","Tiegh.",Accepted,,M,WCSP (in review),768202,830819-1,"Bull. Soc. Bot. France","40: 77","","1893"
kew-2644538,A,Thymelaeaceae,,Aquilaria,,"brachyantha",,"","(Merr.) Hallier f.",Accepted,,M,WCSP (in review),768204,830821-1,"Meded. Rijks-Herb.","44: 16","","1922"
kew-2644541,A,Thymelaeaceae,,Aquilaria,,"citrinicarpa",,"","(Elmer) Hallier f.",Accepted,,M,WCSP (in review),768207,830824-1,"Meded. Rijks-Herb.","44: 18","","1922"
kew-2644543,A,Thymelaeaceae,,Aquilaria,,"crassna",,"","Pierre ex Lecomte",Accepted,,M,WCSP (in review),768209,830826-1,"Bull. Soc. Bot. France","61: 411","","1914 publ. 1915"
kew-2644544,A,Thymelaeaceae,,Aquilaria,,"cumingiana",,"","(Decne.) Hallier f.",Accepted,,M,WCSP (in review),768210,830827-1,"Meded. Rijks-Herb.","44: 17","","1922"
kew-2644545,A,Thymelaeaceae,,Aquilaria,,"decemcostata",,"","Hallier f.",Accepted,,M,WCSP (in review),768211,830828-1,"Meded. Rijks-Herb.","44: 17","","1922"
