ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-276938,A,Tofieldiaceae,,Harperocallis,,"flava",,"","McDaniel",Accepted,,H,WCSP,276938,117983-2,"J. Arnold Arbor.","49: 38","","1968"
kew-284435,A,Tofieldiaceae,,Pleea,,"tenuifolia",,"","Michx.",Accepted,,H,WCSP,284435,539952-1,"Fl. Bor.-Amer.","1: 248","","1803"
kew-290267,A,Tofieldiaceae,,Tofieldia,,"calyculata",,"","(L.) Wahlenb.",Accepted,,H,WCSP,290267,542255-1,"Fl. Lapp.","90","","1812"
kew-289422,A,Tofieldiaceae,,Tofieldia,,"cernua",,"","Sm.",Accepted,,H,WCSP,289422,542258-1,"Trans. Linn. Soc. London","12: 244","","1817"
kew-290260,A,Tofieldiaceae,,Tofieldia,,"coccinea",,"","Richardson",Accepted,,H,WCSP,290260,,"Bot. App.","736","","1823"
kew-312169,A,Tofieldiaceae,,Tofieldia,,"coccinea",subsp.,"coccinea","",Accepted,,L,WCSP,312169,,"Unknown","","",""
kew-289819,A,Tofieldiaceae,,Tofieldia,,"coccinea",subsp.,"sphaerocephala","A.P.Khokhr.",Accepted,,L,WCSP,289819,918745-1,"Byull. Moskovsk. Obshch. Isp. Prir., Otd. Biol.","89(4): 107","","1984"
kew-290262,A,Tofieldiaceae,,Tofieldia,,"divergens",,"","Bureau & Franch.",Accepted,,H,WCSP,290262,542261-1,"J. Bot. (Morot)","5: 157","","1891"
kew-290306,A,Tofieldiaceae,,Tofieldia,,"glabra",,"","Nutt.",Accepted,,H,WCSP,290306,542271-1,"Gen. N. Amer. Pl.","1: 235","","1818"
kew-290310,A,Tofieldiaceae,,Tofieldia,,"himalaica",,"","Baker",Accepted,,H,WCSP,290310,542276-1,"J. Linn. Soc., Bot.","17: 489","","1879"
kew-309069,A,Tofieldiaceae,,Tofieldia,×,"hybrida",,"","A.Kern. ex Asch. & Graebn.",Accepted,,H,WCSP,309069,,"Syn. Mitteleur. Fl.","3: 7","","1905"
kew-290287,A,Tofieldiaceae,,Tofieldia,,"nuda",,"","Maxim.",Accepted,,H,WCSP,290287,542289-1,"Bull. Acad. Imp. Sci. Saint-Pétersbourg","17: 176","","1872"
kew-290290,A,Tofieldiaceae,,Tofieldia,,"okuboi",,"","Makino",Accepted,,H,WCSP,290290,542292-1,"Bot. Mag. (Tokyo)","12: 42","","1898"
kew-290295,A,Tofieldiaceae,,Tofieldia,,"pusilla",,"","(Michx.) Pers.",Accepted,,H,WCSP,290295,542298-1,"Syn. Pl.","1: 399","","1805"
kew-312170,A,Tofieldiaceae,,Tofieldia,,"pusilla",subsp.,"pusilla","",Accepted,,L,WCSP,312170,,"Unknown","","",""
kew-290142,A,Tofieldiaceae,,Tofieldia,,"thibetica",,"","Franch.",Accepted,,H,WCSP,290142,542313-1,"Nouv. Arch. Mus. Hist. Nat.","II, 10: 95","","1887"
kew-290200,A,Tofieldiaceae,,Triantha,,"glutinosa",,"","(Michx.) Baker",Accepted,,H,WCSP,290200,542441-1,"J. Linn. Soc., Bot.","17: 490","","1879"
kew-290198,A,Tofieldiaceae,,Triantha,,"japonica",,"","(Miq.) Baker",Accepted,,H,WCSP,290198,542443-1,"J. Linn. Soc., Bot.","17: 491","","1879"
kew-290197,A,Tofieldiaceae,,Triantha,,"occidentalis",,"","(S.Watson) R.R.Gates",Accepted,,H,WCSP,290197,256642-2,"J. Linn. Soc., Bot.","44: 137","","1918"
kew-290028,A,Tofieldiaceae,,Triantha,,"occidentalis",subsp.,"brevistyla","(C.L.Hitchc.) Packer",Accepted,,L,WCSP,290028,1055354-2,"Novon","3: 279","","1993"
kew-290029,A,Tofieldiaceae,,Triantha,,"occidentalis",subsp.,"montana","(C.L.Hitchc.) Packer",Accepted,,L,WCSP,290029,973305-1,"Novon","3: 279","","1993"
kew-290195,A,Tofieldiaceae,,Triantha,,"racemosa",,"","(Walter) Small",Accepted,,H,WCSP,290195,256643-2,"Fl. S.E. U.S.","249","","1903"
