ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-32600002,A,Trigoniaceae,,Trigonia,,"boliviana",,"","Warm.",Accepted,,M,TRO,32600002,871012-1,"Fl. Bras.","13(2): 134","134","1875"
kew-2518156,A,Trigoniaceae,,Trigonia,,"bracteata",,"","Lleras",Accepted,,M,WCSP (in review),645425,258198-2,"Fl. Neotrop. Monogr.","19: 58","","1978"
kew-2518154,A,Trigoniaceae,,Trigonia,,"candelabra",,"","Lleras",Accepted,,M,WCSP (in review),645423,258199-2,"Fl. Neotrop. Monogr.","19: 41","","1978"
kew-2518150,A,Trigoniaceae,,Trigonia,,"costanensis",,"","Steyerm. & Badillo",Accepted,,M,WCSP (in review),645419,258202-2,"Acta Bot. Venez.","6: 77","","1971 publ. 1972"
kew-2519153,A,Trigoniaceae,,Trigonia,,"ehrendorferi",,"","Lleras",Accepted,,M,WCSP (in review),646418,258208-2,"Acta Amazon.","8: 379","","1978"
kew-2519152,A,Trigoniaceae,,Trigonia,,"eriosperma",,"","(Lam.) Fromm & E.Santos",Accepted,,L,WCSP (in review),646417,836227-1,"Bol. Mus. Nac. Rio de Janeiro, Bot.","41: 2","","1971"
tro-32600029,A,Trigoniaceae,,Trigonia,,"eriosperma",subsp.,"membranacea","(A.C. Sm.) Lleras",Accepted,,L,TRO,32600029,258210-2,"Fl. Neotrop.","19: 47","47","1978"
tro-50165720,A,Trigoniaceae,,Trigonia,,"eriosperma",subsp.,"simplex","(K. Werner) Lleras",Accepted,,L,TRO,50165720,258211-2,"Fl. Neotrop.","19: 47","47","1978"
tro-32600007,A,Trigoniaceae,,Trigonia,,"hypoleuca",,"","Griseb.",Accepted,,M,TRO,32600007,871019-1,"Linnaea","22: 30","30","1849"
tro-32600026,A,Trigoniaceae,,Trigonia,,"killipii",,"","J.F. Macbr.",Accepted,,M,TRO,32600026,258218-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","13(3/3): 951","951","1950"
kew-2519140,A,Trigoniaceae,,Trigonia,,"laevis",,"","Aubl.",Accepted,,M,WCSP (in review),646405,871020-1,"Hist. Pl. Guiane","390","","1775"
tro-32600009,A,Trigoniaceae,,Trigonia,,"macrantha",,"","Warm.",Accepted,,M,TRO,32600009,871021-1,"Fl. Bras.","13(2): 129","129","1875"
kew-2519672,A,Trigoniaceae,,Trigonia,,"microcarpa",,"","Sagot ex Warm.",Accepted,,M,WCSP (in review),646936,318970-2,"Fl. Bras.","13(2): 131","","1875"
kew-2519581,A,Trigoniaceae,,Trigonia,,"nivea",,"","Cambess.",Accepted,,M,WCSP (in review),646845,871029-1,"Fl. Bras. Merid.","2: 113","","1829"
tro-50165736,A,Trigoniaceae,,Trigonia,,"nivea",var.,"fasciculata","(Griseb.) Lleras",Accepted,,L,TRO,50165736,258222-2,"Fl. Neotrop.","19: 52","52","1978"
tro-50165737,A,Trigoniaceae,,Trigonia,,"nivea",var.,"pubescens","(Cambess.) Lleras",Accepted,,L,TRO,50165737,258224-2,"Fl. Neotrop.","19: 52-53","52","1978"
tro-32600035,A,Trigoniaceae,,Trigonia,,"prancei",,"","Lleras",Accepted,,M,TRO,32600035,258226-2,"Fl. Neotrop.","19: 33, 35-36, f. 13","33","1978"
kew-2519569,A,Trigoniaceae,,Trigonia,,"reticulata",,"","Lleras",Accepted,,M,WCSP (in review),646833,258230-2,"Fl. Neotrop. Monogr.","19: 41","","1978"
kew-2519595,A,Trigoniaceae,,Trigonia,,"rugosa",,"","Benth.",Accepted,,M,WCSP (in review),646859,871036-1,"Bot. Voy. Sulphur","74","","1844"
kew-2519605,A,Trigoniaceae,,Trigonia,,"sericea",,"","Kunth",Accepted,,M,WCSP (in review),646869,871039-1,"Nov. Gen. Sp.","5: 141","","1822"
kew-2519603,A,Trigoniaceae,,Trigonia,,"spruceana",,"","Benth. ex Warm.",Accepted,,M,WCSP (in review),646867,871041-1,"Fl. Bras.","13(2): 130","","1875"
kew-2519598,A,Trigoniaceae,,Trigonia,,"villosa",,"","Aubl.",Accepted,,M,WCSP (in review),646862,258237-2,"Hist. Pl. Guiane","388","","1775"
tro-32600047,A,Trigoniaceae,,Trigonia,,"villosa",var.,"macrocarpa","(Benth.) Lleras",Accepted,,L,TRO,32600047,258239-2,"Fl. Neotrop.","19: 57","57","1978"
tro-32600048,A,Trigoniaceae,,Trigonia,,"villosa",var.,"villosa","",Accepted,,L,TRO,32600048,,"","","",""
tro-32600001,A,Trigoniaceae,,Trigonia,,"virens",,"","J.F. Macbr.",Accepted,,M,TRO,32600001,258242-2,"Field Mus. Nat. Hist., Bot. Ser.","11(2): 68-69","68","1931"
