ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-292041,A,Triuridaceae,,Kihansia,,"lovettii",,"","Cheek",Accepted,,H,WCSP,292041,60426764-2,"Kew Bull.","58: 943","","2003 publ. 2004"
kew-292043,A,Triuridaceae,,Kupea,,"jonii",,"","Cheek",Accepted,,H,WCSP,292043,60426762-2,"Kew Bull.","58: 940","","2003 publ. 2004"
kew-279776,A,Triuridaceae,,Kupea,,"martinetugei",,"","Cheek & S.A.Williams",Accepted,,H,WCSP,279776,20012035-1,"Kew Bull.","58: 225","","2003"
kew-310022,A,Triuridaceae,,Lacandonia,,"schismatica",,"","E.Martínez & Ramos",Accepted,,H,WCSP,310022,279280-2,"Ann. Missouri Bot. Gard.","76: 130","","1989"
kew-284626,A,Triuridaceae,,Peltophyllum,,"caudatum",,"","(Poulsen) R.Schmid & M.D.Turner",Accepted,,H,WCSP,284626,187033-2,"Madroño","24: 71","","1977"
kew-284627,A,Triuridaceae,,Peltophyllum,,"luteum",,"","Gardner",Accepted,,H,WCSP,284627,836267-1,"Proc. Linn. Soc. London","1: 176","","1843"
kew-288276,A,Triuridaceae,,Sciaphila,,"africana",,"","A.Chev.",Accepted,,H,WCSP,288276,836271-1,"Bull. Soc. Bot. France","55(8): 96","","1908"
kew-288274,A,Triuridaceae,,Sciaphila,,"albescens",,"","Benth.",Accepted,,H,WCSP,288274,836272-1,"Hooker's J. Bot. Kew Gard. Misc.","7: 11","","1855"
kew-288250,A,Triuridaceae,,Sciaphila,,"aneitensis",,"","Hemsl.",Accepted,,H,WCSP,288250,836274-1,"Ann. Bot. (Oxford)","21: 75","","1907"
kew-348421,A,Triuridaceae,,Sciaphila,,"arcuata",,"","Aver.",Accepted,,H,WCSP,348421,77083738-1,"Taiwania","52: 12","","2007"
kew-288251,A,Triuridaceae,,Sciaphila,,"arfakiana",,"","Becc.",Accepted,,H,WCSP,288251,836275-1,"Malesia","3: 336","","1890"
kew-288261,A,Triuridaceae,,Sciaphila,,"consimilis",,"","Blume",Accepted,,H,WCSP,288261,836285-1,"Mus. Bot.","1: 322","","1850"
kew-288262,A,Triuridaceae,,Sciaphila,,"corallophyton",,"","K.Schum. & Schltr.",Accepted,,H,WCSP,288262,836286-1,"Fl. Schutzgeb. Südsee","Nachtr.: 54","","1905"
kew-288263,A,Triuridaceae,,Sciaphila,,"corniculata",,"","Becc.",Accepted,,H,WCSP,288263,836287-1,"Malesia","3: 336","","1890"
kew-288264,A,Triuridaceae,,Sciaphila,,"corymbosa",,"","Benth.",Accepted,,H,WCSP,288264,836288-1,"Hooker's J. Bot. Kew Gard. Misc.","7: 12","","1855"
kew-288139,A,Triuridaceae,,Sciaphila,,"densiflora",,"","Schltr.",Accepted,,H,WCSP,288139,836291-1,"Bot. Jahrb. Syst.","49: 87","","1912"
kew-288168,A,Triuridaceae,,Sciaphila,,"janthina",,"","(Champ.) Thwaites",Accepted,,H,WCSP,288168,836303-1,"Enum. Pl. Zeyl.","294","","1861"
kew-288169,A,Triuridaceae,,Sciaphila,,"japonica",,"","Makino",Accepted,,H,WCSP,288169,836304-1,"Bot. Mag. (Tokyo)","16: 211","","1902"
kew-288170,A,Triuridaceae,,Sciaphila,,"khasiana",,"","Benth. & Hook.f.",Accepted,,H,WCSP,288170,836305-1,"Gen. Pl.","3: 1003","","1883"
kew-288171,A,Triuridaceae,,Sciaphila,,"ledermannii",,"","Engl.",Accepted,,H,WCSP,288171,836306-1,"Bot. Jahrb. Syst.","43: 804","","1909"
