ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-33000087,A,Tropaeolaceae,,Tropaeolum,,"adpressum",,"","Hughes",Accepted,,M,TRO,33000087,310776-2,"Kew Bull.","1922: 80, f. C, p. 84","80","1922"
tro-33000001,A,Tropaeolaceae,,Tropaeolum,,"argentinum",,"","Buchenau",Accepted,,M,TRO,33000001,311787-2,"Bot. Jahrb. Syst.","15: 221","221","1892"
tro-33000104,A,Tropaeolaceae,,Tropaeolum,,"asplundii",,"","Sparre",Accepted,,M,TRO,33000104,259952-2,"Fl. Ecuador","2: 26","26","1973"
tro-33000134,A,Tropaeolaceae,,Tropaeolum,,"atrocapillare",,"","Sparre",Accepted,,M,TRO,33000134,306623-2,"Opera Bot.","108: 116, f. 92E-F","116","1991"
tro-33000055,A,Tropaeolaceae,,Tropaeolum,,"azureum",,"","Bertero ex Colla",Accepted,,M,TRO,33000055,308638-2,"Nuovo Giorn. Lett., Sci.","24: 147","147","1832"
tro-50136720,A,Tropaeolaceae,,Tropaeolum,,"beuthii",,"","Klotzsch",Accepted,,M,TRO,50136720,309534-2,"Allg. Gartenzeitung","18: 161","161","1850"
tro-33000002,A,Tropaeolaceae,,Tropaeolum,,"bicolor",,"","Ruiz & Pav.",Accepted,,M,TRO,33000002,304803-2,"Fl. Peruv.","3: 76, t. 313","76","1802"
tro-33000056,A,Tropaeolaceae,,Tropaeolum,,"brachyceras",,"","Hook. & Arn.",Accepted,,M,TRO,33000056,307674-2,"Bot. Voy. Sulphur","1: 14","14","1830"
tro-33000106,A,Tropaeolaceae,,Tropaeolum,,"brideanum",,"","Sparre",Accepted,,M,TRO,33000106,259968-2,"Fl. Ecuador","2: 28","28","1973"
tro-33000084,A,Tropaeolaceae,,Tropaeolum,,"calcaratum",,"","Sparre",Accepted,,M,TRO,33000084,259972-2,"Bot. Not.","119: 341, f. 4D, 5","341","1966"
tro-33000079,A,Tropaeolaceae,,Tropaeolum,,"calvum",,"","(J.F. Macbr.) Sparre",Accepted,,M,TRO,33000079,962797-1,"Opera Bot.","108: 81, f. 54I-H","81","1991"
tro-33000006,A,Tropaeolaceae,,Tropaeolum,,"capillare",,"","Buchenau",Accepted,,M,TRO,33000006,310004-2,"Bot. Jahrb. Syst.","15: 219","219","1892"
tro-33000100,A,Tropaeolaceae,,Tropaeolum,,"carchense",,"","Killip ex Sparre",Accepted,,M,TRO,33000100,259974-2,"Fl. Ecuador","2: 20","20","1973"
kew-2522309,A,Tropaeolaceae,,Tropaeolum,,"ciliatum",,"","Ruíz & Pav.",Accepted,,M,WCSP (in review),649496,310407-2,"Fl. Peruv.","2: 77","","1799"
tro-50146930,A,Tropaeolaceae,,Tropaeolum,,"ciliatum",subsp.,"ciliatum","",Accepted,,L,TRO,50146930,,"","","",""
tro-33000035,A,Tropaeolaceae,,Tropaeolum,,"cirrhipes",,"","Hook.",Accepted,,M,TRO,33000035,377343-1,"Icon. Pl.","5: t. 411","t. 411","1842"
tro-33000073,A,Tropaeolaceae,,Tropaeolum,,"cochabambae",,"","Buchenau",Accepted,,M,TRO,33000073,311742-2,"Bot. Jahrb. Syst.","22: 161","161","1895"
tro-33000036,A,Tropaeolaceae,,Tropaeolum,,"crenatiflorum",,"","Hook.",Accepted,,M,TRO,33000036,307928-2,"Bot. Mag.","72: t. 4245","t. 4245","1846"
tro-33000089,A,Tropaeolaceae,,Tropaeolum,,"cuspidatum",,"","Buchenau",Accepted,,M,TRO,33000089,311293-2,"Bot. Jahrb. Syst.","26: 581","581","1899"
kew-2522313,A,Tropaeolaceae,,Tropaeolum,,"deckerianum",,"","Moritz & H.Karst.",Accepted,,M,WCSP (in review),649500,309444-2,"Auswahl Gew. Venez.","38","","1848"
tro-33000160,A,Tropaeolaceae,,Tropaeolum,,"deckerianum",var.,"tomentosum","(Hughes) Sparre",Accepted,,L,TRO,33000160,1188009-2,"Opera Bot.","108: 94","94","1991"
tro-33000008,A,Tropaeolaceae,,Tropaeolum,,"dipetalum",,"","Ruiz & Pav.",Accepted,,M,TRO,33000008,312068-2,"Fl. Peruv.","3: 77, t. 313","77","1802"
tro-33000051,A,Tropaeolaceae,,Tropaeolum,,"emarginatum",,"","Turcz.",Accepted,,M,TRO,33000051,310716-2,"Bull. Soc. Imp. Naturalistes Moscou","31(2): 425","425","1858"
tro-33000076,A,Tropaeolaceae,,Tropaeolum,,"ferreyrae",,"","Sparre",Accepted,,M,TRO,33000076,303245-2,"Opera Bot.","108: 66","66","1991"
kew-2522302,A,Tropaeolaceae,,Tropaeolum,,"fintelmannii",,"","Schltdl.",Accepted,,M,WCSP (in review),649489,301325-2,"Allg. Gartenzeitung","18: 105","","1850"
tro-33000077,A,Tropaeolaceae,,Tropaeolum,,"harlingii",,"","Sparre",Accepted,,M,TRO,33000077,260002-2,"Fl. Ecuador","2: 15","15","1973"
tro-33000013,A,Tropaeolaceae,,Tropaeolum,,"hayneanum",,"","Bernh.",Accepted,,M,TRO,33000013,,"Allg. Thüring. Gartenzeitung","2: 73","73","1843"
tro-33000075,A,Tropaeolaceae,,Tropaeolum,,"hjertingii",,"","Sparre",Accepted,,M,TRO,33000075,304600-2,"Opera Bot.","108: 61, f. 40G-H","61","1991"
tro-33000095,A,Tropaeolaceae,,Tropaeolum,,"huigrense",,"","Killip",Accepted,,M,TRO,33000095,312091-2,"J. Wash. Acad. Sci.","19: 193","193","1929"
tro-33000060,A,Tropaeolaceae,,Tropaeolum,,"incisum",,"","(Speg.) Sparre",Accepted,,M,TRO,33000060,836393-1,"Darwiniana","11: 116","116","1955"
tro-50146935,A,Tropaeolaceae,,Tropaeolum,,"jilesii",,"","Sparre",Accepted,,M,TRO,50146935,301007-2,"Opera Bot.","108: 31-33, f. 13I-L, 14","31","1991"
tro-33000103,A,Tropaeolaceae,,Tropaeolum,,"kerneisinum",,"","Hughes",Accepted,,M,TRO,33000103,260012-2,"Bull. Misc. Inform. Kew","1922: 83 f. E","83 f. E","1922"
tro-33000061,A,Tropaeolaceae,,Tropaeolum,,"kingii",,"","Phil.",Accepted,,M,TRO,33000061,377371-1,"Anales Univ. Chile","41: 684","684","1872"
tro-33000016,A,Tropaeolaceae,,Tropaeolum,,"kuntzeanum",,"","Buchenau",Accepted,,M,TRO,33000016,260015-2,"Bot. Jahrb. Syst.","22: 163","163","1895"
kew-2519667,A,Tropaeolaceae,,Tropaeolum,,"lasseri",,"","Sparre",Accepted,,M,WCSP (in review),646931,305911-2,"Opera Bot.","108: 75","","1991"
tro-33000096,A,Tropaeolaceae,,Tropaeolum,,"leonis",,"","Sparre",Accepted,,M,TRO,33000096,260018-2,"Fl. Ecuador","2: 17","17","1973"
kew-2442564,A,Tropaeolaceae,,Tropaeolum,,"leptophyllum",,"","G.Don",Accepted,,M,WCSP (in review),571031,310742-2,"Gen. Hist.","1: 747","","1831"
tro-50146934,A,Tropaeolaceae,,Tropaeolum,,"leptophyllum",subsp.,"gracile","(Hook. & Arn.) Sparre",Accepted,,L,TRO,50146934,1122247-2,"Opera Bot.","108: 30, f. 13D","30","1991"
tro-33000101,A,Tropaeolaceae,,Tropaeolum,,"lindenii",,"","Wallis; emend. Hughes",Accepted,,M,TRO,33000101,,"Kew Bull.","1922: 77","77","1922"
tro-33000038,A,Tropaeolaceae,,Tropaeolum,,"longiflorum",,"","Killip",Accepted,,M,TRO,33000038,312092-2,"J. Wash. Acad. Sci.","24(1): 48","48","1934"
tro-33000064,A,Tropaeolaceae,,Tropaeolum,,"looseri",,"","Sparre",Accepted,,M,TRO,33000064,322536-2,"Darwiniana","11: 114","114","1955"
tro-33000072,A,Tropaeolaceae,,Tropaeolum,,"magnificum",,"","Sparre",Accepted,,M,TRO,33000072,260036-2,"Fl. Ecuador","2: 6","6","1973"
kew-2522052,A,Tropaeolaceae,,Tropaeolum,,"majus",,"","L.",Accepted,,M,WCSP (in review),649242,310974-2,"Sp. Pl.","2: errata, last page","","1753"
tro-33000020,A,Tropaeolaceae,,Tropaeolum,,"menispermifolium",,"","Buchenau & Sodiro",Accepted,,M,TRO,33000020,260039-2,"Bot. Jahrb. Syst.","34(Beibl. 78): 12","12","1904"
