ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2634284,A,Ulmaceae,,Ampelocera,,"albertiae",,"","Todzia",Accepted,,M,WCSP (in review),757994,272079-2,"Ann. Missouri Bot. Gard.","76: 1089","","1989"
kew-2634285,A,Ulmaceae,,Ampelocera,,"crenulata",,"","Urb.",Accepted,,M,WCSP (in review),757995,11465-2,"Repert. Spec. Nov. Regni Veg.","15: 399","","1919"
kew-2634286,A,Ulmaceae,,Ampelocera,,"cubensis",,"","Griseb.",Accepted,,M,WCSP (in review),757996,850330-1,"Cat. Pl. Cub.","57","","1866"
kew-2634287,A,Ulmaceae,,Ampelocera,,"edentula",,"","Kuhlm.",Accepted,,M,WCSP (in review),757997,11466-2,"Anais Reunião Sul-Amer. Bot.","3: 75","","1938 publ. 1940"
kew-2634288,A,Ulmaceae,,Ampelocera,,"glabra",,"","Kuhlm.",Accepted,,M,WCSP (in review),757998,11467-2,"Arch. Jard. Bot. Rio de Janeiro","4: 351","","1925"
kew-2634290,A,Ulmaceae,,Ampelocera,,"hottlei",,"","(Standl.) Standl.",Accepted,,M,WCSP (in review),758000,11469-2,"Trop. Woods","41: 11","","1937"
kew-2634292,A,Ulmaceae,,Ampelocera,,"longissima",,"","Todzia",Accepted,,M,WCSP (in review),758002,272080-2,"Ann. Missouri Bot. Gard.","76: 1096","","1989"
kew-2634293,A,Ulmaceae,,Ampelocera,,"macphersonii",,"","Todzia",Accepted,,M,WCSP (in review),758003,272081-2,"Ann. Missouri Bot. Gard.","76: 1099","","1989"
kew-2634294,A,Ulmaceae,,Ampelocera,,"macrocarpa",,"","Ferero & Gentry",Accepted,,M,WCSP (in review),758004,,"Phytologia","55: 365","","1984"
kew-2634295,A,Ulmaceae,,Ampelocera,,"pubescens",,"","C.V.Morton",Accepted,,M,WCSP (in review),758005,11472-2,"Proc. Biol. Soc. Wash.","71: 153","","1958"
kew-2634296,A,Ulmaceae,,Ampelocera,,"ruizii",,"","Klotzsch",Accepted,,M,WCSP (in review),758006,850331-1,"Linnaea","20: 542","","1847"
kew-2634297,A,Ulmaceae,,Ampelocera,,"verrucosa",,"","Kuhlm.",Accepted,,M,WCSP (in review),758007,11473-2,"Arch. Jard. Bot. Rio de Janeiro","4: 352","","1925"
kew-2714358,A,Ulmaceae,,Chaetachme,,"aristata",,"","Planch.",Accepted,,M,WCSP (in review),836584,851209-1,"Ann. Sci. Nat., Bot.","III, 10: 341","","1848"
tro-33300062,A,Ulmaceae,,Chaetacme,,"madagascariensis",,"","Baker",Accepted,,M,TRO,33300062,,"J. Linn. Soc., Bot.","21: 443","443","1885"
tro-33300287,A,Ulmaceae,,Hemiptelea,,"davidii",,"","(Hance) Planch.",Accepted,,M,TRO,33300287,854166-1,"Compt. Rend. Hebd. Séances Acad. Sci.","74: 131-132","131","1872"
kew-2852473,A,Ulmaceae,,Holoptelea,,"grandis",,"","(Hutch.) Mildbr.",Accepted,,M,WCSP (in review),971526,837069-1,"Notizbl. Bot. Gart. Berlin-Dahlem","8: 53","","1921"
tro-33300209,A,Ulmaceae,,Phyllostylon,,"brasiliense",,"","Capan. ex Benth. & Hook. f.",Accepted,,M,TRO,33300209,855198-1,"Gen. Pl.","3: 352","352","1880"
kew-2546267,A,Ulmaceae,,Phyllostylon,,"rhamnoides",,"","(J.Poiss.) Taub.",Accepted,,M,WCSP (in review),673296,195284-2,"Oesterr. Bot. Z.","40: 409","","1890"
kew-2551587,A,Ulmaceae,,Planera,,"aquatica",,"","J.F.Gmel.",Accepted,,M,WCSP (in review),678586,305500-2,"Syst. Nat.","150","","1791"
tro-33300011,A,Ulmaceae,,Ulmus,,"alata",,"","Michx.",Accepted,,M,TRO,33300011,302994-2,"Fl. Bor.-Amer.","1: 173","173","1803"
kew-2450019,A,Ulmaceae,,Ulmus,,"americana",,"","L.",Accepted,,M,WCSP (in review),578406,304464-2,"Sp. Pl.","226","","1753"
tro-50064837,A,Ulmaceae,,Ulmus,,"bergmanniana",,"","C.K. Schneid.",Accepted,,M,TRO,50064837,837115-1,"Ill. Handb. Laubholzk.","2: 902, f. 565a-b, 566a-b","902","1912"
tro-50127406,A,Ulmaceae,,Ulmus,,"bergmanniana",var.,"lasiophylla","C.K. Schneid.",Accepted,,L,TRO,50127406,77099087-1,"Pl. Wilson.","3(2): 241-242","241","1916"
kew-2449965,A,Ulmaceae,,Ulmus,,"canescens",,"","Melville",Accepted,,M,WCSP (in review),578352,837119-1,"Kew Bull.","12: 499","","1957 publ. 1958"
tro-50057504,A,Ulmaceae,,Ulmus,,"castaneifolia",,"","Hemsl.",Accepted,,M,TRO,50057504,856831-1,"J. Linn. Soc., Bot.","26(177): 446-447, pl. 10","446","1894"
tro-50064838,A,Ulmaceae,,Ulmus,,"changii",,"","W.C. Cheng",Accepted,,M,TRO,50064838,837123-1,"Contr. Biol. Lab. Chin. Assoc. Advancem. Sci., Sect. Bot.","10: 94, f. 13","94","1936"
tro-50127392,A,Ulmaceae,,Ulmus,,"changii",var.,"kunmingensis","(W.C. Cheng) W.C. Cheng & L.K. Fu",Accepted,,L,TRO,50127392,891971-1,"Acta Phytotax. Sin.","17(1): 49","49","1979"
tro-50127415,A,Ulmaceae,,Ulmus,,"chenmoui",,"","W.C. Cheng",Accepted,,M,TRO,50127415,77099084-1,"Nanjing Forest. Inst.","1(1): 68","68","1958"
tro-33300068,A,Ulmaceae,,Ulmus,,"crassifolia",,"","Nutt.",Accepted,,M,TRO,33300068,302278-2,"Trans. Amer. Philos. Soc., n.s.,","5(6[2]): 169","169","1837"
tro-33300012,A,Ulmaceae,,Ulmus,,"davidiana",,"","Planch.",Accepted,,M,TRO,33300012,,"Prodr.","17: 158","158","1873"
tro-50127417,A,Ulmaceae,,Ulmus,,"davidiana",var.,"davidiana","",Accepted,,L,TRO,50127417,,"","","",""
tro-33300289,A,Ulmaceae,,Ulmus,,"davidiana",var.,"japonica","(Rehder) Nakai",Accepted,,L,TRO,33300289,,"Fl. Sylv. Kor.","19: 26, pl. 9","26","1932"
kew-2448709,A,Ulmaceae,,Ulmus,,"elliptica",,"","K.Koch",Accepted,,M,WCSP (in review),577095,856849-1,"Linnaea","22: 599","","1849"
tro-50127361,A,Ulmaceae,,Ulmus,,"elongata",,"","L.K. Fu & C.S. Ding",Accepted,,M,TRO,50127361,837135-1,"Acta Phytotax. Sin.","17(1): 46-47, pl. 1","46","1979"
tro-50127363,A,Ulmaceae,,Ulmus,,"gaussenii",,"","W.C. Cheng",Accepted,,M,TRO,50127363,837137-1,"Trav. Lab. Forest. Toulouse","3(3): 110, f. 1","110","1939"
kew-2448690,A,Ulmaceae,,Ulmus,,"glabra",,"","Huds.",Accepted,,M,WCSP (in review),577076,302887-2,"Fl. Angl.","95","","1762"
tro-33300015,A,Ulmaceae,,Ulmus,,"glaucescens",,"","Franch.",Accepted,,M,TRO,33300015,,"Nouv. Arch. Mus. Hist. Nat., sér. 2,","7: 76-77, pl. 6, f. A","76","1884"
tro-50127410,A,Ulmaceae,,Ulmus,,"harbinensis",,"","S.Q. Nie & K.Q. Huang",Accepted,,M,TRO,50127410,931582-1,"Bull. Bot. Res., Harbin","7(1): 151-152, pl. 1","151","1987"
kew-2448731,A,Ulmaceae,,Ulmus,×,"hollandica",,"","Mill.",Accepted,,M,WCSP (in review),577117,856868-1,"Gard. Dict. ed. 8","5","","1768"
tro-50129521,A,Ulmaceae,,Ulmus,,"ismaelis",,"","Todzia & Panero",Accepted,,M,TRO,50129521,316631-2,"Brittonia","50(3): 343, f. 1","343","1998"
tro-33300247,A,Ulmaceae,,Ulmus,,"laciniata",,"","(Trautv.) Mayr",Accepted,,M,TRO,33300247,837147-1,"Fremdland Wald-Parkbaume","523, pl. 243","523","1906"
kew-2448688,A,Ulmaceae,,Ulmus,,"laevis",,"","Pall.",Accepted,,M,WCSP (in review),577074,856879-1,"Fl. Ross.","1(1): 75","","1784"
tro-50127382,A,Ulmaceae,,Ulmus,,"lamellosa",,"","C. Wang & S.L. Chang",Accepted,,M,TRO,50127382,837148-1,"Acta Phytotax. Sin.","17(1): 47-48, pl. 2","47","1979"
tro-50150951,A,Ulmaceae,,Ulmus,,"lanceifolia",,"","Roxb. ex Wall.",Accepted,,M,TRO,50150951,,"Pl. Asiat. Rar.","2: 86, pl. 200","86","1831"
tro-33300248,A,Ulmaceae,,Ulmus,,"macrocarpa",,"","Hance",Accepted,,M,TRO,33300248,856885-1,"J. Bot.","6(71): 332-333","332","1868"
tro-50127375,A,Ulmaceae,,Ulmus,,"macrocarpa",var.,"macrocarpa","",Accepted,,L,TRO,50127375,,"","","",""
tro-33300109,A,Ulmaceae,,Ulmus,,"mexicana",,"","(Liebm.) Planch.",Accepted,,L,TRO,33300109,856888-1,"Prodr.","17: 156","156","1873"
tro-50303408,A,Ulmaceae,,Ulmus,,"mianzhuensis",,"","T.P. Yi & Lin Yang",Accepted,,M,TRO,50303408,,"Bull. Bot. Res., Harbin","26(6): 642-643","642","2006"
tro-50127430,A,Ulmaceae,,Ulmus,,"microcarpa",,"","L.K. Fu",Accepted,,M,TRO,50127430,837152-1,"Acta Phytotax. Sin.","17(1): 48-49, pl. 2, f. 5-8","48","1979"
kew-2448634,A,Ulmaceae,,Ulmus,,"minor",,"","Mill.",Accepted,,M,WCSP (in review),577019,856890-1,"Gard. Dict. ed. 8","6","","1768"
tro-33300017,A,Ulmaceae,,Ulmus,,"parvifolia",,"","Jacq.",Accepted,,M,TRO,33300017,302296-2,"Pl. Hort. Schoenbr.","3: 6, pl. 262","6","1798"
kew-2448825,A,Ulmaceae,,Ulmus,,"procera",,"","Salisb.",Accepted,,M,WCSP (in review),577211,303832-2,"Prodr. Stirp. Chap. Allerton","391","","1796"
tro-50127429,A,Ulmaceae,,Ulmus,,"prunifolia",,"","W.C. Cheng & L.K. Fu",Accepted,,M,TRO,50127429,837162-1,"Acta Phytotax. Sin.","17(1): 48, pl. 2, f. 1-4","48","1979"
tro-50127411,A,Ulmaceae,,Ulmus,,"pseudopropinqua",,"","Wang & Li",Accepted,,M,TRO,50127411,837163-1,"Ill. Fl. Lign. Pl. N.-E. China","231, 561","231","1955"
tro-33300018,A,Ulmaceae,,Ulmus,,"pumila",,"","L.",Accepted,,M,TRO,33300018,303333-2,"Sp. Pl.","1: 226","226","1753"
kew-2448805,A,Ulmaceae,,Ulmus,,"rubra",,"","Muhl.",Accepted,,M,WCSP (in review),577191,306680-2,"Trans. Amer. Philos. Soc.","3: 165","","1793"
tro-33300020,A,Ulmaceae,,Ulmus,,"serotina",,"","Sarg.",Accepted,,M,TRO,33300020,259375-2,"Bot. Gaz.","27(2): 92-94","92","1899"
tro-50127500,A,Ulmaceae,,Ulmus,,"szechuanica",,"","W.P. Fang",Accepted,,M,TRO,50127500,837175-1,"Commem. Vol.","22","22","1947"
kew-2448843,A,Ulmaceae,,Ulmus,,"thomasii",,"","Sarg.",Accepted,,M,WCSP (in review),577229,300247-2,"Silva N. Amer.","14: 102","","1902"
