ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2617447,A,Urticaceae,,Achudemia,,"insignis",,"","Migo",Accepted,,M,WCSP (in review),741319,850089-1,"J. Shanghai Sci. Inst., Sect. 3","3: 91","","1935"
kew-2617448,A,Urticaceae,,Achudemia,,"japonica",,"","Maxim.",Accepted,,M,WCSP (in review),741320,850090-1,"Bull. Acad. Imp. Sci. Saint-Pétersbourg","III, 22: 241","","1877"
kew-2617449,A,Urticaceae,,Achudemia,,"javanica",,"","Blume",Accepted,,M,WCSP (in review),741321,850091-1,"Mus. Bot.","2: 57","","1856"
kew-2646917,A,Urticaceae,,Archiboehmeria,,"atrata",,"","(Gagnep.) C.J.Chen",Accepted,,M,WCSP (in review),770585,850352-1,"Acta Phytotax. Sin.","18: 479","","1980"
kew-2664262,A,Urticaceae,,Astrothalamus,,"reticulatus",,"","(Wedd.) C.B.Rob.",Accepted,,L,WCSP (in review),787912,850465-1,"Philipp. J. Sci., C","6: 19","","1911"
kew-2666595,A,Urticaceae,,Australina,,"flaccida",,"","(A.Rich.) Wedd.",Accepted,,M,WCSP (in review),790222,850470-1,"Arch. Mus. Hist. Nat.","8: 546","","1856"
kew-2666603,A,Urticaceae,,Australina,,"pusilla",,"","(Poir.) Gaudich.",Accepted,,M,WCSP (in review),790230,163245-3,"Voy. Uranie","505","","1830"
kew-2666606,A,Urticaceae,,Australina,,"pusilla",subsp.,"muelleri","(Wedd.) Friis & Wilmot-Dear",Accepted,,L,WCSP (in review),790233,953419-1,"Nordic J. Bot.","7: 126","","1987"
kew-2678107,A,Urticaceae,,Boehmeria,,"allophylla",,"","W.T.Wang",Accepted,,M,WCSP (in review),801474,897075-1,"Acta Bot. Yunnan.","3: 412","","1981"
kew-2678108,A,Urticaceae,,Boehmeria,,"amarantus",,"","H.Lév.",Accepted,,M,WCSP (in review),801475,850497-1,"Repert. Spec. Nov. Regni Veg.","11: 550","","1913"
kew-2678113,A,Urticaceae,,Boehmeria,,"anisoneura",,"","Guillaumin",Accepted,,M,WCSP (in review),801480,850502-1,"J. Arnold Arbor.","13: 107","","1932"
kew-2678119,A,Urticaceae,,Boehmeria,,"arenicola",,"","Satake",Accepted,,M,WCSP (in review),801486,850508-1,"J. Fac. Sci. Univ. Tokyo, Sect. 3, Bot.","4: 499","","1936"
kew-2678123,A,Urticaceae,,Boehmeria,,"aspera",,"","Wedd.",Accepted,,M,WCSP (in review),801490,850513-1,"Arch. Mus. Hist. Nat.","8: 349","","1856"
