ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-293458,A,Velloziaceae,,Acanthochlamys,,"bracteata",,"","P.C.Kao",Accepted,,H,WCSP,293458,957775-1,"Pl. Classif. Res. (Chendu Inst. Biol.)","2","","1980"
kew-300127,A,Velloziaceae,,Barbacenia,,"andersonii",,"","L.B.Sm. & Ayensu",Accepted,,H,WCSP,300127,29338-2,"Smithsonian Contr. Bot.","30: 18","","1976"
kew-300129,A,Velloziaceae,,Barbacenia,,"aurea",,"","L.B.Sm. & Ayensu",Accepted,,H,WCSP,300129,29339-2,"Smithsonian Contr. Bot.","30: 36","","1976"
kew-300130,A,Velloziaceae,,Barbacenia,,"bahiana",,"","L.B.Sm.",Accepted,,H,WCSP,300130,29340-2,"Contr. U. S. Natl. Herb.","35: 284","","1962"
kew-300131,A,Velloziaceae,,Barbacenia,,"beauverdii",,"","Damazio",Accepted,,H,WCSP,300131,29341-2,"Bull. Herb. Boissier","II, 7: 595","","1907"
kew-300134,A,Velloziaceae,,Barbacenia,,"bishopii",,"","L.B.Sm.",Accepted,,H,WCSP,300134,273068-2,"Bradea","4: 157","","1985"
kew-300135,A,Velloziaceae,,Barbacenia,,"blackii",,"","L.B.Sm.",Accepted,,H,WCSP,300135,29343-2,"Contr. U. S. Natl. Herb.","35: 283","","1962"
kew-300136,A,Velloziaceae,,Barbacenia,,"blanchetii",,"","Goethart & Henrard",Accepted,,H,WCSP,300136,29344-2,"Blumea","2: 339","","1937"
kew-300138,A,Velloziaceae,,Barbacenia,,"brachycalyx",,"","Goethart & Henrard",Accepted,,H,WCSP,300138,29346-2,"Blumea","2: 340","","1937"
kew-300139,A,Velloziaceae,,Barbacenia,,"brasiliensis",,"","Willd.",Accepted,,H,WCSP,300139,63152-1,"Sp. Pl.","2: 227","","1799"
kew-300140,A,Velloziaceae,,Barbacenia,,"brevifolia",,"","Taub.",Accepted,,H,WCSP,300140,29347-2,"Bot. Jahrb. Syst.","12(27): 2","","1890"
kew-300142,A,Velloziaceae,,Barbacenia,,"burle-marxii",,"","L.B.Sm. & Ayensu",Accepted,,H,WCSP,300142,29349-2,"Smithsonian Contr. Bot.","30: 15","","1976"
kew-300144,A,Velloziaceae,,Barbacenia,,"caricina",,"","Goethart & Henrard",Accepted,,H,WCSP,300144,29350-2,"Blumea","2: 340","","1937"
kew-300146,A,Velloziaceae,,Barbacenia,,"celiae",,"","Maguire",Accepted,,H,WCSP,300146,29352-2,"Mem. New York Bot. Gard.","18(2): 33","","1969"
