ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-1470,A,Verbenaceae,,Acantholippia,,"deserticola",,"","(Phil.) Moldenke",Accepted,,H,WCSP,1470,1661-2,"Lilloa","5: 370","","1940"
kew-1473,A,Verbenaceae,,Acantholippia,,"riojana",,"","Hieron. ex Moldenke",Accepted,,H,WCSP,1473,1662-2,"Phytologia","3: 106","","1949"
kew-1474,A,Verbenaceae,,Acantholippia,,"salsoloides",,"","Griseb.",Accepted,,H,WCSP,1474,860788-1,"Abh. Königl. Ges. Wiss. Göttingen","19: 244","","1874"
kew-1475,A,Verbenaceae,,Acantholippia,,"seriphioides",,"","(A.Gray) Moldenke",Accepted,,H,WCSP,1475,1663-2,"Lilloa","5: 370","","1940"
kew-1476,A,Verbenaceae,,Acantholippia,,"tarapacana",,"","Botta",Accepted,,H,WCSP,1476,1664-2,"Hickenia","1(35): 197","","1979"
kew-1477,A,Verbenaceae,,Acantholippia,,"trifida",,"","(Gay) Moldenke",Accepted,,H,WCSP,1477,1665-2,"Lilloa","5: 371","","1940"
kew-1479,A,Verbenaceae,,Acantholippia,,"trifida",var.,"trifida","",Accepted,,L,WCSP,1479,,"Unknown","","",""
kew-6873,A,Verbenaceae,,Aloysia,,"aloysioides",,"","Loes. & Molenke",Accepted,,H,WCSP,6873,,"Phytologia","2: 9","","1941"
kew-6874,A,Verbenaceae,,Aloysia,,"arcuifolia",,"","G.L.Nesom",Accepted,,H,WCSP,6874,271965-2,"Phytologia","70: 145","","1991"
kew-456247,A,Verbenaceae,,Aloysia,,"axillaris",,"","J.R.I.Wood",Accepted,,H,WCSP,456247,77102888-1,"Kew Bull.","64: 521","","2009"
kew-6876,A,Verbenaceae,,Aloysia,,"ayacuchensis",,"","Moldenke",Accepted,,H,WCSP,6876,9622-2,"Phytologia","6: 256, 323","","1958"
kew-6877,A,Verbenaceae,,Aloysia,,"barbata",,"","(Brandegee) Moldenke",Accepted,,H,WCSP,6877,861041-1,"Phytologia","1: 416","","1940"
kew-6880,A,Verbenaceae,,Aloysia,,"beckii",,"","Moldenke",Accepted,,H,WCSP,6880,9625-2,"Phytologia","52: 18","","1982"
kew-6881,A,Verbenaceae,,Aloysia,,"boliviensis",,"","Moldenke",Accepted,,H,WCSP,6881,9626-2,"Phytologia","53: 460","","1983"
kew-6882,A,Verbenaceae,,Aloysia,,"brasiliensis",,"","Moldenke",Accepted,,H,WCSP,6882,9627-2,"Phytologia","3: 162","","1949"
kew-6883,A,Verbenaceae,,Aloysia,,"casadensis",,"","Hassl. & Moldenke",Accepted,,H,WCSP,6883,861043-1,"Phytologia","3: 107","","1949"
kew-6884,A,Verbenaceae,,Aloysia,,"castellanosii",,"","Moldenke",Accepted,,H,WCSP,6884,9628-2,"Lilloa","5: 372","","1940"
kew-6886,A,Verbenaceae,,Aloysia,,"catamarcensis",,"","Moldenke",Accepted,,H,WCSP,6886,9630-2,"Known Geogr. Distr. Verbenac. Avicenn.","76","","1942"
kew-6889,A,Verbenaceae,,Aloysia,,"chamaedryfolia",,"","Cham.",Accepted,,H,WCSP,6889,328956-2,"Linnaea","7: 234","","1832"
