ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2615353,A,Violaceae,,Acentra,,"serrata",,"","Phil.",Accepted,,M,WCSP (in review),739224,866187-1,"Sert. Mend. Alt.","3","","1871"
kew-2625547,A,Violaceae,,Agatea,,"lecointei",,"","Munzinger",Accepted,,M,WCSP (in review),749395,20000212-1,"Bot. J. Linn. Soc.","137: 93","","2001"
kew-2625548,A,Violaceae,,Agatea,,"longipedicellata",,"","(Baker f.) Guillaumin & Thorne",Accepted,,M,WCSP (in review),749396,866189-1,"Vasc. Pl. Coll. R.F.Thorne N. Caled.","38","","1965"
kew-2625549,A,Violaceae,,Agatea,,"macrobotrys",,"","K.Schum. & Lauterb.",Accepted,,M,WCSP (in review),749397,866190-1,"Fl. Schutzgeb. Südsee","453","","1900"
kew-2625550,A,Violaceae,,Agatea,,"pancheri",,"","(Brongn.) K.Schum. ex Melch.",Accepted,,M,WCSP (in review),749398,,"Nat. Pflanzenfam. ed. 2","21: 361","","1925"
kew-2625551,A,Violaceae,,Agatea,,"rufotomentosa",,"","(Baker f.) Munzinger",Accepted,,M,WCSP (in review),749399,20001720-1,"Bot. J. Linn. Soc.","137: 95","","2001"
kew-2625553,A,Violaceae,,Agatea,,"schlechteri",,"","Melch.",Accepted,,M,WCSP (in review),749401,866192-1,"Nat. Pflanzenfam. ed. 2","21: 361","","1925"
kew-2625554,A,Violaceae,,Agatea,,"veillonii",,"","Munzinger",Accepted,,M,WCSP (in review),749402,20000211-1,"Bot. J. Linn. Soc.","137: 91","","2001"
kew-2625556,A,Violaceae,,Agatea,,"violaris",,"","A.Gray",Accepted,,M,WCSP (in review),749404,,"U.S. Expl. Exped., Phan.","1: 619","","1854"
kew-2628607,A,Violaceae,,Allexis,,"batangae",,"","(Engl.) Melch.",Accepted,,M,WCSP (in review),752433,866204-1,"Notizbl. Bot. Gart. Berlin-Dahlem","8: 655","","1924"
