ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2668151,A,Vivianiaceae,,Balbisia,,"aphanifolia",,"","(Griseb.) Hunz. & Ariza",Accepted,,M,WCSP (in review),791728,28794-2,"Kurtziana","7: 238","","1973"
kew-2668153,A,Vivianiaceae,,Balbisia,,"calycina",,"","(Griseb.) Hunz. & Ariza",Accepted,,M,WCSP (in review),791730,28796-2,"Kurtziana","7: 238","","1973"
kew-2668154,A,Vivianiaceae,,Balbisia,,"gracilis",,"","(Meyen) Hunz. & Ariza",Accepted,,M,WCSP (in review),791731,28798-2,"Kurtziana","7: 238","","1973"
kew-2668155,A,Vivianiaceae,,Balbisia,,"integrifolia",,"","R.Knuth",Accepted,,M,WCSP (in review),791732,28799-2,"Pflanzenr.","IV, 129: 558","","1912"
kew-2668156,A,Vivianiaceae,,Balbisia,,"meyeniana",,"","Klotzsch",Accepted,,M,WCSP (in review),791733,371877-1,"Linnaea","10: 432","","1836"
kew-2668157,A,Vivianiaceae,,Balbisia,,"microphylla",,"","(Phil.) Reiche",Accepted,,L,WCSP (in review),791734,28800-2,"Fl. Chile","1: 294","","1896"
kew-2668158,A,Vivianiaceae,,Balbisia,,"miniata",,"","(I.M.Johnst.) Descole, O'Donell & Lourteig",Accepted,,M,WCSP (in review),791735,28801-2,"Lilloa","4: 204","","1939"
kew-2668159,A,Vivianiaceae,,Balbisia,,"miniata",var.,"anomala","Ariza & Novara",Accepted,,L,WCSP (in review),791736,,"Bol. Soc. Argent. Bot.","38: 345","","2003 publ. 2004"
kew-2668160,A,Vivianiaceae,,Balbisia,,"peduncularis",,"","(Lindl.) D.Don",Accepted,,M,WCSP (in review),791737,371880-1,"Edinburgh New Philos. J.","11: 277","","1831"
kew-2668161,A,Vivianiaceae,,Balbisia,,"stitchkinii",,"","Ricardi",Accepted,,M,WCSP (in review),791738,28802-2,"Bol. Soc. Argent. Bot.","7: 24","","1957"
kew-2668162,A,Vivianiaceae,,Balbisia,,"verticillata",,"","Cav.",Accepted,,M,WCSP (in review),791739,371882-1,"Anales Ci. Nat.","7: 62","","1804"
kew-2668163,A,Vivianiaceae,,Balbisia,,"weberbaueri",,"","R.Knuth",Accepted,,M,WCSP (in review),791740,28803-2,"Pflanzenr.","IV, 129: 557","","1912"
kew-2722106,A,Vivianiaceae,,Cissarobryon,,"elegans",,"","Poepp.",Accepted,,M,WCSP (in review),844192,372063-1,"Fragm. Syn. Pl.","29","","1833"
tro-13900218,A,Vivianiaceae,,Rhynchotheca,,"spinosa",,"","Ruiz & Pav.",Accepted,,M,TRO,13900218,377272-1,"Syst. Veg. Fl. Peruv. Chil.","1: 142","142","1798"
tro-13900758,A,Vivianiaceae,,Viviania,,"crenata",,"","G. Don",Accepted,,M,TRO,13900758,377517-1,"","","",""
tro-13900759,A,Vivianiaceae,,Viviania,,"marifolia",,"","Cav.",Accepted,,M,TRO,13900759,266245-2,"Anales Ci. Nat.","7: 212, pl. 49","212","1804"
kew-2457845,A,Vivianiaceae,,Viviania,,"ovata",,"","Phil.",Accepted,,M,WCSP (in review),586199,377531-1,"Linnaea","28: 677","","1858"
kew-2466493,A,Vivianiaceae,,Wendtia,,"gracilis",,"","Meyen",Accepted,,M,WCSP (in review),594826,,"Observ. Bot.","1: 308","","1834"
