ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2692827,A,Vochysiaceae,,Callisthene,,"dryadum",,"","Duarte",Accepted,,M,WCSP (in review),816126,42475-2,"Rodriguésia","23-24: 56","","1962"
kew-2692831,A,Vochysiaceae,,Callisthene,,"fasciculata",,"","Mart.",Accepted,,M,WCSP (in review),816130,870827-1,"Nov. Gen. Sp. Pl.","1: 126","","1826"
kew-2692834,A,Vochysiaceae,,Callisthene,,"inundata",,"","O.L.Bueno, A.D.Nilson & R.G.Magalh.",Accepted,,M,WCSP (in review),816133,320709-2,"Iheringia, Bot.","53: 104","","2000"
kew-2692836,A,Vochysiaceae,,Callisthene,,"major",,"","Mart.",Accepted,,M,WCSP (in review),816135,870830-1,"Nov. Gen. Sp. Pl.","1: 124","","1826"
kew-2692837,A,Vochysiaceae,,Callisthene,,"major",var.,"pilosa","Warm.",Accepted,,L,WCSP (in review),816136,42479-2,"Fl. Bras.","13(2): 26","","1875"
kew-2692838,A,Vochysiaceae,,Callisthene,,"microphylla",,"","Warm.",Accepted,,M,WCSP (in review),816137,870831-1,"Fl. Bras.","13(2): 28","","1875"
kew-2692839,A,Vochysiaceae,,Callisthene,,"minor",,"","Mart.",Accepted,,M,WCSP (in review),816138,870832-1,"Nov. Gen. Sp. Pl.","2: 126","","1827"
kew-2692840,A,Vochysiaceae,,Callisthene,,"mollissima",,"","Warm.",Accepted,,M,WCSP (in review),816139,870833-1,"Fl. Bras.","13(2): 26","","1875"
kew-2797605,A,Vochysiaceae,,Erisma,,"arietinum",,"","M.L.Kawas.",Accepted,,M,WCSP (in review),917203,1004124-1,"Mem. New York Bot. Gard.","81: 21","","1998"
kew-2797606,A,Vochysiaceae,,Erisma,,"bicolor",,"","Ducke",Accepted,,M,WCSP (in review),917204,95991-2,"Bull. Mus. Natl. Hist. Nat.","II, 4: 740","","1932"
kew-2797607,A,Vochysiaceae,,Erisma,,"bicolor",var.,"macrophyllum","(Ducke) Stafleu",Accepted,,L,WCSP (in review),917205,95992-2,"Acta Bot. Neerl.","3: 465","","1954"
kew-2797608,A,Vochysiaceae,,Erisma,,"blancoa",,"","Marc.-Berti",Accepted,,M,WCSP (in review),917206,276816-2,"Pittieria","13: 12","","1986"
