ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
tro-100354488,A,Winteraceae,,Bubbia,,"howeana",,"","(F. Muell.) Tiegh.",Accepted,,M,TRO,100354488,,"","","",""
kew-2777888,A,Winteraceae,,Drimys,,"andina",,"","(Reiche) R.A.Rodr. & Quezada",Accepted,,M,WCSP (in review),897721,1079324-2,"Gayana, Bot.","48: 112","","1991"
kew-2777890,A,Winteraceae,,Drimys,,"angustifolia",,"","Miers",Accepted,,M,WCSP (in review),897723,554370-1,"Ann. Mag. Nat. Hist.","III, 2: 446","","1858"
kew-2777899,A,Winteraceae,,Drimys,,"brasiliensis",,"","Miers",Accepted,,M,WCSP (in review),897732,554377-1,"Ann. Mag. Nat. Hist.","III, 2: 47","","1858"
kew-2777905,A,Winteraceae,,Drimys,,"brasiliensis",subsp.,"subalpina","Ehrend., Silberb.-Gottsb. & Gottsb.",Accepted,,L,WCSP (in review),897738,84096-2,"Pl. Syst. Evol.","132: 75","","1979"
kew-2777906,A,Winteraceae,,Drimys,,"brasiliensis",subsp.,"sylvatica","(A.St.-Hil.) Ehrend., Silberb.-Gottsb. & Gottsb.",Accepted,,L,WCSP (in review),897739,84097-2,"Pl. Syst. Evol.","132: 73","","1979"
kew-2777915,A,Winteraceae,,Drimys,,"confertifolia",,"","Phil.",Accepted,,M,WCSP (in review),897748,84099-2,"Anales Univ. Chile","13: 163","","1856"
kew-2777925,A,Winteraceae,,Drimys,,"granadensis",,"","L.f.",Accepted,,M,WCSP (in review),897758,84100-2,"Suppl. Pl.","269","","1782"
kew-2777930,A,Winteraceae,,Drimys,,"granadensis",var.,"mexicana","(DC.) A.C.Sm.",Accepted,,L,WCSP (in review),897763,84105-2,"J. Arnold Arbor.","24: 23","","1943"
kew-2777934,A,Winteraceae,,Drimys,,"granadensis",var.,"uniflora","(Turcz.) A.C.Sm.",Accepted,,L,WCSP (in review),897767,84109-2,"J. Arnold Arbor.","24: 23","","1943"
kew-2777981,A,Winteraceae,,Drimys,,"roraimensis",,"","(A.C.Sm.) Ehrend., Silberb.-Gottsb. & Gottsb.",Accepted,,M,WCSP (in review),897814,84114-2,"Pl. Syst. Evol.","132: 72","","1979"
kew-2777998,A,Winteraceae,,Drimys,,"winteri",,"","J.R.Forst. & G.Forst.",Accepted,,M,WCSP (in review),897831,330748-2,"Char. Gen. Pl.","42","","1775"
kew-2778002,A,Winteraceae,,Drimys,,"winteri",var.,"chilensis","(DC.) A.Gray",Accepted,,L,WCSP (in review),897835,84118-2,"U.S. Expl. Exped., Phan.","1: 24","","1854"
tro-34200021,A,Winteraceae,,Exospermum,,"stipitatum",,"","(Baill.) Tiegh.",Accepted,,M,TRO,34200021,,"J. Bot. (Morot)","14: p. cxxvi. indice","p. cxxvi. indice","1900"
