ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-329629,A,Xanthorrhoeaceae,,Agrostocrinum,,"hirsutum",,"","(Lindl.) Keighery",Accepted,,H,WCSP,329629,77066087-1,"Nuytsia","15: 250","","2004"
kew-294389,A,Xanthorrhoeaceae,,Agrostocrinum,,"scabrum",,"","(R.Br.) Baill.",Accepted,,H,WCSP,294389,527301-1,"Bull. Mens. Soc. Linn. Paris","2: 1119","","1893"
kew-275376,A,Xanthorrhoeaceae,,Asphodeline,,"anatolica",,"","Tuzlaci",Accepted,,H,WCSP,275376,901520-1,"Notes Roy. Bot. Gard. Edinburgh","41: 92","","1983"
kew-275379,A,Xanthorrhoeaceae,,Asphodeline,,"baytopiae",,"","Tuzlaci",Accepted,,H,WCSP,275379,901521-1,"Notes Roy. Bot. Gard. Edinburgh","41: 86","","1983"
kew-275380,A,Xanthorrhoeaceae,,Asphodeline,,"brevicaulis",,"","(Bertol.) J.Gay ex Baker",Accepted,,H,WCSP,275380,531402-1,"J. Linn. Soc., Bot.","15: 276","","1876"
kew-312409,A,Xanthorrhoeaceae,,Asphodeline,,"brevicaulis",subsp.,"brevicaulis","",Accepted,,L,WCSP,312409,,"Unknown","","",""
kew-275382,A,Xanthorrhoeaceae,,Asphodeline,,"brevicaulis",var.,"edumea","(Zohary) Tuzlaci",Accepted,,L,WCSP,275382,,"Notes Roy. Bot. Gard. Edinburgh","41: 85","","1983"
kew-275384,A,Xanthorrhoeaceae,,Asphodeline,,"cilicica",,"","Tuzlaci",Accepted,,H,WCSP,275384,901522-1,"Notes Roy. Bot. Gard. Edinburgh","41: 93","","1983"
kew-275386,A,Xanthorrhoeaceae,,Asphodeline,,"damascena",,"","(Boiss.) Baker",Accepted,,H,WCSP,275386,531406-1,"J. Linn. Soc., Bot.","15: 276","","1876"
kew-312410,A,Xanthorrhoeaceae,,Asphodeline,,"damascena",subsp.,"damascena","",Accepted,,L,WCSP,312410,,"Unknown","","",""
kew-275393,A,Xanthorrhoeaceae,,Asphodeline,,"globifera",,"","J.Gay ex Baker",Accepted,,H,WCSP,275393,531410-1,"J. Linn. Soc., Bot.","15: 274","","1876"
kew-275396,A,Xanthorrhoeaceae,,Asphodeline,,"liburnica",,"","(Scop.) Rchb.",Accepted,,H,WCSP,275396,531413-1,"Fl. Germ. Excurs.","116","","1830"
kew-275397,A,Xanthorrhoeaceae,,Asphodeline,,"lutea",,"","(L.) Rchb.",Accepted,,H,WCSP,275397,531414-1,"Fl. Germ. Excurs.","116","","1830"
kew-275400,A,Xanthorrhoeaceae,,Asphodeline,,"peshmeniana",,"","Tuzlaci",Accepted,,H,WCSP,275400,901523-1,"Notes Roy. Bot. Gard. Edinburgh","41: 92","","1983"
kew-275401,A,Xanthorrhoeaceae,,Asphodeline,,"prismatocarpa",,"","J.Gay ex Boiss.",Accepted,,H,WCSP,275401,531417-1,"Fl. Orient.","5: 320","","1882"
kew-275402,A,Xanthorrhoeaceae,,Asphodeline,,"prolifera",,"","(M.Bieb.) Kunth",Accepted,,H,WCSP,275402,531418-1,"Enum. Pl.","4: 563","","1843"
kew-275403,A,Xanthorrhoeaceae,,Asphodeline,,"recurva",,"","Post",Accepted,,H,WCSP,275403,531419-1,"Bull. Herb. Boissier","3: 166","","1895"
kew-275406,A,Xanthorrhoeaceae,,Asphodeline,,"rigidifolia",,"","(Boiss. & Heldr.) Baker",Accepted,,H,WCSP,275406,531422-1,"J. Linn. Soc., Bot.","15: 277","","1876"
kew-275408,A,Xanthorrhoeaceae,,Asphodeline,,"sertachiae",,"","Tuzlaci",Accepted,,H,WCSP,275408,1004639-1,"Candollea","53: 424","","1998"
kew-275410,A,Xanthorrhoeaceae,,Asphodeline,,"taurica",,"","(Pall.) Endl.",Accepted,,H,WCSP,275410,941536-1,"Cat. Horti Vindob.","1: 142","","1842"
kew-275412,A,Xanthorrhoeaceae,,Asphodeline,,"tenuior",,"","(Fisch. ex M.Bieb.) Ledeb.",Accepted,,H,WCSP,275412,531426-1,"Fl. Ross.","4: 193","","1852"
kew-275414,A,Xanthorrhoeaceae,,Asphodeline,,"tenuior",subsp.,"tenuiflora","(K.Koch) Tuzlaci",Accepted,,L,WCSP,275414,,"Notes Roy. Bot. Gard. Edinburgh","41: 89","","1983"
kew-312411,A,Xanthorrhoeaceae,,Asphodeline,,"tenuior",subsp.,"tenuior","",Accepted,,L,WCSP,312411,,"Unknown","","",""
kew-275415,A,Xanthorrhoeaceae,,Asphodeline,,"turcica",,"","Tuzlaci",Accepted,,H,WCSP,275415,1004640-1,"Candollea","53: 426","","1998"
kew-275438,A,Xanthorrhoeaceae,,Asphodelus,,"acaulis",,"","Desf.",Accepted,,H,WCSP,275438,531445-1,"Fl. Atlant.","1: 302","","1798"
kew-275439,A,Xanthorrhoeaceae,,Asphodelus,,"aestivus",,"","Brot.",Accepted,,H,WCSP,275439,531446-1,"Fl. Lusit.","1: 525","","1804"
kew-275445,A,Xanthorrhoeaceae,,Asphodelus,,"albus",,"","Mill.",Accepted,,H,WCSP,275445,531456-1,"Gard. Dict. ed. 8","3","","1768"
kew-312412,A,Xanthorrhoeaceae,,Asphodelus,,"albus",subsp.,"albus","",Accepted,,L,WCSP,312412,,"Unknown","","",""
kew-275447,A,Xanthorrhoeaceae,,Asphodelus,,"albus",subsp.,"carpetanus","Z.Díaz & Valdés",Accepted,,L,WCSP,275447,,"Lagascalia","17: 274","","1994"
kew-275453,A,Xanthorrhoeaceae,,Asphodelus,,"albus",subsp.,"delphinensis","(Gren. & Godr.) Z.Díaz & Valdés",Accepted,,L,WCSP,275453,,"Boissiera","52: 95","","1996"
kew-275463,A,Xanthorrhoeaceae,,Asphodelus,,"albus",subsp.,"occidentalis","(Jord.) Z.Díaz & Valdés",Accepted,,L,WCSP,275463,,"Boissiera","52: 99","","1996"
kew-275485,A,Xanthorrhoeaceae,,Asphodelus,,"ayardii",,"","Jahand. & Maire",Accepted,,H,WCSP,275485,531465-1,"Bull. Soc. Hist. Nat. Afrique N.","16: 69","","1925"
