ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-217285,A,Xyridaceae,,Abolboda,,"abbreviata",,"","Malme",Accepted,,H,WCSP,217285,309897-2,"Ark. Bot.","19(13): 5","","1925"
kew-217286,A,Xyridaceae,,Abolboda,,"acaulis",,"","Maguire",Accepted,,H,WCSP,217286,2-2,"Bull. Torrey Bot. Club","75: 191","","1848"
kew-217289,A,Xyridaceae,,Abolboda,,"acicularis",,"","Idrobo & L.B.Sm.",Accepted,,H,WCSP,217289,3-2,"Caldasia","6: 250","","1954"
kew-217292,A,Xyridaceae,,Abolboda,,"americana",,"","(Aubl.) Lanj.",Accepted,,H,WCSP,217292,5-2,"Meded. Bot. Mus. Herb. Rijks Univ. Utrecht","41: 492","","1937"
kew-217295,A,Xyridaceae,,Abolboda,,"bella",,"","Maguire",Accepted,,H,WCSP,217295,8-2,"Mem. New York Bot. Gard.","10: 15","","1958"
kew-217299,A,Xyridaceae,,Abolboda,,"ciliata",,"","Maguire & Wurdock",Accepted,,H,WCSP,217299,,"Mem. New York Bot. Gard.","10: 17","","1958"
kew-217300,A,Xyridaceae,,Abolboda,,"dunstervillei",,"","Maguire ex Kral",Accepted,,H,WCSP,217300,305719-2,"Ann. Missouri Bot. Gard.","79: 851","","1992"
kew-217301,A,Xyridaceae,,Abolboda,,"ebracteata",,"","Maguire & Wurdock",Accepted,,H,WCSP,217301,,"Mem. New York Bot. Gard.","10: 15","","1958"
kew-217303,A,Xyridaceae,,Abolboda,,"egleri",,"","L.B.Sm. & Downs",Accepted,,H,WCSP,217303,14-2,"Proc. Biol. Soc. Wash.","73: 258","","1960"
kew-217308,A,Xyridaceae,,Abolboda,×,"glomerata",,"","Maguire",Accepted,,H,WCSP,217308,308728-2,"Mem. New York Bot. Gard.","10: 14","","1958"
kew-217310,A,Xyridaceae,,Abolboda,,"grandis",,"","Griseb.",Accepted,,H,WCSP,217310,871266-1,"Linnaea","21: 281","","1848"
kew-217312,A,Xyridaceae,,Abolboda,,"grandis",var.,"grandis","",Accepted,,L,WCSP,217312,,"Unknown","","",""
kew-217315,A,Xyridaceae,,Abolboda,,"grandis",var.,"rigida","Malme",Accepted,,L,WCSP,217315,292698-2,"Bull. Torrey Bot. Club","58: 326","","1931"
kew-343193,A,Xyridaceae,,Abolboda,,"granularis",,"","(Maguire) L.M.Campb. & Kral",Accepted,,H,WCSP,343193,60441525-2,"Harvard Pap. Bot.","10: 140","","2005"
kew-217318,A,Xyridaceae,,Abolboda,,"killipii",,"","Lasser",Accepted,,H,WCSP,217318,22-2,"Bol. Soc. Venez. Ci. Nat.","9: 178","","1944"
kew-217319,A,Xyridaceae,,Abolboda,,"linearifolia",,"","Maguire",Accepted,,H,WCSP,217319,23-2,"Mem. New York Bot. Gard.","10(1): 14","","1958"
kew-217321,A,Xyridaceae,,Abolboda,,"macrostachya",,"","Spruce ex Malme",Accepted,,H,WCSP,217321,871272-1,"Bih. Kongl. Svenska Vetensk.-Akad. Handl.","26(19): 15","","1901"
kew-217323,A,Xyridaceae,,Abolboda,,"macrostachya",var.,"macrostachya","",Accepted,,L,WCSP,217323,,"Unknown","","",""
kew-217324,A,Xyridaceae,,Abolboda,,"macrostachya",var.,"robustior","Steyerm.",Accepted,,L,WCSP,217324,27-2,"Fieldiana, Bot.","28: 104","","1951"
kew-217326,A,Xyridaceae,,Abolboda,,"neblinae",,"","Maguire",Accepted,,H,WCSP,217326,29-2,"Mem. New York Bot. Gard.","17: 80","","1967"
kew-217327,A,Xyridaceae,,Abolboda,,"paniculata",,"","Maguire",Accepted,,H,WCSP,217327,30-2,"Mem. New York Bot. Gard.","10(1): 10","","1958"
kew-217329,A,Xyridaceae,,Abolboda,,"poarchon",,"","Seub.",Accepted,,H,WCSP,217329,871277-1,"Fl. Bras.","3(1): 223","","1855"
kew-217330,A,Xyridaceae,,Abolboda,,"poarchon",var.,"intermedia","(Lyman, B.Sm. & Downs) Kral",Accepted,,L,WCSP,217330,1117240-2,"Ann. Missouri Bot. Gard.","79: 860","","1992"
kew-217332,A,Xyridaceae,,Abolboda,,"poarchon",var.,"poarchon","",Accepted,,L,WCSP,217332,,"Unknown","","",""
kew-217336,A,Xyridaceae,,Abolboda,,"pulchella",,"","Bonpl.",Accepted,,H,WCSP,217336,301012-2,"Pl. Aequinoct.","2: 114","","1813"
kew-217341,A,Xyridaceae,,Abolboda,,"scabrida",,"","Kral",Accepted,,H,WCSP,217341,311000-2,"Ann. Missouri Bot. Gard.","76: 975","","1989"
kew-217344,A,Xyridaceae,,Abolboda,,"sprucei",,"","Malme",Accepted,,H,WCSP,217344,39-2,"Ark. Bot.","25A: 12","","1933"
kew-217345,A,Xyridaceae,,Abolboda,,"uniflora",,"","Maguire",Accepted,,H,WCSP,217345,40-2,"Mem. New York Bot. Gard.","10: 12","","1958"
kew-217410,A,Xyridaceae,,Achlyphila,,"disticha",,"","Maguire & Wurdack",Accepted,,H,WCSP,217410,2399-2,"Mem. New York Bot. Gard.","10(2): 12","","1960"
kew-220788,A,Xyridaceae,,Aratitiyopea,,"lopezii",,"","(L.B.Sm.) Steyerm. & P.E.Berry",Accepted,,H,WCSP,220788,272465-2,"Ann. Missouri Bot. Gard.","71: 297","","1984"
kew-220789,A,Xyridaceae,,Aratitiyopea,,"lopezii",var.,"colombiana","(L.B.Sm.) Steyerm. & P.E.Berry",Accepted,,L,WCSP,220789,,"Ann. Missouri Bot. Gard.","71: 299","","1984"
kew-256177,A,Xyridaceae,,Orectanthe,,"ptaritepuiana",,"","(Steyerm.) Maguire",Accepted,,H,WCSP,256177,175814-2,"Mem. New York Bot. Gard.","10(1): 5","","1958"
