ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-218346,A,Zingiberaceae,,Aframomum,,"albiflorum",,"","Lock",Accepted,,H,WCSP,218346,903467-1,"Kew Bull.","39: 839","","1984"
kew-218347,A,Zingiberaceae,,Aframomum,,"alboviolaceum",,"","(Ridl.) K.Schum.",Accepted,,H,WCSP,218347,871826-1,"Pflanzenr.","IV, 46: 207","","1904"
kew-218348,A,Zingiberaceae,,Aframomum,,"alpinum",,"","(Gagnep.) K.Schum.",Accepted,,H,WCSP,218348,871827-1,"Pflanzenr.","IV, 46: 220","","1904"
kew-218349,A,Zingiberaceae,,Aframomum,,"amaniense",,"","Loes.",Accepted,,H,WCSP,218349,871828-1,"Bot. Jahrb. Syst.","43: 388","","1909"
kew-218350,A,Zingiberaceae,,Aframomum,,"angustifolium",,"","(Sonn.) K.Schum.",Accepted,,H,WCSP,218350,871829-1,"Pflanzenr.","IV, 46: 218","","1904"
kew-218351,A,Zingiberaceae,,Aframomum,,"arundinaceum",,"","(Oliv. & D.Hanb.) K.Schum.",Accepted,,H,WCSP,218351,871830-1,"Pflanzenr.","IV, 46: 218","","1904"
kew-218352,A,Zingiberaceae,,Aframomum,,"atewae",,"","Lock & J.B.Hall",Accepted,,H,WCSP,218352,871831-1,"Kew Bull.","28: 441","","1973 publ. 1974"
kew-218353,A,Zingiberaceae,,Aframomum,,"aulacocarpos",,"","Pellegr. ex Koechlin",Accepted,,H,WCSP,218353,871833-1,"in Fl. Gabon","9: 44","","1964"
kew-218357,A,Zingiberaceae,,Aframomum,,"cereum",,"","(Hook.f.) K.Schum.",Accepted,,H,WCSP,218357,871837-1,"Pflanzenr.","IV, 46: 210","","1904"
kew-218359,A,Zingiberaceae,,Aframomum,,"chrysanthum",,"","Lock",Accepted,,H,WCSP,218359,871839-1,"Bull. Jard. Bot. Natl. Belg.","48: 396","","1978"
kew-218360,A,Zingiberaceae,,Aframomum,,"citratum",,"","(C.Pereira) K.Schum.",Accepted,,H,WCSP,218360,871840-1,"Pflanzenr.","IV, 46: 214","","1904"
kew-218361,A,Zingiberaceae,,Aframomum,,"colosseum",,"","K.Schum.",Accepted,,H,WCSP,218361,871841-1,"Pflanzenr.","IV, 46: 206","","1904"
kew-218362,A,Zingiberaceae,,Aframomum,,"cordifolium",,"","Lock & J.B.Hall",Accepted,,H,WCSP,218362,871842-1,"Kew Bull.","28: 447","","1973 publ. 1974"
kew-218363,A,Zingiberaceae,,Aframomum,,"corrorima",,"","(C.Pereira) P.C.M.Jansen",Accepted,,H,WCSP,218363,908251-1,"Agric. Res. Rep. Center Agric. Publishing Doc.","1981: 906","","1981"
kew-218368,A,Zingiberaceae,,Aframomum,,"daniellii",,"","(Hook.f.) K.Schum.",Accepted,,H,WCSP,218368,871846-1,"Pflanzenr.","IV, 46: 218","","1904"
kew-218369,A,Zingiberaceae,,Aframomum,,"elegans",,"","Lock",Accepted,,H,WCSP,218369,871847-1,"Kew Bull.","35: 305","","1980"
kew-218370,A,Zingiberaceae,,Aframomum,,"elliottii",,"","(Baker) K.Schum.",Accepted,,H,WCSP,218370,,"Pflanzenr.","IV, 46: 217","","1904"
kew-218372,A,Zingiberaceae,,Aframomum,,"exscapum",,"","(Sims) Hepper",Accepted,,H,WCSP,218372,871850-1,"Kew Bull.","21: 133","","1967"
kew-218373,A,Zingiberaceae,,Aframomum,,"flavum",,"","Lock",Accepted,,H,WCSP,218373,871851-1,"Bull. Jard. Bot. Natl. Belg.","48: 394","","1978"
kew-218374,A,Zingiberaceae,,Aframomum,,"geocarpum",,"","Lock & J.B.Hall",Accepted,,H,WCSP,218374,871852-1,"Kew Bull.","28: 445","","1973 publ. 1974"
kew-218375,A,Zingiberaceae,,Aframomum,,"giganteum",,"","(Oliv. & D.Hanb.) K.Schum.",Accepted,,H,WCSP,218375,871853-1,"Pflanzenr.","IV, 46: 212","","1904"
kew-218380,A,Zingiberaceae,,Aframomum,,"kayserianum",,"","(K.Schum.) K.Schum.",Accepted,,H,WCSP,218380,871857-1,"Pflanzenr.","IV, 46: 210","","1904"
kew-218383,A,Zingiberaceae,,Aframomum,,"laurentii",,"","(De Wild. & T.Durand) K.Schum.",Accepted,,H,WCSP,218383,871861-1,"Pflanzenr.","IV, 46: 213","","1904"
kew-218384,A,Zingiberaceae,,Aframomum,,"laxiflorum",,"","Loes. ex Lock",Accepted,,H,WCSP,218384,871863-1,"Kew Bull.","31: 263","","1976"
kew-218386,A,Zingiberaceae,,Aframomum,,"leptolepis",,"","(K.Schum.) K.Schum.",Accepted,,H,WCSP,218386,871865-1,"Pflanzenr.","IV, 46: 216","","1904"
kew-218387,A,Zingiberaceae,,Aframomum,,"letestuanum",,"","Gagnep.",Accepted,,H,WCSP,218387,871866-1,"Bull. Soc. Bot. France","55: 37","","1908"
kew-218388,A,Zingiberaceae,,Aframomum,,"limbatum",,"","(Oliv. & D.Hanb.) K.Schum.",Accepted,,H,WCSP,218388,871867-1,"Pflanzenr.","IV, 46: 215","","1904"
kew-218389,A,Zingiberaceae,,Aframomum,,"longiligulatum",,"","Koechlin",Accepted,,H,WCSP,218389,871868-1,"in Fl. Cameroun","4: 46","","1965"
kew-218390,A,Zingiberaceae,,Aframomum,,"longipetiolatum",,"","Koechlin",Accepted,,H,WCSP,218390,871869-1,"in Fl. Gabon","9: 48","","1964"
kew-218391,A,Zingiberaceae,,Aframomum,,"longiscapum",,"","(Hook.f.) K.Schum.",Accepted,,H,WCSP,218391,871870-1,"Pflanzenr.","IV, 46: 212","","1904"
kew-218392,A,Zingiberaceae,,Aframomum,,"luteoalbum",,"","(K.Schum.) K.Schum.",Accepted,,H,WCSP,218392,871871-1,"Pflanzenr.","IV, 46: 216","","1904"
kew-218395,A,Zingiberaceae,,Aframomum,,"makandensis",,"","Dhetchuvi",Accepted,,H,WCSP,218395,984068-1,"Bull. Jard. Bot. Natl. Belg.","64: 197","","1995"
kew-218396,A,Zingiberaceae,,Aframomum,,"mala",,"","(K.Schum. ex Engl.) K.Schum.",Accepted,,H,WCSP,218396,871874-1,"Pflanzenr.","IV, 46: 218","","1904"
kew-218397,A,Zingiberaceae,,Aframomum,,"mannii",,"","(Oliv. & D.Hanb.) K.Schum.",Accepted,,H,WCSP,218397,871875-1,"Pflanzenr.","IV, 46: 209","","1904"
kew-218399,A,Zingiberaceae,,Aframomum,,"melegueta",,"","K.Schum.",Accepted,,H,WCSP,218399,871877-1,"Pflanzenr.","IV, 46: 204","","1904"
kew-218401,A,Zingiberaceae,,Aframomum,,"mildbraedii",,"","Loes.",Accepted,,H,WCSP,218401,871879-1,"Wiss. Erg. Deut. Zentr.-Afr. Exped., Bot.","2: 66","","1907-1908 publ. 1910"
kew-218403,A,Zingiberaceae,,Aframomum,,"orientale",,"","Lock",Accepted,,H,WCSP,218403,903468-1,"Kew Bull.","39: 837","","1984"
kew-218404,A,Zingiberaceae,,Aframomum,,"pilosum",,"","(Oliv. & D.Hanb.) K.Schum.",Accepted,,H,WCSP,218404,871882-1,"Pflanzenr.","IV, 46: 206","","1904"
kew-218405,A,Zingiberaceae,,Aframomum,,"polyanthum",,"","(K.Schum.) K.Schum.",Accepted,,H,WCSP,218405,871883-1,"Pflanzenr.","IV, 46: 207","","1904"
kew-218406,A,Zingiberaceae,,Aframomum,,"pruinosum",,"","Gagnep.",Accepted,,H,WCSP,218406,871884-1,"Bull. Soc. Bot. France","55: 38","","1908"
kew-218407,A,Zingiberaceae,,Aframomum,,"pseudostipulare",,"","Loes. & Mildbr. ex Koechlin",Accepted,,H,WCSP,218407,871886-1,"in Fl. Gabon","9: 45","","1964"
kew-218408,A,Zingiberaceae,,Aframomum,,"rostratum",,"","K.Schum.",Accepted,,H,WCSP,218408,871887-1,"Pflanzenr.","IV, 46: 215","","1904"
kew-218410,A,Zingiberaceae,,Aframomum,,"sceleratum",,"","A.Chev.",Accepted,,H,WCSP,218410,871890-1,"Bull. Soc. Bot. France","61(8): 304","","1917"
kew-218413,A,Zingiberaceae,,Aframomum,,"singulariflorum",,"","Dhetchuvi",Accepted,,H,WCSP,218413,974644-1,"Bull. Jard. Bot. Natl. Belg.","62: 181","","1993"
kew-218414,A,Zingiberaceae,,Aframomum,,"spiroligulatum",,"","Lock & A.D.Poulsen",Accepted,,H,WCSP,218414,,"Kew Bull.","52: 608","","1997"
kew-218415,A,Zingiberaceae,,Aframomum,,"stanfieldii",,"","Hepper",Accepted,,H,WCSP,218415,871895-1,"Kew Bull.","22: 462","","1968"
kew-218417,A,Zingiberaceae,,Aframomum,,"strobilaceum",,"","(Sm.) Hepper",Accepted,,H,WCSP,218417,871897-1,"Kew Bull.","21: 136","","1967"
kew-218418,A,Zingiberaceae,,Aframomum,,"subsericeum",,"","(Oliv. & D.Hanb.) K.Schum.",Accepted,,H,WCSP,218418,871898-1,"Pflanzenr.","IV, 46: 217","","1904"
kew-218419,A,Zingiberaceae,,Aframomum,,"subsericeum",subsp.,"glaucophyllum","(K.Schum.) Lock",Accepted,,L,WCSP,218419,892791-1,"Kew Bull.","35: 306","","1980"
kew-218421,A,Zingiberaceae,,Aframomum,,"sulcatum",,"","(Oliv. & D.Hanb. ex Baker) K.Schum.",Accepted,,H,WCSP,218421,871899-1,"Pflanzenr.","IV, 46: 205","","1904"
kew-218423,A,Zingiberaceae,,Aframomum,,"thonneri",,"","De Wild.",Accepted,,H,WCSP,218423,871901-1,"Études Fl. Bangala & Ubangi","209","","1911"
kew-218424,A,Zingiberaceae,,Aframomum,,"uniflorum",,"","Lock & A.D.Poulsen",Accepted,,H,WCSP,218424,997850-1,"Kew Bull.","52: 606","","1997"
kew-218426,A,Zingiberaceae,,Aframomum,,"verrucosum",,"","Lock",Accepted,,H,WCSP,218426,903469-1,"Kew Bull.","39: 838","","1984"
kew-345689,A,Zingiberaceae,,Aframomum,,"wuerthii",,"","Dhetchuvi & Eb.Fisch.",Accepted,,H,WCSP,345689,77077723-1,"Syst. Geogr. Pl.","76: 241","","2006"
kew-218427,A,Zingiberaceae,,Aframomum,,"zambesiacum",,"","(Baker) K.Schum.",Accepted,,H,WCSP,218427,871903-1,"Pflanzenr.","IV, 46: 206","","1904"
kew-218630,A,Zingiberaceae,,Alpinia,,"abundiflora",,"","Burtt & R.M.Sm.",Accepted,,H,WCSP,218630,871905-1,"Notes Roy. Bot. Gard. Edinburgh","34: 179","","1975"
kew-218632,A,Zingiberaceae,,Alpinia,,"acuminata",,"","R.M.Sm.",Accepted,,H,WCSP,218632,941261-1,"Edinburgh J. Bot.","47: 63","","1990"
kew-218633,A,Zingiberaceae,,Alpinia,,"aenea",,"","B.L.Burtt & R.M.Sm.",Accepted,,H,WCSP,218633,871906-1,"Notes Roy. Bot. Gard. Edinburgh","32: 42","","1972"
kew-218641,A,Zingiberaceae,,Alpinia,,"albipurpurea",,"","(P.Royen) R.M.Sm.",Accepted,,H,WCSP,218641,947865-1,"Edinburgh J. Bot.","47: 64","","1990"
kew-218643,A,Zingiberaceae,,Alpinia,,"alpina",,"","(Elmer) R.M.Sm. ex M.F.Newman, Lhuillier & A.D.Poulsen",Accepted,,H,WCSP,218643,,"Blumea, Suppl.","16: 7","","2004"
kew-218644,A,Zingiberaceae,,Alpinia,,"amentacea",,"","R.M.Sm.",Accepted,,H,WCSP,218644,960293-1,"Edinburgh J. Bot.","48: 351","","1991"
kew-218650,A,Zingiberaceae,,Alpinia,,"apoensis",,"","Elmer",Accepted,,H,WCSP,218650,871909-1,"Leafl. Philipp. Bot.","8: 2888","","1915"
kew-218651,A,Zingiberaceae,,Alpinia,,"aquatica",,"","(Retz.) Roscoe",Accepted,,H,WCSP,218651,795202-1,"Trans. Linn. Soc. London","8: 346","","1807"
kew-218652,A,Zingiberaceae,,Alpinia,,"arctiflora",,"","(F.Muell.) Benth.",Accepted,,H,WCSP,218652,104365-3,"Fl. Austral.","6: 266","","1873"
kew-218653,A,Zingiberaceae,,Alpinia,,"arfakensis",,"","K.Schum.",Accepted,,H,WCSP,218653,795204-1,"Bot. Jahrb. Syst.","37: 296","","1899"
kew-218656,A,Zingiberaceae,,Alpinia,,"argentea",,"","(B.L.Burtt & R.M.Sm.) R.M.Sm.",Accepted,,H,WCSP,218656,909972-1,"Bot. J. Linn. Soc.","85: 69","","1982"
kew-218658,A,Zingiberaceae,,Alpinia,,"arundelliana",,"","(F.M.Bailey) K.Schum.",Accepted,,H,WCSP,218658,104392-3,"Pflanzenr.","IV, 46: 318","","1904"
kew-218659,A,Zingiberaceae,,Alpinia,,"assimilis",,"","Ridl.",Accepted,,H,WCSP,218659,795207-1,"J. Straits Branch Roy. Asiat. Soc.","32: 166","","1899"
kew-218660,A,Zingiberaceae,,Alpinia,,"athroantha",,"","Valeton",Accepted,,H,WCSP,218660,871910-1,"Nova Guinea","8: 952","","1913"
kew-218664,A,Zingiberaceae,,Alpinia,,"bambusifolia",,"","C.F.Liang & D.Fang",Accepted,,H,WCSP,218664,871912-1,"Acta Phytotax. Sin.","16(4): 77","","1978"
kew-218665,A,Zingiberaceae,,Alpinia,,"beamanii",,"","R.M.Sm.",Accepted,,H,WCSP,218665,936725-1,"Notes Roy. Bot. Gard. Edinburgh","45: 341","","1988 publ. 1989"
kew-218666,A,Zingiberaceae,,Alpinia,,"biakensis",,"","R.M.Sm.",Accepted,,H,WCSP,218666,871913-1,"Notes Roy. Bot. Gard. Edinburgh","35: 205","","1977"
kew-218669,A,Zingiberaceae,,Alpinia,,"bilamellata",,"","Makino",Accepted,,H,WCSP,218669,795211-1,"Bot. Mag. (Tokyo)","1: 51","","1902"
kew-218677,A,Zingiberaceae,,Alpinia,,"bodenii",,"","R.M.Sm.",Accepted,,H,WCSP,218677,941264-1,"Edinburgh J. Bot.","47: 64","","1990"
kew-218678,A,Zingiberaceae,,Alpinia,,"boia",,"","Seem.",Accepted,,H,WCSP,218678,795215-1,"Fl. Vit.","290","","1868"
kew-218679,A,Zingiberaceae,,Alpinia,,"boninsimensis",,"","Makino",Accepted,,H,WCSP,218679,795216-1,"Bot. Mag. (Tokyo)","16: 52","","1902"
kew-218681,A,Zingiberaceae,,Alpinia,,"borraginoides",,"","K.Schum.",Accepted,,H,WCSP,218681,795218-1,"Pflanzenr.","IV, 46: 344","","1904"
kew-218682,A,Zingiberaceae,,Alpinia,,"brachyantha",,"","Merr.",Accepted,,H,WCSP,218682,871917-1,"Philipp. J. Sci., C","10: 296","","1915"
kew-218687,A,Zingiberaceae,,Alpinia,,"brevilabris",,"","C.Presl",Accepted,,H,WCSP,218687,795222-1,"Reliq. Haenk.","1: 110","","1827"
kew-218688,A,Zingiberaceae,,Alpinia,,"breviligulata",,"","(Gagnep.) Gagnep.",Accepted,,H,WCSP,218688,1007414-1,"Fl. Indo-Chine","6: 88","","1908"
kew-218689,A,Zingiberaceae,,Alpinia,,"brevis",,"","T.L.Wu & S.J.Chen",Accepted,,H,WCSP,218689,871920-1,"Acta Phytotax. Sin.","16(4): 36","","1978"
kew-218693,A,Zingiberaceae,,Alpinia,,"caerulea",,"","(R.Br.) Benth.",Accepted,,H,WCSP,218693,795224-1,"Fl. Austral.","6: 265","","1873"
kew-218695,A,Zingiberaceae,,Alpinia,,"calcarata",,"","(Haw.) Roscoe",Accepted,,H,WCSP,218695,795225-1,"Trans. Linn. Soc. London","8: 347","","1807"
kew-218698,A,Zingiberaceae,,Alpinia,,"calcicola",,"","Q.B.Nguyen & M.F.Newman",Accepted,,H,WCSP,218698,1016910-1,"Gard. Bull. Singapore","52: 211","","2000"
kew-218699,A,Zingiberaceae,,Alpinia,,"calycodes",,"","K.Schum.",Accepted,,H,WCSP,218699,795226-1,"Bot. Jahrb. Syst.","27: 295","","1899"
kew-218702,A,Zingiberaceae,,Alpinia,,"capitellata",,"","Jack",Accepted,,H,WCSP,218702,795228-1,"Malayan Misc.","2(7): 4","","1822"
kew-218706,A,Zingiberaceae,,Alpinia,,"carinata",,"","Valeton",Accepted,,H,WCSP,218706,871925-1,"Nova Guinea","8: 945","","1913"
kew-218708,A,Zingiberaceae,,Alpinia,,"carolinensis",,"","Koidz.",Accepted,,H,WCSP,218708,871926-1,"Bot. Mag. (Tokyo)","31: 233","","1917"
kew-218710,A,Zingiberaceae,,Alpinia,,"celebica",,"","K.Schum.",Accepted,,H,WCSP,218710,795234-1,"Pflanzenr.","IV, 46: 362","","1904"
kew-218712,A,Zingiberaceae,,Alpinia,,"chaunocolea",,"","K.Schum.",Accepted,,H,WCSP,218712,795236-1,"Bot. Jahrb. Syst.","27: 292","","1899"
kew-218713,A,Zingiberaceae,,Alpinia,,"chinensis",,"","(Retz.) Roscoe",Accepted,,H,WCSP,218713,795237-1,"Trans. Linn. Soc. London","8: 346","","1807"
kew-218714,A,Zingiberaceae,,Alpinia,,"chrysogynia",,"","(K.Schum.) K.Schum.",Accepted,,H,WCSP,218714,795238-1,"Pflanzenr.","IV, 46: 365","","1904"
kew-218715,A,Zingiberaceae,,Alpinia,,"chrysorachis",,"","K.Schum.",Accepted,,H,WCSP,218715,795239-1,"Bot. Jahrb. Syst.","37: 283","","1904"
kew-218717,A,Zingiberaceae,,Alpinia,,"coeruleoviridis",,"","K.Schum.",Accepted,,H,WCSP,218717,795241-1,"Bot. Jahrb. Syst.","27: 293","","1899"
kew-218722,A,Zingiberaceae,,Alpinia,,"conchigera",,"","Griff.",Accepted,,H,WCSP,218722,795246-1,"Not. Pl. Asiat.","3: 424","","1851"
kew-218723,A,Zingiberaceae,,Alpinia,,"condensata",,"","Valeton",Accepted,,H,WCSP,218723,871927-1,"Nova Guinea","8: 953","","1913"
kew-218724,A,Zingiberaceae,,Alpinia,,"conferta",,"","B.L.Burtt & R.M.Sm.",Accepted,,H,WCSP,218724,871928-1,"Notes Roy. Bot. Gard. Edinburgh","32: 40","","1972"
kew-218725,A,Zingiberaceae,,Alpinia,,"congesta",,"","Elmer",Accepted,,H,WCSP,218725,871929-1,"Leafl. Philipp. Bot.","8: 2968","","1919"
kew-218726,A,Zingiberaceae,,Alpinia,,"conghuaensis",,"","J.P.Liao & T.L.Wu",Accepted,,H,WCSP,218726,1018246-1,"Acta Phytotax. Sin.","38: 563","","2000"
kew-218727,A,Zingiberaceae,,Alpinia,,"conglomerata",,"","R.M.Sm.",Accepted,,H,WCSP,218727,871930-1,"Notes Roy. Bot. Gard. Edinburgh","36: 277","","1978"
kew-218728,A,Zingiberaceae,,Alpinia,,"copelandii",,"","Ridl.",Accepted,,H,WCSP,218728,871931-1,"Philipp. J. Sci., C","4: 184","","1909"
kew-218731,A,Zingiberaceae,,Alpinia,,"coriacea",,"","T.L.Wu & S.J.Chen",Accepted,,H,WCSP,218731,871933-1,"Acta Phytotax. Sin.","16(3): 31","","1978"
kew-218732,A,Zingiberaceae,,Alpinia,,"coriandriodora",,"","D.Fang",Accepted,,H,WCSP,218732,871934-1,"Acta Phytotax. Sin.","16(4): 79","","1978"
kew-218733,A,Zingiberaceae,,Alpinia,,"corneri",,"","(Holttum) R.M.Sm.",Accepted,,H,WCSP,218733,947866-1,"Edinburgh J. Bot.","47: 65","","1990"
kew-218738,A,Zingiberaceae,,Alpinia,,"cumingii",,"","K.Schum.",Accepted,,H,WCSP,218738,795251-1,"Pflanzenr.","IV, 46: 315","","1904"
kew-218739,A,Zingiberaceae,,Alpinia,,"cylindrocephala",,"","K.Schum.",Accepted,,H,WCSP,218739,795252-1,"Bot. Jahrb. Syst.","27: 297","","1899"
kew-218741,A,Zingiberaceae,,Alpinia,,"dasystachys",,"","Valeton",Accepted,,H,WCSP,218741,871937-1,"Nova Guinea","8: 946","","1913"
kew-218744,A,Zingiberaceae,,Alpinia,,"dekockii",,"","Valeton",Accepted,,H,WCSP,218744,871938-1,"Nova Guinea","8: 949","","1913"
kew-218745,A,Zingiberaceae,,Alpinia,,"densibracteata",,"","T.L.Wu & S.J.Chen",Accepted,,H,WCSP,218745,871940-1,"Acta Phytotax. Sin.","16(3): 32","","1978"
kew-218746,A,Zingiberaceae,,Alpinia,,"densiflora",,"","K.Schum.",Accepted,,H,WCSP,218746,795256-1,"Bot. Jahrb. Syst.","27: 292","","1899"
kew-218750,A,Zingiberaceae,,Alpinia,,"denticulata",,"","(Ridl.) Holttum",Accepted,,H,WCSP,218750,871942-1,"Gard. Bull. Singapore","13: 143","","1950"
kew-218751,A,Zingiberaceae,,Alpinia,,"diffissa",,"","Roscoe",Accepted,,H,WCSP,218751,795258-1,"Trans. Linn. Soc. London","11: 281","","1815"
kew-218753,A,Zingiberaceae,,Alpinia,,"divaricata",,"","Valeton",Accepted,,H,WCSP,218753,871944-1,"Nova Guinea","8: 950","","1913"
kew-218754,A,Zingiberaceae,,Alpinia,,"diversifolia",,"","(Elmer) Elmer",Accepted,,H,WCSP,218754,,"Leafl. Philipp. Bot.","8: 2991","","1919"
kew-218756,A,Zingiberaceae,,Alpinia,,"domatifera",,"","Valeton",Accepted,,H,WCSP,218756,871946-1,"Nova Guinea","8: 955","","1913"
kew-218757,A,Zingiberaceae,,Alpinia,,"dyeri",,"","K.Schum.",Accepted,,H,WCSP,218757,795259-1,"Pflanzenr.","IV, 46: 349","","1904"
kew-218760,A,Zingiberaceae,,Alpinia,,"elegans",,"","(C.Presl) K.Schum.",Accepted,,H,WCSP,218760,795261-1,"Bot. Jahrb. Syst.","27: 288","","1899"
kew-218761,A,Zingiberaceae,,Alpinia,,"elmeri",,"","R.M.Sm.",Accepted,,H,WCSP,218761,941265-1,"Edinburgh J. Bot.","47: 64","","1990"
kew-218763,A,Zingiberaceae,,Alpinia,,"emaculata",,"","S.Q.Tong",Accepted,,H,WCSP,218763,937723-1,"Acta Phytotax. Sin.","27: 285","","1989"
kew-218766,A,Zingiberaceae,,Alpinia,,"eremochlamys",,"","K.Schum.",Accepted,,H,WCSP,218766,795264-1,"Bot. Jahrb. Syst.","27: 288","","1899"
