ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-284458,A,Zosteraceae,,Phyllospadix,,"iwatensis",,"","Makino",Accepted,,H,WCSP,284458,699622-1,"J. Jap. Bot.","7: 15","","1931"
kew-308459,A,Zosteraceae,,Phyllospadix,,"japonicus",,"","Makino",Accepted,,H,WCSP,308459,603096-1,"Bot. Mag. (Tokyo)","11: 137","","1897"
kew-285434,A,Zosteraceae,,Phyllospadix,,"juzepczukii",,"","Tzvelev",Accepted,,H,WCSP,285434,898406-1,"Novosti Sist. Vyssh. Rast.","18: 55","","1981"
kew-308460,A,Zosteraceae,,Phyllospadix,,"scouleri",,"","Hook.",Accepted,,H,WCSP,308460,603097-1,"Fl. Bor.-Amer.","2: 171","","1838"
kew-308461,A,Zosteraceae,,Phyllospadix,,"serrulatus",,"","Rupr. ex Asch.",Accepted,,H,WCSP,308461,603098-1,"Linnaea","35: 169","","1868"
kew-293407,A,Zosteraceae,,Phyllospadix,,"torreyi",,"","S.Watson",Accepted,,H,WCSP,293407,603099-1,"Proc. Amer. Acad. Arts","14: 303","","1879"
kew-309031,A,Zosteraceae,,Zostera,,"angustifolia",,"","(Hornem.) Rchb.",Accepted,,H,WCSP,309031,603610-1,"Icon. Fl. Germ. Helv.","7: 3","","1845"
kew-291821,A,Zosteraceae,,Zostera,,"asiatica",,"","Miki",Accepted,,H,WCSP,291821,699873-1,"Bot. Mag. (Tokyo)","46: 776","","1932"
kew-291818,A,Zosteraceae,,Zostera,,"caespitosa",,"","Miki",Accepted,,H,WCSP,291818,699874-1,"Bot. Mag. (Tokyo)","46: 780","","1932"
kew-291817,A,Zosteraceae,,Zostera,,"capensis",,"","Setch.",Accepted,,H,WCSP,291817,699875-1,"Proc. Natl. Acad. U.S.A.","19: 815","","1933"
kew-291938,A,Zosteraceae,,Zostera,,"capricorni",,"","Asch.",Accepted,,H,WCSP,291938,873080-1,"Sitzungsber. Ges. Naturf. Freunde Berlin","1876: 11","","1876"
kew-291816,A,Zosteraceae,,Zostera,,"caulescens",,"","Miki",Accepted,,H,WCSP,291816,699876-1,"Bot. Mag. (Tokyo)","46: 779","","1932"
kew-291822,A,Zosteraceae,,Zostera,,"japonica",,"","Asch. & Graebn.",Accepted,,H,WCSP,291822,699880-1,"Pflanzenr.","IV, 11: 32","","1907"
kew-309037,A,Zosteraceae,,Zostera,,"marina",,"","L.",Accepted,,H,WCSP,309037,603618-1,"Sp. Pl.","968","","1753"
kew-291937,A,Zosteraceae,,Zostera,,"mucronata",,"","Hartog",Accepted,,H,WCSP,291937,873081-1,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2","59(1): 91","","1970"
kew-309041,A,Zosteraceae,,Zostera,,"muelleri",,"","Irmisch ex Asch.",Accepted,,H,WCSP,309041,603622-1,"Linnaea","35: 168","","1867"
kew-309045,A,Zosteraceae,,Zostera,,"noltii",,"","Hornem.",Accepted,,H,WCSP,309045,603626-1,"Fl. Dan.","12(35): 1, t. 2041","","1832"
kew-291827,A,Zosteraceae,,Zostera,,"novazelandica",,"","Setch.",Accepted,,H,WCSP,291827,699881-1,"Proc. Natl. Acad. U.S.A.","19: 816","","1933"
kew-309053,A,Zosteraceae,,Zostera,,"tasmanica",,"","M.Martens ex Asch.",Accepted,,H,WCSP,309053,271346-2,"Sitzungsber. Ges. Naturf. Freunde Berlin","1867: 15","","1867"
