ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2666238,A,Zygophyllaceae,,Augea,,"capensis",,"","Thunb.",Accepted,,M,WCSP (in review),789872,873100-1,"Prodr. Pl. Cap.","80","","1794"
kew-19437,A,Zygophyllaceae,,Balanites,,"aegyptiaca",,"","(L.) Delile",Accepted,,H,WCSP,19437,813589-1,"Descr. Egypte, Hist. Nat.","221","","1813"
kew-19438,A,Zygophyllaceae,,Balanites,,"aegyptiaca",var.,"aegyptiaca","",Accepted,,L,WCSP,19438,,"Unknown","","",""
kew-19440,A,Zygophyllaceae,,Balanites,,"aegyptiaca",var.,"ferox","(Poir.) DC.",Accepted,,L,WCSP,19440,,"Prodr.","1: 708","","1824"
kew-19443,A,Zygophyllaceae,,Balanites,,"aegyptiaca",var.,"pallida","Sands",Accepted,,L,WCSP,19443,,"Kew Bull.","38: 40","","1983"
kew-19444,A,Zygophyllaceae,,Balanites,,"aegyptiaca",var.,"quarrei","(De Wild.) G.Gilbert",Accepted,,L,WCSP,19444,,"in Fl. Congo Belge","7: 68","","1958"
kew-19446,A,Zygophyllaceae,,Balanites,,"aegyptiaca",var.,"tomentosa","(Mildbr. & Schltr.) Sands",Accepted,,L,WCSP,19446,,"Kew Bull.","56: 72","","2001"
kew-19447,A,Zygophyllaceae,,Balanites,,"angolensis",,"","(Welw.) Mildbr. & Schltr.",Accepted,,H,WCSP,19447,1020721-1,"Bot. Jahrb. Syst.","51: 157, 163","","1913"
kew-19449,A,Zygophyllaceae,,Balanites,,"angolensis",subsp.,"welwitschii","(Tiegh.) Sands",Accepted,,L,WCSP,19449,,"Kew Bull.","56: 89","","2001"
kew-19457,A,Zygophyllaceae,,Balanites,,"glabra",,"","Mildbr. & Schltr.",Accepted,,H,WCSP,19457,,"Bot. Jahrb. Syst.","51: 163","","1913"
kew-19462,A,Zygophyllaceae,,Balanites,,"maughamii",,"","Sprague",Accepted,,H,WCSP,19462,873111-1,"Bull. Misc. Inform. Kew","1913: 136","","1913"
kew-19464,A,Zygophyllaceae,,Balanites,,"maughamii",subsp.,"maughamii","",Accepted,,L,WCSP,19464,,"Unknown","","",""
